filename,duration,start_frame,end_frame,removed_frames,total_frames
kh_0,7610,1,761,0,761
kh_1,8090,1,809,0,809
kh_2,6390,1,639,0,639
kh_3,9990,1,999,0,999
kh_4,15000,1,1500,0,1500
se_0,12820,1,1282,0,1282
se_1,13440,1,1344,0,1344
se_2,2190,1,219,0,219
se_3,15280,1,1528,0,1528
am_0,15280,1,1528,0,1528
am_1,15280,1,1528,0,1528
ha_0,15280,1,1528,0,1528
ma_0,15280,1,1528,0,1528
pa_0,15280,1,1528,0,1528
pa_1,15280,1,1528,0,1528
pa_2,15280,1,1528,0,1528
pu_0,15280,1,1528,0,1528
pu_1,15280,1,1528,0,1528
ne_0,15280,1,1528,0,1528
