filename,duration,start_frame,end_frame,removed_frames,total_frames
kh_0,11160,1,1116,0,1116
kh_1,10500,1,1050,0,1050
kh_2,8670,1,867,0,867
kh_3,7730,1,773,0,773
kh_4,14640,1,1464,0,1464
se_0,20790,1,2079,0,2079
se_1,11910,1,1191,0,1191
se_2,17360,1,1736,0,1736
am_0,15280,1,1528,0,1528
am_1,15280,1,1528,0,1528
am_2,15280,1,1528,0,1528
ha_0,15280,1,1528,0,1528
ha_1,15280,1,1528,0,1528
ma_0,15280,1,1528,0,1528
pa_0,15280,1,1528,0,1528
pa_1,15280,1,1528,0,1528
pa_2,15280,1,1528,0,1528
pu_0,15280,1,1528,0,1528
pu_1,15280,1,1528,0,1528
ne_0,15280,1,1528,0,1528
