frame:0,actualsize: 1311792
frame:1,actualsize: 169856
frame:2,actualsize: 229048
frame:3,actualsize: 310560
frame:4,actualsize: 304456
frame:5,actualsize: 241464
frame:6,actualsize: 251768
frame:7,actualsize: 230496
frame:8,actualsize: 279608
frame:9,actualsize: 422376
frame:10,actualsize: 412304
frame:11,actualsize: 392400
frame:12,actualsize: 386160
frame:13,actualsize: 406536
frame:14,actualsize: 385144
frame:15,actualsize: 375816
frame:16,actualsize: 395200
frame:17,actualsize: 371152
frame:18,actualsize: 573064
frame:19,actualsize: 570592
frame:20,actualsize: 494576
frame:21,actualsize: 486576
frame:22,actualsize: 509024
frame:23,actualsize: 491984
frame:24,actualsize: 503320
frame:25,actualsize: 497072
frame:26,actualsize: 503344
frame:27,actualsize: 494816
frame:28,actualsize: 506456
frame:29,actualsize: 482256
frame:30,actualsize: 483520
frame:31,actualsize: 479168
frame:32,actualsize: 491400
frame:33,actualsize: 484104
frame:34,actualsize: 498472
frame:35,actualsize: 483048
frame:36,actualsize: 663624
frame:37,actualsize: 616416
frame:38,actualsize: 591008
frame:39,actualsize: 571496
frame:40,actualsize: 594360
frame:41,actualsize: 571224
frame:42,actualsize: 580296
frame:43,actualsize: 563408
frame:44,actualsize: 594264
frame:45,actualsize: 550616
frame:46,actualsize: 603944
frame:47,actualsize: 573472
frame:48,actualsize: 625152
frame:49,actualsize: 681032
frame:50,actualsize: 607888
frame:51,actualsize: 570152
frame:52,actualsize: 595448
frame:53,actualsize: 551728
frame:54,actualsize: 601792
frame:55,actualsize: 572992
frame:56,actualsize: 619392
frame:57,actualsize: 569016
frame:58,actualsize: 591536
frame:59,actualsize: 557400
frame:60,actualsize: 586088
frame:61,actualsize: 548184
frame:62,actualsize: 581592
frame:63,actualsize: 816160
frame:64,actualsize: 736064
frame:65,actualsize: 699128
frame:66,actualsize: 672272
frame:67,actualsize: 661704
frame:68,actualsize: 666800
frame:69,actualsize: 621632
frame:70,actualsize: 597896
frame:71,actualsize: 579816
frame:72,actualsize: 685824
frame:73,actualsize: 674864
frame:74,actualsize: 763088
frame:75,actualsize: 717816
frame:76,actualsize: 786160
frame:77,actualsize: 729576
frame:78,actualsize: 748808
frame:79,actualsize: 829464
frame:80,actualsize: 706608
frame:81,actualsize: 684400
frame:82,actualsize: 751160
frame:83,actualsize: 730144
frame:84,actualsize: 746360
frame:85,actualsize: 751016
frame:86,actualsize: 774088
frame:87,actualsize: 752824
frame:88,actualsize: 761896
frame:89,actualsize: 729224
frame:90,actualsize: 785744
frame:91,actualsize: 727864
frame:92,actualsize: 796624
frame:93,actualsize: 758040
frame:94,actualsize: 807152
frame:95,actualsize: 752408
frame:96,actualsize: 771376
frame:97,actualsize: 765496
frame:98,actualsize: 758056
frame:99,actualsize: 768872
