frame:0,actualsize: 912200
frame:1,actualsize: 52848
frame:2,actualsize: 181552
frame:3,actualsize: 141928
frame:4,actualsize: 160624
frame:5,actualsize: 124504
frame:6,actualsize: 224904
frame:7,actualsize: 169360
frame:8,actualsize: 195880
frame:9,actualsize: 188720
frame:10,actualsize: 211712
frame:11,actualsize: 316976
frame:12,actualsize: 276272
frame:13,actualsize: 288776
frame:14,actualsize: 270576
frame:15,actualsize: 256240
frame:16,actualsize: 270640
frame:17,actualsize: 252056
frame:18,actualsize: 265680
frame:19,actualsize: 281928
frame:20,actualsize: 391760
frame:21,actualsize: 337320
frame:22,actualsize: 347880
frame:23,actualsize: 331272
frame:24,actualsize: 344904
frame:25,actualsize: 326792
frame:26,actualsize: 341720
frame:27,actualsize: 330096
frame:28,actualsize: 339848
frame:29,actualsize: 322816
frame:30,actualsize: 326208
frame:31,actualsize: 322832
frame:32,actualsize: 326544
frame:33,actualsize: 322008
frame:34,actualsize: 329016
frame:35,actualsize: 318432
frame:36,actualsize: 328880
frame:37,actualsize: 490024
frame:38,actualsize: 430288
frame:39,actualsize: 406600
frame:40,actualsize: 417848
frame:41,actualsize: 393408
frame:42,actualsize: 409184
frame:43,actualsize: 391968
frame:44,actualsize: 419960
frame:45,actualsize: 386600
frame:46,actualsize: 424472
frame:47,actualsize: 395512
frame:48,actualsize: 432824
frame:49,actualsize: 458968
frame:50,actualsize: 426744
frame:51,actualsize: 386448
frame:52,actualsize: 413424
frame:53,actualsize: 385712
frame:54,actualsize: 427640
frame:55,actualsize: 394936
frame:56,actualsize: 427328
frame:57,actualsize: 388896
frame:58,actualsize: 410344
frame:59,actualsize: 384808
frame:60,actualsize: 410744
frame:61,actualsize: 380952
frame:62,actualsize: 406496
frame:63,actualsize: 368800
frame:64,actualsize: 394672
frame:65,actualsize: 366768
frame:66,actualsize: 372176
frame:67,actualsize: 350704
frame:68,actualsize: 385240
frame:69,actualsize: 355816
frame:70,actualsize: 355328
frame:71,actualsize: 503280
frame:72,actualsize: 504712
frame:73,actualsize: 487232
frame:74,actualsize: 549584
frame:75,actualsize: 514552
frame:76,actualsize: 560848
frame:77,actualsize: 519096
frame:78,actualsize: 539232
frame:79,actualsize: 575888
frame:80,actualsize: 372888
frame:81,actualsize: 521960
frame:82,actualsize: 541840
frame:83,actualsize: 512776
frame:84,actualsize: 536080
frame:85,actualsize: 516824
frame:86,actualsize: 550360
frame:87,actualsize: 521176
frame:88,actualsize: 534920
frame:89,actualsize: 368312
frame:90,actualsize: 595536
frame:91,actualsize: 527368
frame:92,actualsize: 564424
frame:93,actualsize: 526224
frame:94,actualsize: 420352
frame:95,actualsize: 572448
frame:96,actualsize: 551880
frame:97,actualsize: 398800
frame:98,actualsize: 576128
frame:99,actualsize: 559296
frame:100,actualsize: 552552
frame:101,actualsize: 406600
frame:102,actualsize: 578464
frame:103,actualsize: 569056
frame:104,actualsize: 394960
frame:105,actualsize: 586536
frame:106,actualsize: 555496
frame:107,actualsize: 562920
frame:108,actualsize: 397176
