TIME(2020/02/27 18:19:34.136),TIMETICK(f=10000000),FPOGX,FPOGY,
0.06543,235408436414,0.38364,0.03480,
0.31311,235410913219,0.40939,0.11228,
0.57471,235413530268,0.45397,0.64651,
0.98547,235417637842,0.33787,0.95964,
1.19885,235419771454,0.39113,0.74661,
1.46179,235422400499,0.60390,0.71258,
1.72461,235425028880,0.68790,0.77986,
2.34888,235431271715,0.71026,0.73016,
3.07178,235438500943,0.40895,0.96698,
3.64697,235444252692,0.42150,0.95630,
3.97534,235447535945,0.43322,0.62375,
4.32190,235451001621,0.37999,0.76363,
4.59973,235453779802,0.54707,0.93383,
4.81360,235455918490,0.76315,0.94421,
5.30640,235460847198,0.61449,0.21067,
5.43811,235462163251,0.65430,0.13160,
5.74963,235465278441,0.31393,0.74390,
6.09473,235468730281,0.45032,0.44691,
6.35815,235471364070,0.44819,0.30173,
6.63782,235474160548,0.65031,0.32546,
6.99829,235477765786,0.79963,0.89085,
7.27759,235480558991,0.57823,0.34340,
7.82007,235485983417,0.81940,0.94807,
8.44983,235492280638,0.89229,0.96303,
8.98950,235497677413,0.57674,0.31331,
9.28564,235500639625,0.81507,0.85086,
9.97363,235507519038,0.57610,0.54108,
10.43188,235512102072,0.65980,0.52209,
10.89270,235516709950,0.54258,0.43850,
11.17358,235519519075,0.57245,0.44818,
11.40283,235521810661,0.57112,0.56056,
11.68042,235524586584,0.57526,0.55696,
12.07471,235528530015,0.71203,0.51224,
12.35425,235531325570,0.64190,0.52084,
12.84692,235536251870,0.35004,0.39627,
13.09314,235538714577,0.37186,0.33531,
13.55444,235543326754,0.61959,0.40647,
13.86548,235546437980,0.31199,0.27256,
14.21057,235549888765,0.25921,0.33039,
14.47327,235552515154,0.53235,0.49758,
14.80225,235555804822,0.88801,0.74738,
15.01648,235557948025,0.81734,0.62680,
15.45911,235562374068,0.49103,0.47922,
15.78833,235565666201,0.51653,0.52301,
16.31360,235570918402,0.48908,0.46203,
17.49670,235582750084,0.52970,0.48901,
17.77539,235585537027,0.49983,0.51572,
18.13745,235589156647,0.45449,0.55206,
18.64722,235594255433,0.48937,0.53300,
18.99121,235597694365,0.41607,0.53130,
19.30359,235600818631,0.43056,0.51727,
19.68115,235604594621,0.55627,0.43963,
20.16138,235609396585,0.56632,0.48817,
20.78186,235615601835,0.51565,0.48689,
21.07764,235618558946,0.51506,0.48611,
21.32422,235621024674,0.52245,0.48503,
21.78442,235625626445,0.52408,0.48832,
22.11279,235628910964,0.53781,0.48004,
22.39233,235631705919,0.55110,0.47029,
23.16406,235639423603,0.46706,0.38328,
23.49304,235642712971,0.44448,0.41825,
23.95410,235647323378,0.41356,0.43243,
24.33044,235651087479,0.38978,0.47903,
24.72620,235655044944,0.46187,0.41622,
24.97192,235657502437,0.44709,0.42285,
25.71045,235664887614,0.44798,0.42551,
26.15454,235669327566,0.46469,0.42653,
26.53235,235673106295,0.39328,0.45007,
26.91089,235676891722,0.48101,0.43016,
27.25635,235680346032,0.46894,0.45475,
27.63269,235684109256,0.41929,0.39342,
28.15894,235689372378,0.40746,0.35957,
28.53662,235693148640,0.43753,0.36146,
28.86487,235696431496,0.39804,0.37248,
29.22815,235700064271,0.41238,0.34422,
29.57190,235703501290,0.39330,0.38700,
29.83435,235706126733,0.42501,0.38172,
30.10010,235708784019,0.37142,0.37262,
30.33008,235711083642,0.48128,0.48067,
30.70764,235714859180,0.58822,0.55055,
30.96802,235717462566,0.52437,0.50345,
31.26343,235720417204,0.50543,0.46420,
31.65845,235724367291,0.51824,0.59788,
31.98669,235727649362,0.50834,0.43231,
32.51208,235732903651,0.49264,0.49659,
32.98865,235737669075,0.46261,0.45823,
33.31714,235740953562,0.53248,0.46964,
