TIME(2020/02/27 15:12:01.504),TIMETICK(f=10000000),FPOGX,FPOGY,
0.39429,122885851481,0.37762,0.07038,
0.98682,122891776333,0.28554,0.91605,
1.20020,122893911330,0.39581,0.80851,
1.47949,122896703911,0.55392,0.50804,
1.85742,122900483120,0.70147,0.73694,
2.28345,122904742459,0.71947,0.72201,
2.62842,122908191816,0.39022,0.89303,
3.26929,122914602510,0.42180,0.91875,
3.59766,122917885962,0.46551,0.45046,
3.92651,122921173765,0.44820,0.54424,
4.30396,122924948972,0.37566,0.46122,
4.84644,122930373930,0.41550,0.43779,
5.15845,122933493243,0.29574,0.27569,
5.98267,122941734479,0.29015,0.23577,
6.93262,122951235618,0.50212,0.48249,
7.50903,122957000072,0.53236,0.51122,
7.80444,122959953545,0.55149,0.42951,
8.31274,122965035393,0.50901,0.41214,
8.60938,122968002502,0.52700,0.48175,
8.67432,122968652329,0.52914,0.57587,
9.11865,122973096048,0.88849,0.92704,
9.67627,122978672091,0.90878,0.95586,
10.00806,122981989921,0.89572,0.94879,
10.39917,122985900333,0.52327,0.63927,
11.10596,122992967483,0.49383,0.70066,
11.58203,122997728653,0.87579,0.92229,
12.00903,123001999620,0.53601,0.60905,
12.22437,123004153065,0.42883,0.54491,
12.58447,123007753447,0.40197,0.49536,
13.60425,123017952151,0.48307,0.52511,
13.83276,123020237263,0.62262,0.49429,
14.14502,123023358684,0.62284,0.43604,
14.57202,123027629274,0.51571,0.36104,
15.31152,123035023787,0.50381,0.41592,
15.60718,123037981349,0.61956,0.44462,
16.05078,123042416915,0.55644,0.55326,
16.57642,123047672059,0.51856,0.54862,
17.15186,123053427742,0.48371,0.49026,
17.51270,123057035993,0.52063,0.49939,
17.79321,123059841124,0.48989,0.38646,
18.94214,123071328946,0.46830,0.28513,
20.42236,123086133511,0.55443,0.40782,
20.50464,123086955678,0.57164,0.48541,
20.98169,123091724985,0.56959,0.30539,
21.48975,123096805070,0.51947,0.00824,
22.49097,123106817602,0.50873,-0.01765,
22.90186,123110926669,0.49273,0.38753,
23.19702,123113879249,0.48040,0.52241,
23.80786,123119987667,0.49473,0.46666,
24.14990,123123407911,0.55094,0.51090,
24.56079,123127516284,0.56547,0.46508,
24.87280,123130637281,0.61021,0.47552,
