TIME(2020/02/28 11:55:05.705),TIMETICK(f=10000000),FPOGX,FPOGY,
0.39398,6772689166,0.37157,0.04540,
1.13312,6780080293,0.60068,0.38443,
1.70813,6785830524,0.61741,0.33536,
2.02026,6788951866,0.50822,0.38910,
2.33258,6792074924,0.67805,0.70187,
3.08850,6799634351,0.73045,0.68907,
3.30170,6801766021,0.49662,0.82740,
3.97531,6808502417,0.33527,0.90924,
4.30386,6811787743,0.38408,0.46768,
4.36987,6812447932,0.38885,0.43810,
4.99435,6818692721,0.06040,0.46069,
5.09387,6819687936,0.19080,0.50080,
5.45392,6823288434,0.43685,0.51056,
5.96332,6828382369,0.35052,1.70903,
6.34213,6832170593,0.26617,1.61851,
7.26254,6841374690,0.38597,0.33382,
7.80353,6846784476,0.50180,0.45343,
8.08249,6849574237,0.45673,0.49815,
8.31555,6851904779,0.29593,0.36288,
8.60837,6854832990,0.07430,0.23564,
9.39758,6862724990,0.08204,0.23427,
10.00464,6868795684,0.11773,0.19246,
10.50113,6873760457,0.50214,0.48987,
10.71158,6875864895,0.34193,0.35768,
11.13821,6880131241,0.11951,0.21948,
11.68140,6885563148,0.53592,0.47511,
12.86432,6897392314,0.50126,0.49765,
13.30679,6901817099,0.09939,0.18574,
14.09573,6909706515,0.48699,0.46037,
14.48959,6913645217,0.88393,0.15457,
15.29523,6921701551,0.48811,0.45769,
16.67490,6935498016,0.49730,0.44713,
17.23355,6941084665,0.48848,0.44798,
17.74323,6946181480,0.08948,0.26127,
18.00543,6948803519,0.27984,0.32582,
19.27048,6961454106,0.50333,0.48038,
19.69873,6965736466,0.09416,0.22705,
19.79645,6966713742,0.13870,0.29473,
20.84830,6977232065,0.50919,0.46614,
21.73477,6986096990,0.50844,0.46952,
22.40857,6992834987,0.51626,0.46661,
22.95148,6998263863,0.47948,0.48460,
23.36179,7002367063,0.53867,0.07962,
24.01831,7008932212,0.57091,0.47417,
24.70853,7015834608,0.52959,0.47323,
25.05389,7019288051,0.56065,0.49254,
25.48355,7023584654,0.52809,0.55942,
26.03952,7029144341,0.55599,0.47792,
26.41705,7032919763,0.53558,0.42269,
26.96051,7038354220,0.48162,0.45580,
27.43570,7043106216,0.55406,0.48270,
28.40512,7052800465,0.52199,0.43687,
28.68457,7055594790,0.51928,0.46268,
29.11185,7059867737,0.53429,0.46877,
29.75214,7066270587,0.54904,0.44308,
30.73938,7076143106,0.49267,0.43495,
31.37985,7082547708,0.48969,0.44964,
31.65781,7085327143,0.49146,0.46017,
31.87198,7087469069,0.37411,0.44497,
32.18356,7090584928,0.30215,0.46452,
32.95575,7098306553,0.45596,0.44968,
33.36743,7102423523,0.45156,0.48538,
34.07266,7109475792,0.48768,0.49348,
34.53278,7114077030,0.47963,0.47069,
36.02817,7129030743,0.50895,0.47064,
36.53857,7134134827,0.47852,0.47739,
37.11252,7139874405,0.31473,0.52264,
37.57251,7144474185,0.50719,0.49667,
37.68735,7145622548,0.39578,0.41861,
38.09763,7149725588,0.12735,0.28519,
38.42676,7153016652,0.49538,0.35999,
38.80447,7156793905,0.51136,-0.01068,
39.03424,7159091661,0.48177,0.10084,
39.57675,7164516773,0.55005,0.46760,
39.88873,7167636669,0.51359,0.47724,
40.25024,7171251637,0.51863,0.46673,
40.75919,7176341124,0.55932,0.47307,
41.33438,7182092920,0.50953,0.48083,
41.64737,7185223097,0.58268,0.45379,
42.25424,7191291871,0.44295,0.47076,
43.01022,7198851237,0.49410,0.46094,
43.27286,7201477500,0.42717,0.40956,
43.60141,7204763480,0.14770,0.29600,
44.83383,7217087534,0.48762,0.45017,
45.37576,7222506543,0.43800,0.45891,
45.80289,7226778034,0.49941,0.48050,
46.65707,7235320183,0.53960,0.46421,
47.06772,7239426475,0.53946,0.49097,
47.70840,7245833513,0.49818,0.47519,
49.25320,7261281484,0.50853,0.44792,
49.46689,7263417951,0.71261,0.30093,
49.81168,7266865703,0.86672,0.21489,
50.18942,7270643718,0.46867,0.48502,
50.50150,7273763990,0.19343,0.87737,
50.96170,7278366003,0.43927,0.61373,
51.40543,7282803511,0.47224,0.53521,
51.61856,7284935077,0.34661,0.39495,
51.94992,7288248138,0.11397,0.33544,
52.58786,7294627591,0.41754,0.49554,
53.08127,7299561825,0.46299,0.49755,
53.50833,7303832732,0.50488,0.50435,
54.18173,7310566442,0.52843,0.45979,
54.29788,7311728311,0.50012,0.37217,
55.00302,7318779130,0.13935,0.23530,
55.21732,7320922220,0.21791,0.29873,
55.84091,7327158419,0.38196,0.46616,
56.07077,7329457145,0.43818,0.50276,
56.64676,7335216842,0.51030,0.48318,
56.87613,7337510207,0.53650,0.61369,
57.22073,7340956372,0.49187,0.71736,
57.43466,7343096107,0.46982,0.54941,
58.02609,7349010293,0.49920,0.48281,
59.17624,7360511875,0.46007,0.45220,
59.70175,7365766423,0.56673,0.45114,
60.16257,7370375081,0.52466,0.49990,
60.45731,7373322415,0.15018,0.30451,
60.72018,7375950886,0.21896,0.30553,
60.85159,7377265363,0.75361,0.07697,
61.77170,7386466129,0.55972,0.46706,
62.14932,7390242188,0.51245,0.47612,
62.54434,7394192800,0.47250,0.56926,
62.92172,7397966692,0.46338,0.51810,
63.20078,7400757033,0.41792,0.52257,
63.57925,7404541738,0.37972,0.50755,
63.98996,7408648499,0.46653,0.30684,
64.26901,7411439037,0.47474,0.33745,
64.51517,7413901149,0.56221,0.45286,
64.99161,7418664994,0.57367,0.48488,
65.59933,7424742577,0.52924,0.47536,
66.78232,7436572204,0.49004,0.46400,
67.39017,7442650850,0.50851,0.48520,
67.80215,7446770897,0.85918,0.87316,
68.39267,7452675845,0.47974,0.46343,
68.96848,7458434209,0.46806,0.48653,
69.54239,7464173034,0.49437,0.47162,
69.88760,7467625525,0.45260,0.43895,
70.82413,7476990357,0.50662,-0.02971,
71.23441,7481093462,0.51803,-0.00303,
71.66238,7485373343,0.46378,0.43006,
72.05588,7489307963,0.09723,0.57100,
72.78098,7496558858,0.07835,0.60638,
73.14041,7500153136,0.44294,0.52442,
73.56741,7504423180,0.07994,0.58500,
73.83304,7507079414,0.09820,0.57542,
74.29056,7511654580,0.48215,0.51771,
74.98080,7518557419,0.48677,0.49797,
75.34177,7522166971,0.48519,0.47413,
75.70395,7525788534,0.54728,0.49149,
75.94949,7528244286,0.43083,0.52405,
76.36038,7532353245,0.16716,0.55005,
