TIME(2020/03/11 14:27:39.422),TIMETICK(f=10000000),FPOGX,FPOGY,
0.08240,7896259992950,0.35797,0.07147,
0.44458,7896263614607,0.36576,0.13622,
0.87097,7896267878332,0.39103,0.82777,
1.33093,7896272478223,0.38466,0.87941,
1.69214,7896276089794,0.48142,0.43493,
2.08630,7896280031997,0.49874,0.85369,
2.69421,7896286111665,0.69468,0.69503,
3.26929,7896291861943,0.51322,0.41915,
3.89368,7896298105342,0.49341,0.37818,
4.78101,7896306978845,0.49261,0.38119,
5.20825,7896311251450,0.42895,0.78879,
6.12781,7896320447572,0.47227,0.48551,
6.80151,7896327184649,0.47088,0.50721,
7.50781,7896334247025,0.46256,0.47635,
8.06653,7896339833992,0.47921,0.48891,
8.60876,7896345256447,0.46518,0.48754,
9.24963,7896351665248,0.46916,0.49807,
9.59570,7896355126015,0.46294,0.48122,
10.08777,7896360046283,0.47712,0.47386,
10.48193,7896363988335,0.47539,0.50227,
10.89514,7896368121011,0.34692,0.67116,
11.30298,7896372199025,0.24304,0.81961,
11.55042,7896374673532,0.36586,0.81273,
11.87817,7896377950195,0.43131,0.82999,
12.28882,7896382057236,0.23792,0.80544,
12.74866,7896386655906,0.32899,0.81743,
13.24194,7896391588525,0.41274,0.85187,
13.57007,7896394869267,0.50735,0.84597,
13.89990,7896398168329,0.64246,0.29705,
14.01379,7896399307515,0.64754,0.28667,
14.60522,7896405221419,0.46493,0.27378,
14.81873,7896407356243,0.41316,0.44680,
15.08167,7896409985346,0.39056,0.58167,
15.31140,7896412283501,0.39679,0.76043,
15.54199,7896414588909,0.52131,0.85755,
15.82092,7896417377816,0.65914,0.82511,
16.08435,7896420012558,0.48216,0.54030,
16.85620,7896427730843,0.45199,0.26565,
17.13513,7896430520588,0.49046,0.24020,
17.41553,7896433324054,0.50433,0.26204,
17.71143,7896436283626,0.38178,0.64100,
18.08862,7896440054864,0.40969,0.86478,
18.56470,7896444816437,0.25973,0.87027,
18.99268,7896449096070,0.42430,0.52460,
19.38623,7896453031188,0.42793,0.46231,
19.91174,7896458286230,0.43194,0.36745,
20.25671,7896461735970,0.43352,0.37217,
20.63464,7896465515808,0.59533,0.31276,
21.53857,7896474554216,0.39911,0.29047,
21.88306,7896477999602,0.42028,0.32864,
22.34375,7896482606208,0.48461,0.56586,
22.80347,7896487203534,0.51149,0.50736,
23.01660,7896489335446,0.45461,1.05889,
23.52600,7896494428907,0.49445,0.48690,
23.92004,7896498369884,0.50662,0.47813,
24.24976,7896501667155,0.46973,0.42882,
24.70898,7896506258772,0.37137,0.38277,
24.93933,7896508562036,0.35868,0.26979,
25.26770,7896511846496,0.31723,0.22821,
25.69458,7896516114854,0.25015,0.24798,
26.10583,7896520226934,0.23783,0.36119,
26.46667,7896523835859,0.27120,0.44791,
26.89490,7896528117682,0.33862,0.43182,
27.30481,7896532217519,0.37784,0.45698,
27.76514,7896536820737,0.39640,0.34578,
28.07690,7896539938291,0.35431,0.20214,
28.63574,7896545526814,0.35051,0.19370,
29.04590,7896549628415,0.45685,0.52625,
29.48987,7896554067886,0.49078,0.44763,
30.03198,7896559488893,0.50252,0.48690,
30.64014,7896565570109,0.52903,0.50549,
31.18176,7896570986027,0.91396,0.84159,
31.54333,7896574601819,0.91558,0.83798,
31.90527,7896578222146,0.48559,0.71998,
32.18420,7896581010961,0.50022,0.67468,
32.64722,7896585641218,0.49283,0.52891,
33.10400,7896590208853,0.37485,0.55318,
33.31873,7896592356466,0.60173,0.69388,
33.69531,7896596122502,0.87580,0.96567,
34.00854,7896599253996,0.48194,0.54333,
34.50037,7896604172496,0.50243,0.51889,
34.87878,7896607957301,0.46075,0.50812,
35.19299,7896611099415,0.38211,0.48510,
35.89709,7896618139914,0.48439,0.52508,
36.35718,7896622740387,0.48134,0.50089,
36.81677,7896627336388,0.55847,0.44765,
37.07971,7896629965498,0.51266,0.50304,
37.55664,7896634735963,0.52051,0.51838,
38.09851,7896640153529,0.49815,0.46898,
38.52686,7896644437004,0.52317,0.46548,
40.10278,7896660196271,0.50401,0.48708,
40.49695,7896664138421,0.50630,0.45061,
41.18701,7896671038822,0.49871,0.47021,
41.88098,7896677979321,0.50060,0.48283,
42.45190,7896683688495,0.53305,0.45944,
42.73108,7896686479584,0.44251,0.50468,
42.99597,7896689129138,0.32242,0.59038,
43.30676,7896692236376,0.35949,0.56716,
43.60217,7896695190269,0.35779,0.58919,
43.81555,7896697324084,0.50743,0.52957,
44.19373,7896701106300,0.55080,0.49478,
44.60681,7896705236606,0.54359,0.49361,
45.22864,7896711454916,0.47434,0.49747,
45.90308,7896718199194,0.53032,0.50477,
46.29614,7896722130233,0.59049,0.55427,
46.64197,7896725588913,0.54144,0.56288,
47.20007,7896731170305,0.49768,0.47516,
47.61060,7896735275474,0.49642,0.48211,
47.90674,7896738236588,0.48917,0.56541,
48.16931,7896740862607,0.52470,0.56486,
48.53149,7896744483681,0.54727,0.57998,
48.86133,7896747781868,0.52436,0.53600,
49.12231,7896750391534,0.56602,0.49990,
49.50012,7896754170197,0.49632,0.47974,
52.52344,7896784403087,0.49941,0.48713,
52.88416,7896788010136,0.50265,0.57168,
53.83679,7896797536914,0.44203,0.81379,
54.47974,7896803966813,0.49836,0.80925,
54.59375,7896805106005,0.45351,0.64968,
54.88928,7896808062337,0.50747,0.50227,
56.10461,7896820215356,0.50167,0.47640,
56.77795,7896826947939,0.50052,0.46650,
57.12341,7896830403491,0.47010,0.46869,
57.51697,7896834339151,0.42773,0.48608,
57.89502,7896838118579,0.50434,0.47514,
58.38806,7896843049912,0.43804,0.48705,
58.91333,7896848302303,0.52260,0.49406,
59.29370,7896852105837,0.88162,0.82388,
59.70264,7896856195489,0.51886,0.48222,
60.51038,7896864272949,0.45498,0.50645,
60.95068,7896868676262,0.45855,0.56210,
61.24634,7896871632427,0.45309,0.53947,
61.54346,7896874603740,0.44479,0.47716,
61.87061,7896877874646,0.47380,0.51764,
62.24841,7896881653497,0.45155,0.49772,
62.98828,7896889051536,0.50913,0.47657,
63.49707,7896894140262,0.51237,0.49484,
64.00708,7896899240085,0.49853,0.70748,
64.23657,7896901534321,0.52327,0.60012,
65.20581,7896911227229,0.51432,0.49803,
65.58374,7896915005904,0.50745,0.45405,
66.09448,7896920114386,0.48904,0.48802,
68.29614,7896942130766,0.51158,0.47491,
68.85303,7896947699270,0.50456,0.47127,
69.78992,7896957067936,0.49978,0.47971,
70.24927,7896961661965,0.47910,0.49100,
70.71069,7896966276349,0.47837,0.51976,
71.33374,7896972505989,0.49981,0.68976,
71.79407,7896977109362,0.49989,0.69542,
72.10620,7896980231201,0.51027,0.69037,
72.64795,7896985647993,0.46744,0.59404,
72.71472,7896986316571,0.51888,0.67329,
73.09241,7896990092794,0.93395,0.91346,
73.88025,7896997971301,0.55353,0.51578,
74.86584,7897007827411,0.51690,0.50722,
75.09595,7897010128160,0.51586,0.62268,
75.30957,7897012264974,0.63368,0.56909,
75.85217,7897017691131,0.54219,0.55146,
76.09924,7897020161323,0.50287,0.52669,
76.62415,7897025410946,0.53152,0.50941,
78.36523,7897042821226,0.50293,0.49451,
78.76111,7897046780263,0.50808,0.47848,
79.13733,7897050541919,0.53030,0.44124,
79.74512,7897056619646,0.52115,0.52464,
80.12341,7897060403023,0.51639,0.57148,
80.40210,7897063190490,0.52158,0.55952,
80.70081,7897066176510,0.51472,0.51937,
80.93042,7897068473490,0.53397,0.46025,
81.27332,7897071902566,0.53550,0.50120,
81.83167,7897077485926,0.92954,0.89579,
82.24304,7897081599128,0.57645,0.50093,
82.52185,7897084387169,0.65640,0.48622,
82.78455,7897087013890,0.63656,0.45677,
83.13037,7897090472779,0.64651,0.45124,
83.60620,7897095230934,0.58516,0.45901,
84.00146,7897099183381,0.52840,0.50756,
84.31409,7897102309326,0.52526,0.51914,
85.15027,7897110671099,0.46623,0.51795,
85.62878,7897115456687,0.40651,0.55898,
85.98950,7897119064546,0.47060,0.52161,
86.30042,7897122173264,0.50896,0.50462,
86.77661,7897126935605,0.46642,0.56681,
87.10547,7897130223788,0.46252,0.67762,
87.94299,7897138598393,0.45695,0.68710,
88.40320,7897143200475,0.52836,0.68628,
88.76453,7897146814311,0.53587,0.36572,
88.99609,7897149129991,0.51165,0.56567,
89.25818,7897151750849,0.53406,0.58626,
89.78516,7897157020377,0.53355,0.52358,
90.21558,7897161324532,0.49829,0.49159,
90.76929,7897166861627,0.51016,0.70481,
91.08081,7897169977650,0.59635,0.64551,
91.21326,7897171302115,0.57506,0.59611,
91.54150,7897174583710,0.88147,0.79626,
91.93506,7897178519923,0.53271,0.56495,
92.36609,7897182830053,0.43019,0.57380,
93.02014,7897189369793,0.51046,0.53677,
94.26807,7897201849731,0.51744,0.46183,
94.82715,7897207440395,0.55159,0.49363,
95.30310,7897212200269,0.49971,0.50406,
95.69727,7897216141798,0.45365,0.50028,
96.04333,7897219602724,0.36032,0.52800,
96.30579,7897222226860,0.41140,0.50929,
96.58459,7897225015515,0.35370,0.41270,
96.81482,7897227316725,0.51746,0.51344,
97.09839,7897230152722,0.57191,0.48173,
97.39038,7897233072897,0.62853,0.47138,
98.32703,7897242439734,0.52382,0.43437,
98.75305,7897246700060,0.50344,0.42753,
99.21338,7897251302851,0.63544,0.47236,
99.64124,7897255581288,0.66722,0.46313,
100.41296,7897263298719,0.52065,0.48927,
101.16833,7897270852520,0.51130,0.47641,
101.97571,7897278925977,0.50740,0.45816,
102.21973,7897281366026,0.45336,0.41015,
102.76184,7897286787998,0.48005,0.49713,
103.23840,7897291553129,0.45388,0.51034,
103.63257,7897295494075,0.50079,0.47105,
104.12830,7897300451561,0.51630,0.45994,
104.58630,7897305031670,0.52755,0.46703,
104.96326,7897308801158,0.50544,0.48210,
105.21411,7897311310583,0.43381,0.41974,
105.81775,7897317347052,0.32056,0.34998,
106.06458,7897319815314,0.39395,0.43338,
106.73767,7897326545475,0.49703,0.46039,
108.48010,7897343970450,0.51724,0.48316,
108.90686,7897348237168,0.51683,0.48854,
109.39905,7897353158867,0.51352,0.46561,
110.28613,7897362029706,0.51103,0.47264,
111.69885,7897376157684,0.51286,0.46473,
112.17688,7897380937281,0.49388,0.67044,
112.48767,7897384046153,0.48967,0.68575,
112.71753,7897386344834,0.50696,0.61094,
113.12927,7897390461337,0.49983,0.52164,
113.62146,7897395384176,0.92077,0.88382,
113.93323,7897398501251,0.49841,0.50793,
114.41089,7897403278261,0.46011,0.49765,
114.98486,7897409017299,0.52226,0.48642,
116.00342,7897419202979,0.51672,0.47091,
116.64624,7897425631285,0.50235,0.50816,
117.23547,7897431523658,0.52016,0.48454,
117.58179,7897434986426,0.51124,0.43785,
117.94226,7897438591572,0.51884,0.45031,
118.89526,7897448122175,0.48332,0.48048,
119.28955,7897452064471,0.43034,0.50449,
119.71643,7897456333066,0.45990,0.47301,
120.52161,7897464384483,0.50681,0.48125,
121.04724,7897469641059,0.50145,0.52348,
121.42566,7897473425559,0.57884,0.54554,
122.03699,7897479538490,0.61863,0.50203,
122.36914,7897482860405,0.59692,0.51360,
122.82166,7897487385395,0.38740,0.51040,
123.08411,7897490010527,0.49238,0.51952,
124.00598,7897499228978,0.54176,0.50947,
124.46423,7897503811666,0.58274,0.48501,
124.94141,7897508582766,0.73383,0.43183,
125.43359,7897513504501,0.51822,0.47853,
126.68188,7897525988149,0.50988,0.48562,
127.27441,7897531913369,0.52040,0.47959,
127.53674,7897534536039,0.46689,0.50516,
128.99841,7897549152588,0.51785,0.51047,
129.70483,7897556217053,0.56512,0.47931,
130.21423,7897561311416,0.49792,0.48730,
130.60913,7897565260657,0.40899,0.49822,
