TIME(2020/03/11 15:24:04.778),TIMETICK(f=10000000),FPOGX,FPOGY,
1.52820,7930127541399,0.27430,1.80887,
2.38184,7930136078375,0.55225,1.41349,
2.67761,7930139035899,0.46525,1.64281,
3.15381,7930143798166,0.63274,0.36274,
3.41675,7930146426732,0.66627,0.37520,
3.71252,7930149384325,0.72120,0.43386,
3.97546,7930152013953,0.70045,0.42576,
4.45178,7930156777243,0.53575,0.71878,
4.71460,7930159405051,0.98560,-0.48622,
5.01050,7930162365064,0.51189,0.38630,
5.19153,7930164174408,0.59933,0.26517,
7.85266,7930190786696,0.45345,0.00853,
8.18103,7930194070267,0.39437,0.02923,
8.39514,7930196211414,0.47485,-0.01361,
8.64148,7930198675043,0.23012,0.26775,
9.06848,7930202943985,0.38545,0.16433,
9.44604,7930206720360,0.54237,0.30520,
9.74170,7930209676448,0.51179,0.58704,
10.02173,7930212476551,0.60629,0.88103,
11.02319,7930222491232,0.55823,0.39767,
11.68054,7930229064470,0.64109,0.20401,
12.43652,7930236624628,0.66611,0.23391,
12.78137,7930240072856,0.65405,0.33473,
13.01111,7930242370887,0.69751,0.25482,
13.42249,7930246484532,0.75687,0.05054,
13.88245,7930251083559,0.67849,-0.03667,
14.25989,7930254858528,0.70138,0.37133,
14.57178,7930257977954,0.76372,0.33153,
15.14783,7930263737526,0.67725,-0.41801,
15.31116,7930265370721,0.79032,0.36641,
15.60730,7930268332912,0.46560,-0.24287,
15.98486,7930272108302,0.40293,-0.12856,
16.10022,7930273261446,0.39776,-0.01627,
16.37927,7930276052554,0.79636,0.50643,
16.44519,7930276711825,0.80030,0.47196,
16.82288,7930280488165,0.87923,0.16416,
17.16785,7930283937560,0.89448,0.20834,
17.62805,7930288540041,0.73431,0.48236,
18.26904,7930294950274,0.79590,0.45538,
18.82800,7930300540154,0.70002,0.53959,
19.73047,7930309564238,0.68447,0.49102,
20.19043,7930314163995,0.71824,0.54267,
20.61768,7930318436455,0.80696,0.55364,
20.89709,7930321230458,0.78527,0.53343,
21.27478,7930325006970,0.74192,0.53207,
21.50525,7930327311716,0.75676,0.58857,
21.78406,7930330099819,0.79058,0.61875,
22.07983,7930333057576,0.67537,0.47961,
22.39185,7930336178652,0.62801,0.54043,
23.01624,7930342422244,0.73429,0.58913,
23.34497,7930345709816,0.61543,0.59335,
23.75598,7930349818846,0.49371,0.63480,
24.26611,7930354920997,0.50931,0.41653,
24.54407,7930357700336,0.47163,0.50799,
24.83997,7930360659892,0.47527,0.22919,
25.02063,7930362465653,0.48208,0.19227,
25.84204,7930370680362,0.46236,0.22419,
26.15405,7930373800328,0.44537,0.25827,
26.46631,7930376922690,0.45475,0.24496,
26.68005,7930379059941,0.36162,0.35345,
27.48486,7930387108769,0.27446,0.57711,
27.81360,7930390396050,0.46987,0.52285,
28.02698,7930392529376,0.43591,0.32408,
28.55322,7930397792188,0.56991,0.39581,
28.97998,7930402059046,0.60245,0.41998,
29.09558,7930403214972,0.58910,0.41408,
29.65356,7930408795634,0.59497,0.46375,
29.98206,7930412080120,0.51684,0.69729,
30.49121,7930417171800,0.53986,0.74764,
30.70483,7930419308281,0.58391,0.50368,
31.08289,7930423088287,0.61112,0.41078,
31.54309,7930427690085,0.51499,0.38408,
32.10156,7930433275529,0.33352,0.55890,
32.54492,7930437709021,0.43410,0.04405,
33.23499,7930444609063,0.52275,0.56672,
33.97571,7930452016774,0.50602,0.56504,
34.36877,7930455947807,0.48747,0.56910,
34.89441,7930461203210,0.51470,0.56829,
35.17358,7930463995193,0.51557,0.56850,
35.51868,7930467445964,0.28830,0.64715,
35.78174,7930470076827,0.28080,0.61207,
36.37280,7930475987931,0.49790,0.41492,
36.71777,7930479437662,0.45996,0.38448,
37.34229,7930485682779,0.48122,0.15289,
37.73706,7930489629772,0.49282,0.41414,
38.14722,7930493732032,0.48204,0.23056,
38.70605,7930499320745,0.45856,0.56719,
39.18262,7930504085828,0.49599,0.44616,
39.42883,7930506548425,0.57660,0.54508,
39.77380,7930509997571,0.61865,0.54476,
40.15137,7930513773594,0.55184,0.51114,
40.64490,7930518708468,0.52027,0.48469,
40.97693,7930522028797,0.50737,0.56706,
41.53137,7930527573127,0.49728,0.49641,
41.87646,7930531024015,0.47870,0.55777,
42.15601,7930533820223,0.51736,0.57934,
42.79663,7930540226202,0.51904,0.47893,
43.02649,7930542524040,0.53351,0.62632,
43.30591,7930545319122,0.54247,0.65135,
43.61792,7930548438852,0.57553,0.38100,
43.91394,7930551398875,0.56377,0.41133,
