TIME(2020/02/27 17:26:05.852),TIMETICK(f=10000000),FPOGX,FPOGY,
1.13306,203336129768,0.51900,0.49378,
1.56006,203340400023,0.57804,0.54949,
1.87354,203343534335,0.56314,0.53900,
2.21741,203346973545,0.73902,0.70520,
2.58130,203350611877,0.69880,0.77057,
2.98950,203354694580,0.39446,0.91519,
3.20581,203356856487,0.46299,0.75285,
3.51538,203359952689,0.53451,0.59992,
3.94348,203364233799,0.52100,0.61415,
4.22620,203367060863,0.27497,0.82963,
4.43567,203369155759,0.48553,0.87309,
4.71448,203371944164,0.73754,0.80132,
5.05981,203375397078,0.50329,0.47664,
5.47107,203379509550,0.49611,0.54008,
5.74951,203382294101,0.48428,0.58347,
6.20972,203386896490,0.85070,0.73397,
6.29175,203387716154,0.77037,0.74907,
7.78833,203402681707,0.50353,0.60980,
8.16492,203406448742,0.62324,0.53431,
8.59192,203410718132,0.54483,0.62206,
9.19946,203416793919,0.39091,0.69549,
9.94067,203424205537,0.34578,0.42875,
10.20337,203426833004,0.29429,0.47896,
10.87634,203433562691,0.29150,0.53774,
11.17212,203436519567,0.51315,0.73903,
11.48608,203439659242,0.39024,0.75609,
13.61914,203460990776,0.34775,0.73621,
13.88196,203463618816,0.43222,0.63517,
14.14490,203466248110,0.33627,0.50453,
14.37463,203468545905,0.43470,0.51504,
14.72083,203472007799,0.54872,0.58584,
15.08130,203475611802,0.59237,0.71802,
15.93982,203484197174,0.53631,0.62767,
17.28247,203497623438,0.56657,0.61495,
18.00586,203504857342,0.32992,0.51622,
18.82690,203513068517,0.27499,0.56540,
18.89392,203513737953,0.30973,0.56302,
19.18982,203516697741,0.50019,0.75517,
19.50049,203519804108,0.34243,0.54849,
20.15808,203526380252,0.37907,0.40368,
20.56873,203530486462,0.39667,0.45459,
21.52283,203540027799,0.42433,0.39231,
22.50720,203549870492,0.41409,0.40950,
22.80298,203552828847,0.33513,0.48915,
23.22998,203557098333,0.31192,0.52403,
23.54175,203560216384,0.23988,0.48524,
23.77222,203562520689,0.39163,0.63494,
24.06897,203565489010,0.48238,0.77414,
24.33374,203568136195,0.39662,0.69763,
24.65918,203571391241,0.29386,0.50567,
25.02112,203575010033,0.23885,0.41694,
25.56250,203580423932,0.22098,0.41183,
25.72742,203582073743,0.33463,0.26802,
26.28564,203587655161,0.33200,0.53812,
26.82788,203593077687,0.27053,0.55379,
27.56775,203600475872,0.26680,0.58600,
28.09253,203605724544,0.30861,0.57917,
28.76636,203612462789,0.35247,0.55117,
28.97974,203614596704,0.38251,0.67846,
29.20984,203616896998,0.36282,0.61576,
29.44141,203619212860,0.39301,0.55927,
29.73730,203622171564,0.75055,0.72326,
30.04773,203625276618,0.46369,0.53952,
30.31055,203627904642,0.52951,0.63923,
30.68982,203631696655,0.35506,0.52589,
30.98499,203634649127,0.81694,0.73548,
31.29675,203637766420,0.35910,0.53565,
31.92151,203644014590,0.35533,0.47924,
32.51184,203649917972,0.56465,0.51470,
33.00549,203654854453,0.61323,0.66646,
33.31750,203657973528,0.50679,0.49613,
33.94348,203664233745,0.48660,0.46487,
34.43433,203669142692,0.55853,0.52772,
34.92725,203674071666,0.63173,0.61290,
35.23975,203677196233,0.59953,0.63199,
36.02771,203685075771,0.59158,0.62770,
36.89832,203693781894,0.57951,0.65534,
37.39209,203698720157,0.58110,0.71844,
38.11426,203705941595,0.60957,0.66593,
38.64160,203711215484,0.62940,0.64962,
39.03442,203715142629,0.50697,0.64147,
39.29712,203717770556,0.64852,0.71701,
39.75757,203722374334,0.57176,0.64365,
40.03687,203725167311,0.55591,0.61871,
40.52954,203730093983,0.59327,0.65147,
40.87463,203733545707,0.42312,0.54147,
41.18762,203736675104,0.43061,0.57119,
41.51501,203739949661,0.54776,0.56661,
41.82813,203743080398,0.57283,0.57000,
42.40259,203748825329,0.72209,0.52850,
42.77991,203752598108,0.56236,0.46038,
43.30627,203757861164,0.57301,0.52885,
43.55518,203760350749,0.57960,0.52459,
43.78296,203762628951,0.37782,0.54360,
44.06152,203765413770,0.34554,0.55024,
44.50659,203769864805,0.54612,0.60329,
44.78442,203772643365,0.52134,0.61793,
45.29358,203777734833,0.64587,0.55207,
45.65869,203781385486,0.67125,0.56088,
45.96692,203784468339,0.66098,0.58549,
46.37781,203788577028,0.63567,0.57128,
46.69055,203791704812,0.75411,0.63039,
47.31580,203797957397,0.59833,0.52762,
47.56091,203800407852,0.66744,0.59929,
48.26709,203807469292,0.71532,0.60161,
48.59595,203810757911,0.61891,0.63798,
49.00647,203814864089,0.75879,0.66203,
49.33533,203818152704,0.56246,0.62348,
49.48328,203819631231,0.48527,0.45915,
49.69653,203821764056,0.46145,0.50319,
50.28845,203827683224,0.70176,0.61414,
50.55066,203830306160,0.58735,0.55575,
50.86328,203833432380,0.51934,0.53590,
51.27344,203837533859,0.60422,0.53882,
51.50427,203839841333,0.61148,0.57057,
51.89783,203843777253,0.65014,0.61087,
52.53870,203850185521,0.56890,0.58160,
53.27795,203857578715,0.59782,0.59429,
53.60742,203860873065,0.59882,0.64715,
54.87305,203873529455,0.59363,0.66337,
55.67639,203881563201,0.64053,0.62233,
55.95813,203884380281,0.63602,0.69263,
56.56360,203890434919,0.62791,0.65627,
57.10657,203895864575,0.66451,0.65254,
57.38574,203898656834,0.60773,0.69785,
57.63135,203901112646,0.62882,0.69996,
58.15723,203906371497,0.73016,0.67258,
58.40393,203908838135,0.82392,0.72065,
59.02808,203915079226,0.64480,0.64531,
59.37305,203918528898,0.59099,0.65382,
59.88208,203923619410,0.62350,0.66671,
60.58960,203930694811,0.62598,0.63301,
60.85303,203933329321,0.58225,0.62863,
61.72229,203942021817,0.62200,0.62228,
62.49451,203949743626,0.60987,0.64177,
62.75830,203952381716,0.64853,0.66782,
63.13538,203956152429,0.82201,0.76018,
63.46362,203959434971,0.70144,0.69013,
63.79236,203962722915,0.50627,0.64360,
64.39990,203968798129,0.62180,0.62655,
64.71277,203971927063,0.62960,0.61573,
65.13965,203976195113,0.71065,0.65788,
65.46863,203979484992,0.44306,0.55837,
65.94458,203984244769,0.49403,0.59131,
66.38831,203988682482,0.52465,0.59464,
67.14368,203996236002,0.55346,0.61213,
67.57227,204000521967,0.55704,0.66012,
68.35938,204008393190,0.60214,0.64572,
68.90222,204013820954,0.61420,0.67347,
69.14807,204016279968,0.45477,0.65589,
69.92163,204024015117,0.45051,0.63936,
70.39661,204028764922,0.39593,0.54942,
70.82373,204033036624,0.47714,0.50771,
71.23511,204037150348,0.54573,0.50593,
71.66162,204041415352,0.58513,0.52531,
72.25586,204047357161,0.61127,0.56645,
72.50061,204049805375,0.53852,0.61498,
72.87732,204053572058,0.48198,0.62518,
73.18958,204056695311,0.35404,0.58883,
73.42065,204059005401,0.52121,0.56096,
74.78345,204072633311,0.56099,0.52437,
75.02942,204075093172,0.58604,0.57263,
75.30884,204077886756,0.60446,0.57742,
75.52258,204080024463,0.67740,0.81968,
75.89001,204083699721,0.82774,0.96360,
77.19788,204096778191,0.60404,0.55928,
77.52661,204100065600,0.51015,0.46851,
78.44653,204109264162,0.62123,0.46946,
