TIME(2020/02/27 16:03:49.072),TIMETICK(f=10000000),FPOGX,FPOGY,
0.31201,153960453409,0.35935,0.01728,
0.68896,153964219500,0.44585,0.94596,
1.51025,153972435725,0.44432,0.96800,
1.93750,153976708028,0.49718,0.52829,
2.67725,153984101515,0.53254,0.50022,
2.75928,153984921441,0.52661,0.52503,
3.35400,153990873375,0.52032,0.47610,
3.61328,153993463244,0.57730,0.79528,
3.90918,153996421351,0.48457,0.47264,
4.35352,154000866969,0.49872,0.47658,
4.63184,154003648659,0.84632,0.70775,
5.01074,154007437551,0.90990,0.68998,
5.88037,154016133151,0.52551,0.44950,
6.27441,154020077333,0.49289,0.45313,
6.75146,154024844431,0.47993,0.46462,
7.13037,154028636274,0.43888,0.46203,
7.39258,154031257535,0.48136,0.51482,
9.25000,154049832917,0.40190,0.59869,
9.61035,154053435514,0.82858,0.71486,
10.41455,154061478176,0.82280,0.80561,
10.87793,154066111172,0.83482,0.74800,
11.40039,154071335311,0.85831,0.65210,
11.79541,154075284545,0.33592,0.65449,
12.12354,154078564578,0.39034,0.62262,
14.07910,154098120196,0.40700,0.62181,
14.43994,154101730476,0.39215,0.57225,
14.66992,154104032485,0.35252,0.41332,
14.99854,154107317904,0.44170,0.32568,
15.31299,154110461008,0.45356,0.31626,
15.59033,154113234064,0.41607,0.56492,
16.21436,154119473854,0.40430,0.60754,
16.69092,154124241844,0.43793,0.51098,
16.96973,154127029243,0.45637,0.61696,
17.48047,154132136964,0.44485,0.59089,
18.07080,154138040008,0.44143,0.51829,
18.95801,154146911626,0.41819,0.59391,
19.13867,154148716543,0.41930,0.55218,
19.82861,154155619038,0.45637,0.51929,
20.22266,154159558074,0.47853,0.44348,
20.91309,154166464108,0.42092,0.56384,
21.48779,154172207850,0.42305,0.55205,
21.99707,154177302574,0.45212,0.51446,
22.27686,154180098169,0.44444,0.52834,
22.67090,154184038164,0.40749,0.55419,
23.32861,154190615259,0.42762,0.51100,
23.62354,154193566033,0.38296,0.51571,
23.88623,154196193627,0.43041,0.52794,
24.33203,154200649166,0.39924,0.53612,
24.89111,154206244294,0.39842,0.57430,
25.67725,154214103446,0.41186,0.54026,
26.20361,154219366825,0.47590,0.62743,
26.56494,154222982368,0.49457,0.44642,
27.20508,154229380257,0.45946,0.49431,
27.87939,154236126971,0.41236,0.54397,
28.20703,154239403310,0.33050,0.71331,
28.50537,154242385132,0.38860,0.66548,
28.76563,154244988354,0.37548,0.83607,
30.12988,154258629059,0.40773,0.57432,
30.35986,154260929521,0.37970,0.64342,
32.36523,154280984201,0.42206,0.52967,
32.57813,154283111553,0.42173,0.37628,
61.27930,154570121947,0.43031,0.50643,
61.55713,154572903917,0.44195,0.44310,
61.77100,154575041356,0.41879,0.40075,
61.97119,154577042514,0.46864,0.38449,
62.09961,154578328303,0.45929,0.39555,
100.15576,154958887388,0.41411,0.64641,
102.07031,154978035293,0.45593,0.42855,
102.28369,154980169914,0.38661,0.61814,
102.53027,154982636098,0.62017,0.69295,
103.23682,154989701326,0.69139,0.69893,
103.61475,154993477914,0.69794,0.69996,
103.95947,154996927470,0.50056,0.44347,
104.46924,155002021233,0.41922,0.41102,
105.22461,155009578443,0.63467,0.30289,
105.47119,155012042319,0.58049,0.34551,
