TIME(2020/03/06 16:27:34.879),TIMETICK(f=10000000),FPOGX,FPOGY,
0.08191,3684227869622,0.38266,0.11018,
0.49268,3684231976445,0.54214,0.53133,
1.00232,3684237073974,0.54747,0.48659,
1.29785,3684240028728,0.53438,0.49446,
1.65955,3684243645697,0.54231,0.56288,
2.06995,3684247750209,0.53833,0.57280,
2.59558,3684253005847,0.54506,0.56366,
3.10486,3684258098544,0.53752,0.60647,
3.40063,3684261056008,0.54227,0.52145,
3.82776,3684265327347,0.55012,0.56612,
4.32080,3684270257747,0.54726,0.55288,
4.91199,3684276169798,0.55943,0.54820,
5.38892,3684280939952,0.54880,0.55637,
5.99634,3684287013981,0.54746,0.53706,
6.71960,3684294246506,0.55391,0.53068,
7.04785,3684297528341,0.53977,0.51399,
7.73767,3684304427530,0.56108,0.56190,
8.42773,3684311327645,0.56902,0.55882,
9.03589,3684317408881,0.56834,0.57464,
9.13416,3684318391725,0.56345,0.62714,
9.41370,3684321186697,0.40001,1.59952,
9.80896,3684325139636,0.29689,0.80633,
10.54761,3684332526665,0.48190,1.36120,
11.02344,3684337284989,0.51022,1.28663,
11.45056,3684341555910,0.22301,1.69544,
11.72998,3684344349544,1.06413,1.38032,
12.10791,3684348129821,0.48465,0.33581,
12.66638,3684353714629,0.50051,0.20011,
12.92920,3684356342539,0.53204,0.20204,
13.63586,3684363408346,0.53218,0.16590,
13.88318,3684365881605,0.48370,0.31071,
14.35889,3684370639009,0.51190,0.37620,
14.93481,3684376398489,0.49254,0.43511,
15.56018,3684382651846,0.47510,0.36763,
15.82227,3684385272816,0.47509,0.32735,
16.08362,3684387886600,0.46460,0.29472,
16.59314,3684392981400,0.41115,0.32614,
16.88855,3684395936040,0.54445,0.35710,
17.33228,3684400373107,0.51769,0.45056,
17.79224,3684404973009,0.55630,0.47750,
18.08923,3684407942802,0.43418,0.33031,
18.44958,3684411546516,0.33067,0.38826,
18.99146,3684416964375,0.37120,0.47667,
19.59998,3684423049473,0.36747,0.42062,
20.32373,3684430287508,0.37508,0.51346,
20.89758,3684436026504,0.39330,0.50170,
20.96313,3684436681170,0.48148,0.54874,
21.22620,3684439311768,0.44652,0.66220,
21.55481,3684442598460,0.46266,0.39063,
22.01465,3684447196674,0.36342,0.45796,
22.57483,3684452798946,0.37021,0.49056,
23.10010,3684458050771,0.37183,0.52625,
23.55994,3684462650040,0.37578,0.46727,
23.87170,3684465767738,0.42069,0.59119,
24.23267,3684469376880,0.43204,0.46006,
24.62683,3684473317983,0.44255,0.44237,
24.92346,3684476284409,0.52353,0.39379,
25.17126,3684478762597,0.42906,0.30958,
25.76025,3684484652188,0.29965,0.28143,
26.17139,3684488763699,0.29266,0.28833,
26.86096,3684495659976,0.29323,0.24991,
27.27283,3684499778099,0.65458,0.20988,
27.53467,3684502396579,0.53567,0.38466,
28.27380,3684509788156,0.51189,0.34144,
28.68469,3684513896990,0.50915,0.38727,
28.94763,3684516526443,0.38386,0.36809,
29.16101,3684518660368,0.52755,0.39892,
29.22705,3684519320309,0.49284,0.40489,
29.57288,3684522778965,0.42036,0.40177,
29.98254,3684526875640,0.46391,0.42669,
30.31226,3684530172586,0.35123,0.60894,
30.60901,3684533140656,0.44280,0.43862,
30.98450,3684536894907,0.47042,0.32096,
31.21436,3684539194282,0.41060,0.36793,
31.90527,3684546103016,0.38276,0.40825,
32.16797,3684548730209,0.47936,0.42286,
32.49646,3684552015198,0.68414,0.31334,
32.82471,3684555297068,0.67820,0.28021,
33.59839,3684563034147,0.63442,0.30544,
34.31970,3684570247190,0.62998,0.32480,
34.97705,3684576821073,0.61008,0.31394,
35.30652,3684580115577,0.63929,0.32036,
35.60120,3684583061743,0.82283,0.35893,
35.88025,3684585852849,0.81933,0.40325,
36.44006,3684591450839,0.64507,0.40080,
36.75098,3684594560533,0.64730,0.26134,
37.24402,3684599490039,0.49142,0.21367,
37.47400,3684601789758,0.49930,0.34461,
37.85193,3684605569955,0.51672,0.45535,
38.29565,3684610006190,0.45508,0.46294,
38.41150,3684611164686,0.53267,1.15234,
38.85474,3684615597410,0.46920,0.40183,
39.41248,3684621174674,0.48076,0.38364,
40.26709,3684629720818,0.47658,0.38650,
40.41479,3684631198431,0.49781,0.46938,
40.79272,3684634977343,0.47724,0.26066,
41.02246,3684637274570,0.44130,0.31677,
41.41687,3684641219307,0.38642,0.48163,
41.82751,3684645325178,0.39963,0.57294,
42.17273,3684648777997,0.36158,0.45083,
42.59973,3684653047346,0.27036,1.72523,
42.78052,3684654855813,0.28228,1.49931,
42.97803,3684656830629,0.46679,0.44589,
43.61853,3684663235363,0.47216,0.30545,
44.11206,3684668170733,0.50916,0.26585,
44.47253,3684671775546,0.46402,0.28054,
44.78601,3684674910022,0.88177,0.74824,
45.17896,3684678839621,0.42285,0.21677,
45.68945,3684683945286,0.47034,0.23359,
46.49353,3684691985852,0.46970,0.21373,
47.06824,3684697732682,0.50304,0.48396,
47.39771,3684701027145,0.46356,0.38881,
47.72546,3684704304786,0.34293,0.41034,
48.00537,3684707103505,0.49746,0.61928,
48.21863,3684709237044,0.38303,0.43059,
48.51526,3684712202244,0.35824,0.39069,
49.00696,3684717119976,0.50129,0.50146,
49.08936,3684717943922,0.48424,0.47247,
49.45105,3684721560145,0.44939,1.67697,
49.81201,3684725170432,0.58814,0.44919,
50.15857,3684728635546,0.46948,1.52408,
50.58398,3684732889937,0.54575,0.42983,
51.71765,3684744226610,0.51160,0.42096,
52.06262,3684747675838,0.51140,0.44396,
52.40869,3684751137493,0.50170,0.34743,
52.78577,3684754908473,0.50627,0.44545,
53.04822,3684757532750,0.59224,0.42836,
53.47559,3684761806567,0.57905,0.42480,
53.95227,3684766573239,0.53526,0.41397,
54.18237,3684768873828,0.61356,0.53174,
55.29895,3684780040149,0.50778,0.42980,
56.25232,3684789573208,0.50911,0.43714,
57.04224,3684797472167,0.50766,0.45483,
58.05957,3684807646316,0.50754,0.44095,
58.60168,3684813066661,0.51176,0.42639,
59.68628,3684823912570,0.52259,0.46032,
60.53979,3684832448381,0.51509,0.43272,
61.13135,3684838364027,0.51808,0.44220,
61.75647,3684844614669,0.54131,0.47726,
62.03528,3684847403569,0.54167,0.50084,
62.54419,3684852491934,0.53498,0.45457,
62.87366,3684855787037,0.50877,0.43279,
63.16931,3684858743583,0.52645,0.44069,
63.54773,3684862527189,0.55035,0.47275,
64.09094,3684867959640,0.53140,0.45672,
64.40076,3684871057669,0.49055,0.51517,
64.69629,3684874013505,0.46273,0.48859,
64.99255,3684876975871,0.48608,0.46967,
65.35376,3684880587552,0.53309,0.44492,
65.76428,3684884692619,0.57378,0.42627,
66.47205,3684891770783,0.52566,0.43470,
66.93079,3684896358030,0.52779,0.42903,
67.50806,3684902130619,0.50285,0.47145,
67.99854,3684907035599,0.49142,0.44883,
68.32703,3684910320528,0.42180,0.46921,
68.77100,3684914760453,0.47563,0.48013,
69.06653,3684917715003,0.44649,0.48990,
69.41138,3684921164385,0.53319,0.46534,
69.72351,3684924285441,0.48919,0.48139,
70.11890,3684928238608,0.48271,0.46567,
71.08875,3684937938078,0.50626,0.46377,
71.39941,3684941044905,0.50288,0.44568,
72.05725,3684947622449,0.50406,0.44658,
72.45105,3684951560177,0.50755,0.48882,
72.77930,3684954843213,0.54041,0.51231,
73.14172,3684958466890,0.61258,0.40982,
73.78149,3684964865227,0.48862,0.49209,
74.14319,3684968481987,0.85443,0.80160,
74.48804,3684971930289,0.49990,0.44322,
74.94934,3684976543809,0.52721,0.49485,
75.24365,3684979486741,0.45227,0.44212,
75.62146,3684983264719,0.54062,0.42305,
75.90088,3684986058990,0.56761,0.44814,
76.18005,3684988850617,0.60025,0.44532,
76.39392,3684990989510,0.60017,0.36275,
76.98560,3684996906338,0.56367,0.50170,
77.56006,3685002650846,0.53602,0.43669,
77.97119,3685006761792,0.52803,0.43187,
78.28271,3685009877675,0.96162,0.46877,
78.97375,3685016787390,0.57442,0.41146,
79.36707,3685020721242,0.53805,0.43839,
79.82727,3685025322349,0.49586,0.49813,
80.33862,3685030436399,0.51747,0.44544,
80.64856,3685033535492,0.82789,0.81115,
80.92810,3685036331728,0.49962,0.47315,
81.47095,3685041759698,0.50866,0.51553,
81.76587,3685044708370,0.45767,0.58116,
82.02881,3685047338151,0.40470,0.64072,
82.37476,3685050797455,0.41672,0.75132,
82.59180,3685052968631,0.54199,0.56760,
83.16248,3685058674378,0.56390,0.41772,
83.57825,3685062832611,0.29594,1.62177,
83.85254,3685065575914,0.56304,0.50746,
84.55994,3685072649504,0.53992,0.42531,
85.13367,3685078386747,0.51992,0.44721,
85.46228,3685081673074,0.48250,0.42652,
85.72510,3685084301461,0.47166,0.43407,
86.15247,3685088575031,0.83812,0.81251,
86.46436,3685091694222,0.48944,0.42776,
86.82581,3685095307816,0.50458,0.44263,
87.54871,3685102536781,0.51838,0.42392,
88.50195,3685112069796,0.45928,0.43537,
88.92883,3685116338273,0.45853,0.42976,
89.32397,3685120289620,0.52853,0.48657,
89.66833,3685123733571,0.52014,0.44025,
89.96399,3685126689942,0.51909,0.43925,
90.52234,3685132273049,0.50825,0.45560,
91.04797,3685137530333,0.44082,0.41931,
91.37708,3685140820581,0.54142,0.48795,
91.77319,3685144782044,0.47645,0.46824,
92.62524,3685153302097,0.51638,0.45292,
93.59460,3685162996616,0.49733,0.43642,
94.15344,3685168584226,0.51209,0.49522,
94.66235,3685173674019,0.51593,0.43872,
95.09009,3685177951190,0.52686,0.46413,
95.91089,3685186158951,0.53280,0.45417,
96.63391,3685193389101,0.50423,0.43923,
97.14319,3685198482399,0.51397,0.44083,
97.50549,3685202104665,0.52231,0.42597,
97.99744,3685207024599,0.51371,0.44767,
98.73779,3685214427878,0.51029,0.46264,
99.16394,3685218689816,0.50072,0.49131,
99.74036,3685224454323,0.44276,0.48103,
100.36304,3685230680412,0.43502,0.51880,
100.67529,3685233803447,0.45320,0.46142,
101.10339,3685238083856,0.50672,0.43200,
101.57898,3685242840226,0.51455,0.42854,
101.98999,3685246950266,0.53025,0.44551,
102.30200,3685250070423,0.54817,0.42476,
103.45215,3685261572156,0.51685,0.45135,
103.74756,3685264525551,0.51269,0.17718,
104.04309,3685267481486,0.49107,0.21339,
104.30713,3685270121212,0.48289,0.23042,
104.65112,3685273561152,0.48937,0.49020,
104.99597,3685277009404,0.45931,0.45005,
105.30823,3685280132980,0.36465,0.51521,
105.75330,3685284582653,0.53634,0.37991,
106.01477,3685287197700,0.15513,1.38721,
106.26160,3685289666613,0.22983,1.33185,
107.10046,3685298054367,0.58179,0.45278,
107.47693,3685301819749,0.51142,0.43092,
107.85925,3685305643271,0.49429,0.50581,
108.61035,3685313153589,0.45796,0.50098,
108.82581,3685315307907,0.56874,0.39443,
109.07434,3685317793127,0.52102,0.38247,
109.36621,3685320712235,0.46934,0.47581,
109.85889,3685325639133,0.46667,0.45394,
110.13965,3685328447006,0.46417,0.45549,
110.45044,3685331554987,0.49890,0.47738,
110.72974,3685334347304,0.45896,0.23045,
111.24023,3685339452295,0.49187,0.19924,
111.69897,3685344039933,0.54163,0.44009,
112.02759,3685347326008,0.89356,0.79426,
112.37268,3685350776821,0.50641,0.45837,
112.63647,3685353414743,0.37349,0.49168,
112.89893,3685356039355,0.34205,0.53903,
113.29321,3685359982592,0.49500,0.45803,
113.71985,3685364248411,0.52328,0.43069,
114.06470,3685367696973,0.54224,0.44136,
114.50879,3685372137797,0.59026,0.43017,
114.77124,3685374762668,0.53911,0.53040,
115.13269,3685378377425,0.93011,0.83226,
115.34631,3685380513022,0.77751,0.60129,
115.78967,3685384946758,0.48453,0.37785,
116.05310,3685387581578,0.34096,0.44306,
116.26636,3685389713919,0.54162,0.41015,
116.74304,3685394480771,0.93186,0.85227,
117.10437,3685398093587,0.42440,0.48366,
117.72852,3685404335947,0.52444,0.41258,
118.10693,3685408119894,0.52974,0.40991,
118.58276,3685412877398,0.63368,0.60685,
118.84558,3685415505763,0.82624,0.76537,
119.17407,3685418790439,0.52120,0.44684,
119.50293,3685422079356,0.51154,0.44471,
119.86426,3685425693227,0.61374,0.38843,
120.09412,3685427991863,0.59068,0.42322,
120.58911,3685432941416,0.51325,0.42720,
120.84973,3685435547887,0.59130,0.38966,
121.26050,3685439655577,0.49966,0.48912,
121.52356,3685442285260,0.49991,0.67521,
121.83655,3685445415730,0.45871,0.70943,
122.26257,3685449676470,0.43325,0.56568,
122.92053,3685456255083,0.52773,0.46056,
123.15002,3685458550046,0.43018,0.40625,
123.46277,3685461677610,0.23906,0.27321,
123.77393,3685464789833,0.50549,0.42756,
124.00476,3685467098008,0.54030,0.33492,
124.23401,3685469390904,0.62478,0.37813,
124.69409,3685473991170,0.64290,0.47519,
124.98975,3685476947994,0.62393,0.47794,
125.35315,3685480581918,0.40033,0.49313,
126.05762,3685487626603,0.51032,0.42774,
126.88025,3685495852514,0.54947,0.43976,
127.19128,3685498962869,0.49078,0.46739,
127.50427,3685502092974,0.43788,0.50763,
127.79919,3685505041940,0.45858,0.49603,
128.29260,3685509976131,0.55862,0.49362,
128.76892,3685514739913,0.58851,0.49661,
129.21204,3685519170958,0.49959,0.46999,
129.62415,3685523291872,0.47509,0.45684,
129.86963,3685525746386,0.56136,0.46464,
130.09924,3685528042282,0.49774,0.47374,
130.49390,3685531988766,0.46191,0.46087,
130.93750,3685536425827,0.50061,0.43173,
131.74194,3685544469763,0.52797,0.43329,
132.33350,3685550385734,0.50367,0.44742,
133.18884,3685558939065,0.50873,0.46223,
133.91052,3685566155743,0.49313,0.43891,
134.53552,3685572405252,0.51186,0.44840,
134.91272,3685576177453,0.50235,0.46844,
135.63696,3685583419778,0.49685,0.45208,
135.99695,3685587020205,0.49645,0.46067,
136.32568,3685590306709,0.63538,0.30183,
136.55713,3685592621924,0.59556,0.35473,
136.86816,3685595731784,0.54182,0.40941,
137.09924,3685598042997,0.46646,0.42456,
137.70618,3685604112320,0.45634,0.46925,
138.13293,3685608379836,0.48718,0.43317,
138.65845,3685613634668,0.52739,0.43871,
138.93860,3685616435997,0.49382,0.44769,
139.16956,3685618746248,0.50749,0.36317,
139.44775,3685621527398,0.49164,0.39588,
139.67725,3685623822119,0.39169,0.27295,
139.95667,3685626616686,0.33227,0.01686,
140.03894,3685627439295,0.37832,0.03378,
