TIME(2020/02/27 18:13:41.198),TIMETICK(f=10000000),FPOGX,FPOGY,
0.24646,231881027972,0.36863,0.09501,
0.49365,231883500841,0.53200,0.30250,
0.92029,231887766695,0.63149,0.71917,
1.29883,231891552754,0.36087,0.96035,
1.70850,231895649360,0.29542,0.96124,
1.98828,231898446884,0.56081,0.56555,
2.71094,231905672759,0.72274,0.73024,
3.12146,231909778917,0.72034,0.76617,
3.66357,231915199131,0.42318,0.94372,
3.91064,231917670124,0.39717,0.91304,
4.22327,231920796111,0.49598,0.49385,
4.63306,231924894230,0.58234,0.42126,
5.05115,231929075091,0.79366,0.77602,
5.35706,231932135114,0.55608,0.28792,
5.43774,231932941498,0.63834,0.24914,
5.99634,231938527874,0.96864,1.71411,
6.76868,231946250478,0.65010,0.24077,
7.05017,231949065675,0.56021,0.33277,
8.33057,231961869063,0.56499,0.37497,
8.67908,231965354156,0.66140,0.50491,
9.05212,231969085255,0.57527,0.44291,
9.74426,231976006930,0.55411,0.43009,
10.31165,231981680322,0.62142,0.42127,
10.66296,231985194108,0.55383,0.45865,
11.18799,231990443347,0.55645,0.54167,
11.43567,231992920759,0.44843,0.59147,
11.69763,231995540721,0.35733,0.55038,
11.99438,231998507260,0.37433,0.46972,
12.28857,232001450210,0.46733,0.42418,
12.55151,232004079312,0.42851,0.48567,
12.99561,232008519947,0.20368,0.44501,
13.42212,232012784942,0.19945,0.45071,
13.70264,232015590244,0.83068,0.46419,
13.80042,232016567908,0.76773,0.45604,
14.68738,232025437160,0.19956,0.46192,
15.08447,232029408564,0.26712,0.50811,
15.36218,232032186256,0.58550,0.52851,
15.82080,232036771882,0.33411,0.51516,
16.07080,232039271630,0.43491,0.56417,
16.52759,232043839285,0.48871,0.54573,
16.92151,232047779062,0.50788,0.59878,
17.20129,232050576708,0.68735,0.51538,
17.71191,232055683175,0.54448,0.58747,
18.25232,232061087074,0.61660,0.49520,
18.56433,232064207806,0.46334,0.44212,
19.18860,232070450373,0.48235,0.54217,
19.55017,232074065086,0.50180,0.50017,
19.92847,232077848959,0.53334,0.48482,
20.19238,232080487999,0.51805,0.47677,
20.43787,232082943056,0.41766,0.42689,
20.68384,232085402940,0.35179,0.38238,
20.91406,232087704856,0.21470,0.40153,
21.24390,232091003275,0.08948,0.39240,
21.63660,232094930346,0.06713,0.41383,
21.94861,232098050529,0.17218,0.41301,
22.26147,232101178636,0.40612,0.37061,
22.70496,232105613229,0.31141,0.38206,
23.11572,232109721361,0.39308,0.38109,
23.44702,232113034609,0.45287,0.40785,
23.87109,232117275091,0.59980,0.38161,
24.24878,232121051850,0.52955,0.46187,
24.54675,232124031489,0.57367,0.45440,
25.18530,232130416481,0.36482,0.37064,
25.25427,232131106420,0.31493,0.31640,
25.72791,232135843451,0.13459,0.51331,
26.00989,232138662577,0.24277,0.51414,
26.35181,232142081524,0.34349,0.44983,
26.68115,232145375482,0.42239,0.44554,
26.99329,232148496819,0.35952,0.45132,
27.51807,232153744350,0.28274,0.46358,
27.79895,232156553572,0.34509,0.54037,
28.27563,232161320833,0.39220,0.56083,
28.67114,232165274996,0.45595,0.56544,
29.04773,232169041331,0.36291,0.49095,
29.86768,232177241285,0.54633,0.54820,
30.11511,232179714963,0.44008,0.54635,
30.49255,232183489510,0.42386,0.54453,
30.85425,232187106026,0.49672,0.55612,
31.23096,232190873904,0.46849,0.58701,
31.59497,232194513564,0.55380,0.59496,
32.01953,232198759065,0.60607,0.62526,
32.41406,232202704145,0.64522,0.59880,
32.98865,232208451013,0.70177,0.61608,
33.35095,232212073300,0.66036,0.58840,
33.74536,232216017727,0.73276,0.48144,
34.23767,232220940461,0.58539,0.56503,
34.94482,232228012031,0.75705,0.54026,
35.44458,232233009579,0.67640,0.56784,
35.74915,232236055561,0.61763,0.56190,
36.04651,232239029529,0.56116,0.58031,
36.31213,232241685538,0.51239,0.55809,
36.63965,232244960587,0.46436,0.55683,
36.94910,232248054943,0.43878,0.59601,
37.32764,232251840166,0.44113,0.64597,
37.62158,232254780315,0.46449,0.66129,
38.00012,232258565310,0.57712,0.57041,
38.39429,232262506572,0.57985,0.56755,
38.64172,232264981562,0.50528,0.52544,
38.93872,232267950979,0.47432,0.51394,
39.24817,232271045584,0.48823,0.39049,
39.46289,232273192607,0.44084,0.45223,
40.38184,232282381898,0.35462,0.70847,
40.76013,232286164757,0.33063,0.66964,
41.05530,232289116613,0.56073,0.68060,
41.49890,232293552938,0.35648,0.66543,
41.72961,232295859558,0.52227,0.74438,
42.02722,232298836169,0.44140,0.76609,
42.40271,232302590890,0.48894,0.60025,
42.83362,232306899879,0.38924,0.83590,
43.04419,232309005975,0.17487,0.77745,
43.28955,232311458965,0.20801,0.79701,
43.84912,232317055219,0.34551,0.80223,
44.21118,232320675594,0.24627,0.76858,
44.52173,232323781058,0.33987,0.71809,
45.06470,232329210442,0.40699,0.77898,
45.32935,232331856941,0.49648,0.83519,
45.68848,232335448480,0.53503,0.81437,
46.31335,232341697370,0.47152,0.83671,
46.95337,232348097978,0.47258,0.86604,
47.19958,232350560287,0.37906,0.82834,
47.46436,232353207310,0.12456,0.73242,
47.72632,232355827626,0.19445,0.72210,
48.03772,232358940672,0.43828,0.67971,
48.41663,232362730568,0.32146,0.74043,
48.91016,232367666044,0.66610,0.65584,
49.45044,232373067969,0.47583,0.72888,
49.77966,232376360276,0.61089,0.64641,
50.27185,232381282141,0.47480,0.71435,
50.65076,232385071616,0.59734,0.63523,
50.94592,232388023444,0.55127,0.68289,
51.37256,232392289532,0.46739,0.72506,
51.74146,232395978017,0.46712,0.72449,
52.04785,232399042564,0.46702,0.69879,
52.39478,232402511484,0.40918,0.65644,
52.98254,232408389353,0.57003,0.63506,
53.29529,232411516455,0.52088,0.65942,
53.64282,232414992272,0.51515,0.68597,
53.95203,232418084606,0.43155,0.72870,
54.44519,232423016361,0.49348,0.76469,
54.88831,232427447097,0.54133,0.80439,
55.16785,232430242088,0.50898,0.80033,
55.51489,232433713116,0.48585,0.75414,
55.95618,232438125732,0.53312,0.84853,
56.38428,232442406709,0.49916,0.86104,
56.81152,232446678780,0.49341,0.78500,
57.10706,232449634350,0.54008,0.71862,
57.56641,232454227480,0.56310,0.71107,
58.12646,232459828823,0.52449,0.68697,
58.94812,232468044893,0.56752,0.66959,
59.17810,232470344775,0.43421,0.65419,
59.51160,232473679454,0.44491,0.61459,
59.81738,232476738067,0.43905,0.62610,
60.09753,232479539196,0.43724,0.65060,
60.93445,232487908730,0.51995,0.72897,
61.51062,232493670406,0.56219,0.76993,
61.96924,232498256866,0.58940,0.79691,
62.46240,232503187465,0.58716,0.78488,
62.82422,232506806467,0.49806,0.78727,
63.12012,232509764739,0.55945,0.71821,
63.54968,232514060329,0.50477,0.63378,
63.89307,232517494961,0.55273,0.62013,
64.13757,232519940176,0.45695,0.49093,
64.48303,232523394372,0.47680,0.48029,
64.96118,232528176170,0.57247,0.47990,
65.32043,232531768707,0.62366,0.51380,
65.86499,232537213796,0.54496,0.46529,
66.09460,232539509837,0.46564,0.36016,
66.41199,232542684190,0.52867,0.31763,
66.79907,232546554684,0.52207,0.36706,
68.01721,232558736615,0.55891,0.42765,
68.34705,232562034687,0.54767,0.40912,
68.68835,232565447898,0.54622,0.44456,
69.08398,232569404240,0.56604,0.43730,
69.72559,232575819935,0.55838,0.41619,
70.89050,232587469207,0.56547,0.50489,
71.56421,232594205704,0.55728,0.52487,
72.17920,232600355561,0.52280,0.51203,
72.41895,232602752894,0.38406,0.44953,
72.76343,232606198703,0.29218,0.33590,
73.04297,232608993107,0.22663,0.33475,
73.48779,232613441599,0.35088,0.38260,
74.14795,232620043636,0.35742,0.41082,
74.55432,232624107635,0.55204,0.55635,
74.85022,232627066136,0.67176,0.29391,
75.18201,232630383439,0.69114,0.29101,
75.41431,232632706419,0.61552,0.32211,
75.75354,232636099157,0.53525,0.41207,
76.54517,232644016028,0.51711,0.67694,
76.90393,232647603328,0.48768,0.66067,
77.28381,232651401846,0.21188,0.90979,
77.82275,232656791380,0.26941,0.51499,
78.44763,232663040805,0.32101,0.53878,
78.67798,232665343365,0.44664,0.38776,
78.95947,232668158570,0.47468,0.32896,
79.28516,232671415430,0.62486,0.26788,
79.61499,232674714426,0.39858,0.19549,
80.02600,232678824331,0.67555,0.37732,
80.33777,232681941918,0.65844,0.40005,
80.45166,232683080131,0.60335,0.43984,
80.96130,232688176631,0.45689,0.35582,
81.43726,232692936394,0.42117,0.35239,
82.35205,232702083898,0.44819,0.32818,
82.93213,232707885011,0.45122,0.33445,
83.16272,232710190941,0.54825,0.34747,
83.34839,232712047651,0.54801,0.37626,
83.67993,232715363398,0.53540,0.40161,
84.32922,232721855810,0.48958,0.39778,
84.66125,232725176226,0.49184,0.39737,
84.94165,232727980020,0.50036,0.40892,
85.23206,232730884173,0.43820,0.42962,
85.52856,232733850061,0.42761,0.42291,
85.72595,232735823242,0.36574,0.47005,
86.28589,232741422979,0.36537,0.47375,
86.77734,232746336842,0.41757,0.53023,
87.15430,232750106864,0.31930,0.53265,
87.56494,232754213562,0.34788,0.54080,
88.18921,232760455618,0.35051,0.49865,
88.55066,232764070610,0.40080,0.50489,
88.97827,232768347096,0.42835,0.53009,
89.43811,232772944663,0.42002,0.52927,
89.66785,232775242909,0.32229,0.53003,
89.98401,232778404412,0.23311,0.46615,
90.37720,232782335674,0.30358,0.47782,
90.80151,232786578543,0.38784,0.52897,
91.46045,232793168705,0.45198,0.54649,
91.80493,232796613595,0.49307,0.58199,
92.23132,232800876914,0.46111,0.59900,
92.57776,232804341591,0.45773,0.62654,
93.03613,232808924974,0.35246,0.65220,
93.57874,232814350786,0.41392,0.67172,
93.89258,232817490161,0.49074,0.63131,
94.15417,232820105930,0.57122,0.52958,
94.59705,232824533833,0.59322,0.53769,
94.87769,232827340572,0.57340,0.50667,
95.35254,232832088795,0.53443,0.54935,
95.63135,232834877663,0.51786,0.57107,
96.45459,232843110044,0.56962,0.61482,
96.78748,232846438329,0.51280,0.59143,
97.06372,232849201392,0.53464,0.58541,
97.31262,232851689990,0.47728,0.47836,
97.61938,232854757225,0.48707,0.45044,
98.03027,232858866488,0.48715,0.57277,
98.96655,232868229770,0.55044,0.50310,
99.56030,232874166447,0.64003,0.50939,
100.06726,232879237066,0.66569,0.49051,
100.62756,232884839627,0.65803,0.42898,
101.10278,232889592096,0.61955,0.42038,
101.51440,232893708091,0.57779,0.41239,
