TIME(2020/02/27 15:04:02.617),TIMETICK(f=10000000),FPOGX,FPOGY,
0.04919,118093604945,0.43178,0.20360,
0.45923,118097705850,0.47780,0.22140,
0.77234,118100836918,0.53081,0.46843,
1.13403,118104453910,0.49977,0.90657,
1.39783,118107091787,0.37320,0.92905,
1.84058,118111519726,0.29357,0.91640,
2.39880,118117100985,0.33343,0.93973,
2.51367,118118250522,0.33364,0.75838,
2.94092,118122522702,0.42039,0.45138,
3.25305,118125643492,0.69674,0.59362,
4.23779,118135491142,0.73950,0.72611,
4.61609,118139273842,0.49933,0.90943,
5.68542,118149968257,0.44917,0.92741,
6.40601,118157173499,0.16206,0.82442,
6.84985,118161611474,0.36517,0.23487,
8.47693,118177882943,0.37513,0.39832,
8.97534,118182867471,0.50210,0.47732,
9.33545,118186468068,0.59711,0.36812,
9.59485,118189062202,0.51563,0.35761,
10.10364,118194150483,0.39439,0.29952,
10.71082,118200221305,0.40765,0.27127,
10.99023,118203015431,0.43006,0.27776,
11.31812,118206294383,0.18314,0.32171,
11.50305,118208143953,-0.00100,0.34561,
11.94250,118212538777,0.22443,0.85322,
12.81372,118221250559,0.38860,0.21737,
13.10303,118224144246,0.40627,0.28118,
13.75159,118230629959,0.41172,0.22331,
14.14380,118234551560,0.41470,0.19258,
14.58752,118238988387,0.45685,0.22436,
15.16248,118244738131,0.45824,0.20432,
15.65564,118249669997,0.43404,0.24420,
16.18115,118254925064,0.44619,0.26634,
16.46033,118257716806,0.35468,0.27219,
17.13647,118264477953,0.33132,0.27381,
17.92432,118272356386,0.38739,0.23515,
19.36951,118286808080,0.44188,0.25035,
19.68042,118289917187,0.45723,0.24786,
20.30505,118296164286,0.48724,0.22785,
21.11084,118304222445,0.46605,0.22841,
21.57031,118308816716,0.47497,0.19212,
21.81628,118311275954,0.47874,0.18083,
22.37573,118316870334,0.48540,0.17835,
22.68677,118319981058,0.47356,0.25576,
23.22925,118325406119,0.47950,0.33647,
23.57446,118328857812,0.51104,0.21642,
24.67664,118339879386,0.50483,0.17481,
25.16980,118344811643,0.49720,0.21911,
25.51257,118348239769,0.49595,0.17143,
26.23596,118355473290,0.49810,0.19815,
26.66284,118359741319,0.49120,0.19504,
27.02441,118363357781,0.46835,0.23034,
27.38538,118366967808,0.44907,0.24826,
27.61572,118369270719,0.46153,0.25501,
27.91138,118372226783,0.46387,0.27654,
28.51953,118378308772,0.46491,0.26431,
29.27527,118385866289,0.50301,0.23691,
29.76953,118390808709,0.49348,0.24492,
30.29382,118396051761,0.48319,0.27790,
31.13171,118404430812,0.44377,0.27779,
31.44336,118407547092,0.49111,0.34390,
32.15002,118414614276,0.49315,0.35953,
32.41272,118417240986,0.44134,0.31878,
33.18494,118424962481,0.42970,0.35742,
33.64478,118429561637,0.49191,0.32005,
34.17065,118434820068,0.42405,0.31234,
34.74695,118440583311,0.38259,0.33725,
35.31274,118446240736,0.36627,0.36429,
35.63733,118449487304,0.33602,0.36448,
36.12549,118454368669,0.34636,0.35827,
36.48694,118457983181,0.36106,0.39741,
36.65137,118459626996,0.29480,0.49167,
37.27991,118465912775,0.30554,0.42256,
37.62073,118469321039,0.54647,0.38456,
38.21191,118475232530,0.51187,0.39591,
38.45837,118477697000,0.34227,0.37583,
38.73816,118480494901,0.10096,0.37503,
39.00317,118483144893,0.02250,0.46944,
39.70764,118490190310,0.03500,0.50289,
40.01062,118493219730,0.12265,0.50004,
40.21838,118495297324,0.32094,0.43637,
40.51221,118498235499,0.49639,0.40485,
41.02136,118503327271,0.38637,0.43178,
41.36804,118506794138,0.44985,0.40770,
41.66199,118509733904,0.51113,0.43552,
42.20996,118515212902,0.53489,0.47665,
42.51660,118518278914,0.74531,0.46646,
43.07739,118523887159,0.53986,0.46485,
43.35413,118526655012,0.71590,0.50654,
43.92920,118532405297,0.47561,0.52684,
44.32410,118536354065,0.70452,0.45741,
44.65198,118539633722,0.68111,0.41176,
44.91541,118542267119,0.59538,0.39909,
45.21057,118545219152,0.57847,0.38767,
45.55676,118548680903,0.55065,0.43473,
46.27869,118555900657,0.51452,0.41799,
46.82263,118561339315,0.57663,0.40463,
47.05066,118563620090,0.41362,0.40965,
47.67712,118569885188,0.20196,0.43519,
47.95544,118572667588,0.23607,0.42569,
48.21191,118575233029,0.40367,0.16059,
48.71021,118580215811,0.34727,0.38554,
49.38452,118586958347,0.51161,0.36216,
49.63123,118589425411,0.41669,0.30234,
49.96082,118592721604,0.13991,0.37763,
50.22131,118595327162,0.14694,0.33163,
50.56824,118598796251,0.34953,0.25140,
50.84558,118601569809,0.26860,0.27413,
51.22437,118605356808,0.48433,0.24404,
51.57043,118608817337,0.50380,0.23322,
52.32520,118616365803,0.51869,0.23767,
52.78418,118620955279,0.46694,0.25034,
53.03125,118623426565,0.42361,0.29980,
53.34448,118626558324,0.11315,0.35835,
53.58020,118628915379,0.18209,0.37323,
53.83716,118631485648,0.34836,0.33468,
54.18091,118634922145,0.18121,0.43518,
54.72339,118640347709,0.45634,0.40793,
55.03723,118643486369,0.50773,0.41653,
55.54590,118648572957,0.34097,0.34609,
55.94360,118652549141,0.42670,0.34441,
56.34949,118656608678,0.51718,0.35713,
57.18713,118664985378,0.53954,0.41834,
57.60034,118669117343,0.54283,0.47590,
58.05933,118673706167,0.54186,0.44860,
58.74817,118680595344,0.56662,0.41706,
59.15918,118684705142,0.57150,0.45442,
59.55286,118688642323,0.55417,0.47131,
60.25916,118695705151,0.55526,0.47478,
60.75208,118700633755,0.52332,0.47554,
61.06482,118703761332,0.20341,0.50029,
62.11609,118714273973,0.54754,0.55179,
62.54541,118718567021,0.54884,0.58560,
63.21777,118725290721,0.54311,0.62476,
64.17834,118734897090,0.55865,0.66735,
64.66272,118739740230,0.48424,0.67449,
65.47009,118747814157,0.43269,0.68068,
65.69727,118750085819,0.52791,0.61376,
65.99316,118753045045,0.54268,0.58478,
66.81677,118761280643,0.43572,0.60325,
67.32532,118766366892,0.41046,0.60401,
67.61938,118769307028,0.34370,0.61215,
68.44702,118777584329,0.32245,0.69127,
68.85144,118781628203,0.27577,0.71428,
69.11462,118784259463,0.37020,0.71707,
69.39380,118787051503,0.54624,0.85153,
69.85376,118791651329,0.49623,0.91997,
70.52722,118798385411,0.54264,0.78099,
70.75781,118800691562,0.46718,0.90188,
71.25012,118805614701,0.50592,0.88820,
71.67725,118809886326,0.53995,0.80847,
71.95679,118812680949,0.59014,0.86393,
72.44421,118817555903,0.52032,0.89785,
72.89294,118822043461,0.89109,0.74257,
73.18921,118825005945,0.76186,0.79432,
73.56836,118828797494,0.64039,0.80185,
74.34521,118836565438,0.51667,0.82291,
74.88147,118841927830,0.49865,0.80746,
75.17725,118844885686,0.35709,0.23995,
75.48987,118848012029,0.48812,0.22759,
75.80237,118851137597,0.32814,0.44306,
76.08167,118853929655,0.46507,0.48604,
76.65613,118859675352,0.33630,0.51551,
77.26416,118865755608,0.33844,0.49362,
77.70850,118870198082,0.36162,0.50032,
78.25012,118875615248,0.47988,0.26861,
78.61169,118879230271,0.29331,0.04943,
78.94031,118882516398,0.34355,0.00171,
