TIME(2020/03/06 14:21:47.842),TIMETICK(f=10000000),FPOGX,FPOGY,
0.01709,3608757569780,0.33503,-0.00609,
0.39441,3608761343038,0.34127,-0.01767,
0.82166,3608765615164,0.63363,0.76210,
1.26501,3608770049455,0.32023,0.98026,
1.67688,3608774167548,0.49068,0.44499,
2.15210,3608778920232,0.71548,0.84600,
2.53174,3608782716247,0.72965,0.74169,
3.20349,3608789434343,0.44675,1.00960,
3.54858,3608792884466,0.45363,0.40008,
3.89368,3608796336527,0.69537,0.51451,
4.23889,3608799787574,0.84607,0.53066,
4.66663,3608804065890,0.84272,0.79571,
5.04480,3608807846664,0.76799,0.43648,
5.38977,3608811297030,0.79770,0.46007,
5.93079,3608816707013,0.82020,0.44548,
6.47583,3608822157018,0.79015,0.46357,
6.75208,3608824920457,0.55863,0.14310,
7.17932,3608829192674,0.54309,0.11988,
7.60718,3608833470411,0.53737,0.29370,
8.00098,3608837408380,0.53278,0.24472,
8.92102,3608846608870,0.62143,0.27735,
9.20105,3608849410084,0.55034,0.34090,
9.54785,3608852878197,0.46434,0.32391,
9.82629,3608855662553,0.41597,0.33372,
10.54858,3608862885035,0.49816,0.36139,
10.86011,3608866000219,0.45686,0.40249,
11.74756,3608874874966,0.46158,0.41073,
12.76514,3608885050690,0.47909,0.44164,
12.99609,3608887360605,0.61189,0.53293,
13.39246,3608891323109,0.61406,0.57826,
13.71838,3608894582717,0.60550,0.64120,
14.16223,3608899021227,0.52778,0.69016,
14.54993,3608902898488,0.48280,0.63399,
14.80273,3608905425894,0.46228,0.64664,
15.18286,3608909227764,0.46006,0.66363,
15.46460,3608912044580,0.49412,0.50877,
15.75623,3608914961997,0.41534,0.59801,
16.16589,3608919057484,0.39827,0.61101,
16.79138,3608925313076,0.40587,0.57022,
17.13525,3608928751604,0.49095,0.49865,
17.38513,3608931250535,0.47202,0.50423,
17.82593,3608935658769,0.40147,0.54060,
18.15405,3608938939146,0.38724,0.53379,
18.65308,3608943930157,0.37026,0.45426,
18.92590,3608946658565,0.42627,0.44652,
19.32019,3608950600477,0.41366,0.43306,
19.58374,3608953237086,0.41160,0.46076,
19.86267,3608956026232,0.40116,0.43783,
20.29333,3608960332339,0.38863,0.45476,
20.68542,3608964252824,0.38856,0.39061,
21.02954,3608967694750,0.11806,0.32700,
21.37952,3608971194871,0.11477,0.37791,
21.99902,3608977389555,0.39450,0.42018,
22.38293,3608981228488,0.36647,0.42017,
22.67517,3608984150393,0.41902,0.42996,
22.95093,3608986908569,0.53324,0.42118,
23.28271,3608990226199,0.58992,0.35115,
23.79077,3608995306307,0.58504,0.30792,
24.38086,3609001208263,0.52601,0.28053,
25.03772,3609007776050,0.51985,0.27525,
25.53040,3609012702750,0.51177,0.23741,
25.85059,3609015905431,0.49442,0.24856,
26.18750,3609019274496,0.47361,0.23617,
26.53247,3609022723889,0.46999,0.22960,
27.07922,3609028191566,0.47927,0.21252,
27.48682,3609032267554,0.47658,0.22688,
27.75171,3609034916024,0.57764,0.13026,
28.04895,3609037888746,0.65248,0.11372,
28.48767,3609042275929,0.59676,0.12367,
28.96387,3609047037711,0.52207,0.13924,
29.29297,3609050329164,0.45333,0.16450,
29.54688,3609052867882,0.44487,0.16761,
29.76904,3609055089504,0.50951,0.21444,
30.31946,3609060593380,0.55283,0.23830,
30.87000,3609066099466,0.50781,0.28809,
31.23108,3609069709923,0.46289,0.25126,
31.97034,3609077102468,0.46188,0.22368,
32.29895,3609080388133,0.45072,0.17752,
32.78088,3609085208563,0.44914,0.21852,
33.08801,3609088279772,0.44555,0.23259,
33.49878,3609092386845,0.43888,0.22198,
33.91382,3609096537419,0.43290,0.24902,
34.41821,3609101581296,0.42622,0.21728,
34.81677,3609105566771,0.42864,0.28737,
35.29407,3609110339587,0.39540,0.26999,
35.60107,3609113409790,0.33343,0.30110,
35.99792,3609117378636,0.34223,0.26680,
36.51147,3609122514336,0.36077,0.26843,
36.73462,3609124745630,0.35096,0.21817,
37.03040,3609127702884,0.34857,0.19327,
37.57727,3609133172211,0.37229,0.23318,
38.06555,3609138054108,0.39861,0.20345,
38.31689,3609140568609,0.57076,0.20980,
38.65796,3609143978157,0.62553,0.21855,
39.01855,3609147584365,0.51018,0.23862,
39.56189,3609153017541,0.43983,0.26536,
39.92334,3609156632494,0.41412,0.27355,
40.29968,3609160396454,0.41579,0.25501,
40.66138,3609164012387,0.42342,0.38236,
40.99146,3609167313164,0.43935,0.37479,
41.35205,3609170920259,0.48186,0.33399,
41.63049,3609173704016,0.52722,0.31769,
42.21106,3609179509786,0.70451,0.41175,
42.78442,3609185243537,0.66791,0.41326,
43.22668,3609189666589,0.64409,0.46002,
43.66760,3609194075159,0.57455,0.45611,
44.15015,3609198901188,0.39971,0.41915,
44.48254,3609202225053,0.56054,0.31130,
44.81763,3609205575952,0.63967,0.42850,
45.18848,3609209284355,0.39374,0.43978,
45.44714,3609211870734,0.50852,0.42592,
45.75427,3609214942479,0.60741,0.40715,
46.14856,3609218885326,0.62456,0.42686,
46.50000,3609222399107,0.59366,0.38152,
46.82471,3609225646168,0.64948,0.42113,
47.21631,3609229562197,0.61523,0.39971,
47.72559,3609234654690,0.49522,0.33342,
48.00720,3609237470647,0.41463,0.31307,
48.53064,3609242705259,0.26771,0.37106,
48.81519,3609245551411,0.37824,0.37580,
49.12622,3609248660753,0.50703,0.36413,
49.46729,3609252072064,0.60846,0.34353,
49.71509,3609254550169,0.62664,0.37604,
50.25879,3609259986470,0.54813,0.37173,
50.66626,3609264061748,0.49093,0.34233,
50.98584,3609267257984,0.55201,0.39855,
51.93127,3609276712206,0.47447,0.36847,
52.83643,3609285763928,0.44215,0.40694,
53.29797,3609290379199,0.57103,0.40368,
53.67419,3609294141113,0.66873,0.38528,
53.93567,3609296755367,0.66672,0.33531,
54.48132,3609302212457,0.66043,0.34803,
55.35571,3609310956484,0.64772,0.34722,
55.62769,3609313676432,0.51851,0.58675,
56.01794,3609317578654,0.57404,0.25894,
56.43274,3609321725936,0.56284,0.18772,
56.68127,3609324212266,0.49823,0.24973,
56.84692,3609325868402,0.43562,0.41334,
57.11487,3609328548036,0.49502,0.44362,
57.73059,3609334705481,0.06200,0.41249,
58.01514,3609337550684,0.07221,0.41100,
58.37268,3609341126525,0.65214,0.45155,
58.79846,3609345383658,0.18398,0.43448,
59.11426,3609348542189,0.20727,0.50766,
59.32532,3609350652457,0.33849,0.49763,
59.58704,3609353269941,0.64027,0.50212,
59.98132,3609357212527,0.19751,0.46512,
60.12915,3609358691083,0.23166,0.36691,
60.51587,3609362557291,0.72774,0.50026,
61.01636,3609367562521,0.21379,0.51004,
61.57703,3609373169344,0.74492,0.52960,
61.95288,3609376927783,0.69321,0.51290,
62.25635,3609379963065,0.64975,0.44819,
62.51526,3609382551188,0.43571,0.35009,
62.81555,3609385554665,0.35980,0.33669,
63.11975,3609388596654,0.28086,0.24102,
63.41772,3609391575842,0.41453,0.10144,
63.76086,3609395007459,0.19346,0.25246,
64.05920,3609397991493,0.24933,0.22410,
64.35144,3609400913368,0.33099,0.21526,
64.68591,3609404257811,0.40165,0.21755,
64.94763,3609406875709,0.45286,0.19407,
65.40283,3609411427917,0.51533,0.17970,
65.69861,3609414384711,0.55270,0.11310,
65.99609,3609417360581,0.55191,0.14344,
66.45496,3609421948205,0.69729,0.29859,
66.75232,3609424922142,0.65440,0.25541,
67.21716,3609429570921,0.57532,0.21084,
67.57324,3609433131829,0.53513,0.22775,
68.29590,3609440358738,0.53562,0.26530,
68.77087,3609445108028,0.52451,0.30078,
69.38086,3609451207263,0.52282,0.31084,
69.77551,3609455154616,0.20630,0.40199,
70.02148,3609457613587,0.27101,0.36907,
70.58179,3609463216676,0.54408,0.33933,
71.30090,3609470408003,0.56032,0.33736,
71.75073,3609474906038,0.39356,0.33025,
72.09326,3609478331507,0.46197,0.31740,
72.33582,3609480756875,0.44479,0.25384,
72.59875,3609483386325,0.47450,0.28058,
72.89429,3609486342524,0.47954,0.24432,
73.38745,3609491273636,0.33646,0.19467,
73.65027,3609493901804,0.38813,0.19579,
73.96301,3609497029128,0.40773,0.20258,
74.37866,3609501186212,0.37835,0.17142,
74.75085,3609504907434,0.40777,0.20431,
75.21680,3609509567686,0.45010,0.26668,
75.52405,3609512640035,0.52930,0.21272,
75.76941,3609515093786,0.55590,0.07900,
76.19653,3609519364565,0.53998,0.09652,
76.44604,3609521859554,0.57686,0.06292,
76.88647,3609526264476,0.68207,0.16889,
77.31494,3609530549035,0.52999,0.02448,
78.13513,3609538750252,0.54413,0.12233,
78.48181,3609542217815,0.56064,0.08400,
79.08960,3609548294840,0.58980,0.09021,
79.53186,3609552718045,0.60930,0.10546,
79.91467,3609556546386,0.60097,0.13014,
80.36987,3609561097924,0.58116,0.13089,
80.91602,3609566558713,0.49470,0.11558,
81.20764,3609569475962,0.41495,0.16438,
82.68604,3609584259377,0.47787,0.10457,
83.01685,3609587567869,0.32691,0.15992,
83.39270,3609591326662,0.46195,0.09921,
83.77026,3609595102057,0.47159,0.08302,
84.03308,3609597729713,0.42893,0.11950,
84.31555,3609600554627,0.30218,0.10109,
84.64270,3609603826394,0.20311,0.15100,
84.95337,3609606932393,0.12317,0.19396,
85.41577,3609611556713,0.15957,0.21837,
85.69238,3609614323369,0.23386,0.12826,
86.05408,3609617940136,0.34002,0.14603,
86.51733,3609622572920,0.35966,0.15097,
86.91541,3609626553032,0.38540,0.09598,
87.31921,3609630591145,0.44337,0.13231,
87.89441,3609636343579,0.50124,0.07407,
88.17896,3609639189083,0.51481,0.07911,
88.64978,3609643896547,0.50781,0.08833,
88.92883,3609646687664,0.49655,0.08129,
89.50391,3609652437963,0.51922,0.08721,
89.91760,3609656575086,0.52312,0.09382,
90.62268,3609663626258,0.52710,0.08059,
91.16357,3609669035338,0.53239,0.13196,
92.51624,3609682561010,0.55591,0.17348,
93.61633,3609693561911,0.55856,0.20602,
94.20251,3609699424124,0.52256,0.25115,
94.94507,3609706849303,0.58463,0.22267,
96.11475,3609718546509,0.56646,0.19440,
96.68408,3609724240009,0.56089,0.19137,
97.89990,3609736398084,0.49916,0.29546,
98.26086,3609740008061,0.48413,0.25926,
98.60840,3609743483274,0.49233,0.24930,
99.03259,3609747725169,0.49958,0.25489,
99.28418,3609750240809,0.42373,0.29794,
99.57642,3609753163675,0.39762,0.32992,
100.05151,3609757914476,0.38211,0.32713,
100.53064,3609762705407,0.36923,0.31123,
101.34912,3609770890142,0.36657,0.30428,
101.85071,3609775906710,0.38878,0.31513,
102.20325,3609779431547,0.38773,0.32280,
102.78052,3609785204658,0.37381,0.29690,
103.10779,3609788477342,0.39284,0.35313,
103.55042,3609792903429,0.39595,0.37534,
103.79688,3609795367456,0.43205,0.33296,
104.07666,3609798166136,0.48222,0.26191,
104.48682,3609802267445,0.79641,0.60035,
104.74976,3609804896546,0.78350,0.63284,
105.09485,3609808347349,0.57010,0.40405,
105.44055,3609811804188,0.65025,0.61664,
105.86694,3609816068057,0.56642,0.65026,
106.29431,3609820342496,0.48806,0.65908,
106.54651,3609822864455,0.45480,0.51382,
106.81995,3609825598331,0.45864,0.48444,
107.41821,3609831581051,0.49646,0.44641,
107.76355,3609835034047,0.47921,0.46346,
108.38306,3609841229812,0.54977,0.43463,
109.05432,3609847942597,0.50808,0.42759,
109.74731,3609854872724,0.47064,0.44177,
110.53284,3609862727188,0.45778,0.39835,
110.85059,3609865904642,0.46655,0.40720,
111.58521,3609873251765,0.45395,0.37187,
112.08313,3609878229931,0.44418,0.36459,
112.58679,3609883266879,0.44611,0.42037,
113.04907,3609887890033,0.43910,0.45305,
113.45898,3609891989526,0.42760,0.40517,
113.76953,3609895094393,0.43849,0.44219,
114.03198,3609897719323,0.41767,0.46543,
114.31885,3609900587545,0.40063,0.47771,
114.59192,3609903318318,0.33765,0.51632,
114.86987,3609906097889,0.22252,0.52207,
115.21826,3609909581728,0.16218,0.54361,
115.48157,3609912214706,0.25442,0.52343,
115.84692,3609915868541,0.36634,0.57540,
116.39929,3609921391799,0.42489,0.58087,
116.77661,3609925164924,0.63966,0.62567,
117.07166,3609928115256,0.60558,0.65936,
117.53137,3609932712501,0.53003,0.69522,
117.95862,3609936985441,0.47144,0.72431,
118.61597,3609943559178,0.45182,0.74985,
119.25903,3609949989042,0.45069,0.72645,
119.78833,3609955282183,0.42589,0.71403,
120.24329,3609959832380,0.26449,0.72711,
120.65881,3609963987426,0.32265,0.69316,
121.49512,3609972350459,0.36075,0.68424,
122.15320,3609978931304,0.19535,0.54378,
122.51208,3609982519698,0.26517,0.53372,
122.88708,3609986270271,0.40103,0.54155,
123.29785,3609990377297,0.42790,0.46504,
123.77844,3609995183446,0.44056,0.47841,
124.21814,3609999579995,0.46377,0.49012,
125.07532,3610008151873,0.45363,0.44662,
125.49927,3610012392091,0.35811,0.40391,
