TIME(2020/03/11 14:21:12.285),TIMETICK(f=10000000),FPOGX,FPOGY,
0.23004,7892390038792,0.45680,0.35398,
0.73932,7892395131643,0.39724,0.10962,
1.00244,7892397762468,0.38495,0.11621,
1.51208,7892402859290,0.47016,0.12951,
1.98810,7892407619053,0.50510,0.21951,
2.28363,7892410574357,0.49644,0.29258,
2.82568,7892415995209,0.50280,0.31417,
3.45105,7892422248649,0.50287,0.32008,
4.10718,7892428810153,0.48970,0.41172,
4.38678,7892431606222,0.55414,0.53065,
4.76422,7892435380556,0.57423,0.50732,
5.58636,7892443602209,0.59462,0.28210,
5.86676,7892446405779,0.42946,0.32133,
6.88861,7892456624686,0.42431,0.43388,
7.22900,7892460028587,0.46493,0.35565,
7.69897,7892464728297,0.49530,0.34218,
7.92493,7892466987787,0.62373,0.32251,
8.19897,7892469727881,0.66216,0.32008,
8.51221,7892472860404,0.52808,0.34911,
8.80212,7892475759380,0.48204,0.36204,
9.63098,7892484048393,0.50813,0.43205,
10.53217,7892493060117,0.48656,0.40794,
10.84302,7892496168236,0.62214,0.39960,
11.10791,7892498817549,0.62116,0.39200,
11.33636,7892501101735,0.49744,0.30657,
11.89807,7892506719260,0.51249,0.29673,
12.42383,7892511976568,0.55782,0.28523,
13.25793,7892520317385,0.49677,0.28379,
13.82605,7892525998778,0.48101,0.29188,
14.33240,7892531062345,0.52716,0.29041,
14.70648,7892534803394,0.72043,0.38992,
14.95068,7892537245098,0.65847,0.38445,
15.31281,7892540866580,0.46617,0.43614,
15.72607,7892544998806,0.45391,0.44263,
16.12177,7892548955977,0.44787,0.41177,
16.88953,7892556633692,0.44810,0.42127,
18.71533,7892574891922,0.44742,0.38770,
18.96564,7892577394445,0.46332,0.40547,
19.73273,7892585065550,0.46652,0.40176,
20.27380,7892590476255,0.49822,0.39143,
21.53809,7892603119094,0.44261,0.41234,
22.16333,7892609371629,0.41432,0.44912,
22.92090,7892616947275,0.43348,0.46935,
24.05652,7892628303783,0.42523,0.46064,
24.44623,7892632200812,0.39991,0.42549,
24.95850,7892637323470,0.39583,0.43865,
25.54065,7892643145083,0.37898,0.43196,
26.02356,7892647974177,0.29132,0.44814,
26.51923,7892652930563,0.38841,0.43753,
26.84607,7892656198900,0.38707,0.42510,
27.10730,7892658811369,0.32735,0.44847,
27.55640,7892663302079,0.35500,0.43131,
29.63739,7892684112139,0.47349,0.46880,
30.32837,7892691021918,0.50504,0.48042,
31.08459,7892698584452,0.54408,0.47103,
32.16846,7892709423121,0.55611,0.52849,
32.63177,7892714055887,0.57629,0.57489,
33.23822,7892720120397,0.55629,0.59802,
33.73297,7892725068235,0.50370,0.65893,
34.10730,7892728811051,0.45405,0.62912,
34.52429,7892732981298,0.47810,0.65438,
34.83807,7892736119034,0.64796,0.55652,
35.15973,7892739335908,0.59100,0.54021,
35.46960,7892742434398,0.47921,0.52064,
35.83270,7892746065413,0.46691,0.49959,
36.26959,7892750434346,0.47247,0.53989,
36.82800,7892756018525,0.59286,0.56854,
37.26056,7892760343915,0.52318,0.61963,
37.60535,7892763792013,0.48782,0.58857,
38.18042,7892769542700,0.48454,0.52650,
38.83789,7892776117057,0.48537,0.52180,
39.38037,7892781542107,0.49411,0.55381,
39.89111,7892786649705,0.45256,0.55517,
40.41498,7892791887964,0.45559,0.54135,
40.82532,7892795991586,0.41067,0.56104,
42.16949,7892809433481,0.39286,0.57868,
42.42273,7892811965704,0.48671,0.57523,
42.94647,7892817203035,0.47466,0.54301,
43.24243,7892820162581,0.41948,0.53773,
43.83203,7892826058345,0.44931,0.52083,
44.29218,7892830660307,0.34018,0.48276,
44.67181,7892834456159,0.42330,0.46705,
45.49323,7892842670461,0.50127,0.48676,
45.96771,7892847415714,0.51296,0.49812,
46.69226,7892854660827,0.49588,0.56869,
47.24945,7892860232797,0.52760,0.60329,
47.52905,7892863028596,0.50498,0.57080,
47.89532,7892866691408,0.53705,0.47664,
48.66376,7892874376196,0.53723,0.58991,
49.10614,7892878799439,0.56300,0.45334,
49.88013,7892886539662,0.50862,0.46926,
50.59222,7892893660621,0.48548,0.43434,
51.70129,7892904751446,0.46914,0.46496,
52.04633,7892908201303,0.44387,0.46401,
52.39124,7892911650956,0.34697,0.42806,
53.24677,7892920205983,0.30944,0.39958,
53.75861,7892925324501,0.53922,0.40997,
54.05585,7892928296649,0.52084,0.38128,
54.47754,7892932513637,0.49859,0.45512,
55.26630,7892940401394,0.60852,0.26179,
55.95770,7892947315135,0.61060,0.28309,
56.61346,7892953873193,0.67404,0.24778,
56.94183,7892957156866,0.72159,0.24925,
57.23914,7892960129425,0.69882,0.23438,
57.55029,7892963241498,0.56560,0.20897,
57.87848,7892966523074,0.66540,0.18911,
58.50488,7892972787184,0.51777,0.23249,
59.46564,7892982394744,0.39044,0.30133,
59.77448,7892985483192,0.48264,0.26861,
60.26300,7892990368515,0.49723,0.19172,
60.54004,7892993138785,0.56651,0.31081,
60.85962,7892996334497,0.73211,0.35650,
61.47620,7893002500253,0.73797,0.29099,
62.28143,7893010552631,0.50669,0.35563,
62.46448,7893012382807,0.49100,0.40047,
63.10352,7893018773309,0.40155,0.38033,
63.76166,7893025354854,0.48197,0.37234,
64.54901,7893033228433,0.50051,0.33529,
64.84448,7893036183028,0.52500,0.36851,
65.36200,7893041358158,0.70229,0.38129,
66.20868,7893049824955,0.44468,0.47275,
66.60236,7893053761718,0.48315,0.48503,
67.30023,7893060740653,0.54103,0.39640,
67.80341,7893065772352,0.51181,0.35149,
68.40936,7893071831655,0.48991,0.36093,
68.69788,7893074717245,0.56275,0.35893,
68.95636,7893077301821,0.67320,0.33383,
69.18164,7893079554443,0.53768,0.35726,
69.73993,7893085137608,0.47202,0.34532,
70.33160,7893091054651,0.46790,0.31549,
70.59650,7893093703518,0.51752,0.24274,
71.08856,7893098623987,0.53931,0.19394,
71.84283,7893106166559,0.48834,0.20418,
72.63281,7893114066297,0.46247,0.20102,
73.20789,7893119817014,0.46162,0.23072,
73.67407,7893124478968,0.47034,0.24295,
74.03076,7893128045642,0.48947,0.25671,
74.49072,7893132645594,0.54881,0.26334,
75.29724,7893140710764,0.45358,0.30677,
75.83691,7893146107489,0.43631,0.28331,
76.90503,7893156788779,0.45306,0.24379,
77.26654,7893160403949,0.43949,0.23690,
77.82458,7893165983896,0.42339,0.25287,
78.16833,7893169421424,0.40336,0.26966,
78.48029,7893172540950,0.38965,0.26033,
80.86249,7893196362944,0.50248,0.25012,
81.33856,7893201124247,0.52278,0.29825,
81.70074,7893204745758,0.64318,0.31467,
81.93024,7893207040446,0.62565,0.27858,
82.53088,7893213047180,0.51149,0.25412,
83.01471,7893217885209,0.51832,0.28794,
84.43011,7893232039669,0.62347,0.24661,
84.99023,7893237640926,0.60769,0.25920,
85.59595,7893243697855,0.62130,0.27061,
85.85791,7893246317633,0.56331,0.39014,
86.43213,7893252059626,0.51614,0.39552,
86.49725,7893252710598,0.51492,0.41289,
87.02661,7893258004221,0.43755,0.29459,
87.27008,7893260439353,0.46921,0.23078,
87.76385,7893265377164,0.65547,0.33522,
88.11511,7893268889544,0.61817,0.30490,
88.39575,7893271696053,0.55203,0.31693,
88.94604,7893277198612,0.40432,0.30859,
89.24078,7893280146005,0.42592,0.31016,
89.60339,7893283772341,0.46334,0.32374,
89.98035,7893287541976,0.52820,0.31753,
90.47308,7893292468965,0.51415,0.33894,
90.91687,7893296907131,0.46034,0.33937,
91.49286,7893302666865,0.52748,0.31978,
92.13525,7893309090860,0.54686,0.33358,
92.70294,7893314767997,0.50718,0.28595,
93.90747,7893326813249,0.53609,0.28222,
94.84296,7893336168090,0.51346,0.26680,
95.15588,7893339297083,0.41493,0.25492,
95.64923,7893344230522,0.34751,0.22350,
96.19727,7893349711093,0.51777,0.25766,
96.99652,7893357703542,0.50076,0.31397,
97.32410,7893360979307,0.51742,0.29504,
97.75092,7893365247505,0.41962,0.29472,
98.01398,7893367877922,0.48583,0.26536,
98.37860,7893371524352,0.53689,0.23312,
99.60748,7893383813417,0.55779,0.26581,
100.23218,7893390060222,0.52309,0.27803,
101.10034,7893398741509,0.49900,0.26010,
101.53101,7893403048475,0.47255,0.33364,
101.82538,7893405991939,0.46247,0.39028,
102.58124,7893413550848,0.44465,0.40994,
103.09052,7893418643669,0.41523,0.38037,
103.25812,7893420319694,0.44229,0.40288,
103.69824,7893424720595,0.78590,0.30175,
103.96674,7893427405783,0.85965,0.29718,
104.32593,7893430997347,0.91443,0.28058,
104.86493,7893436387676,0.68558,0.20555,
105.13025,7893439040888,0.64743,0.23732,
105.53821,7893443120645,0.62218,0.27778,
106.22900,7893450028235,0.58026,0.23823,
106.92188,7893456956784,0.57478,0.24888,
107.65765,7893464315022,0.57405,0.24711,
107.92188,7893466956884,0.72508,0.20460,
108.21643,7893469902683,0.79542,0.20574,
108.55243,7893473262752,0.74971,0.20885,
108.87506,7893476489059,0.50298,0.22607,
109.33392,7893481077772,0.60981,0.18129,
109.69647,7893484702899,0.56110,0.20997,
