TIME(2020/03/11 15:17:12.185),TIMETICK(f=10000000),FPOGX,FPOGY,
0.32837,7925989623229,0.37909,0.06869,
0.62610,7925992600283,0.46379,0.53360,
0.93652,7925995704563,0.50843,0.72233,
1.28113,7925999150273,0.56796,0.58533,
1.60999,7926002438562,0.58167,0.66125,
2.11902,7926007529862,0.81694,2.30600,
2.20129,7926008352738,0.82679,2.26710,
2.92432,7926015582398,0.64716,0.53575,
3.28540,7926019193601,0.54307,0.19462,
3.54834,7926021822999,0.48894,0.29163,
3.84412,7926024780682,0.57211,0.44928,
4.20544,7926028393744,0.55132,0.28596,
4.50122,7926031351867,0.54867,0.26850,
4.91663,7926035505143,0.58619,0.59869,
5.17517,7926038091033,0.68482,0.68948,
5.70068,7926043346086,0.51632,0.50685,
8.21521,7926068491755,0.66956,1.74540,
9.08606,7926077199627,0.44208,0.43640,
9.54651,7926081804027,0.50758,0.36217,
10.53137,7926091652765,0.42211,0.32888,
10.89233,7926095263057,0.49545,0.29993,
11.59888,7926102328316,0.50991,0.32527,
11.99255,7926106265261,0.49108,0.29177,
12.35608,7926109899475,0.50228,0.28893,
12.81494,7926114488781,0.51284,0.34926,
13.04395,7926116779152,0.49144,0.41280,
13.88733,7926125212256,0.42528,0.27169,
14.13074,7926127646444,0.41652,0.41037,
15.06519,7926136990537,0.37561,0.61677,
17.64404,7926162780127,0.48350,0.40191,
17.97302,7926166069611,0.45176,0.39574,
18.18616,7926168201141,0.65772,0.30666,
18.51636,7926171502769,0.77969,0.27465,
18.72888,7926173627812,0.67925,0.32586,
19.22119,7926178551474,0.44674,0.37769,
19.51892,7926181528500,0.48961,0.47447,
19.83008,7926184640169,0.63171,0.33516,
20.12512,7926187590195,0.53713,0.34107,
20.23999,7926188738658,0.48568,0.38395,
20.89795,7926195318854,0.44361,0.29984,
21.16003,7926197939031,0.42437,0.31563,
21.61975,7926202537028,0.24674,0.22975,
22.16443,7926207983074,0.44517,0.36736,
22.70398,7926213379420,0.33700,0.34251,
30.93518,7926295690635,0.67137,0.61272,
31.43030,7926300641762,0.66467,0.58762,
31.92090,7926305547877,0.66328,0.60973,
32.54553,7926311794295,0.53838,0.56342,
32.85706,7926314910043,0.50249,0.44549,
33.15369,7926317876085,0.49924,0.34288,
33.69641,7926323303564,0.48118,0.44541,
34.36853,7926330024578,0.54915,0.39026,
34.63147,7926332653333,0.52279,0.46875,
35.96240,7926345963730,0.53184,0.40519,
36.55371,7926351876211,0.55700,0.41258,
36.80005,7926354339367,0.51105,0.42919,
37.01416,7926356480613,0.17486,0.54437,
37.29297,7926359269364,0.52231,0.35514,
39.51086,7926381447333,0.53172,0.48828,
40.00366,7926386376267,0.51774,0.43392,
40.28723,7926389211837,0.55970,0.38203,
40.87439,7926395083540,0.51853,0.33945,
41.23584,7926398697987,0.33779,0.41956,
41.71265,7926403465848,0.33556,0.42536,
42.12317,7926407571117,0.38754,0.45378,
42.73083,7926413647619,0.41376,0.38031,
43.32227,7926419561318,0.13629,0.15847,
44.24219,7926428761356,0.44786,0.38702,
44.85120,7926434851497,0.54733,0.33325,
45.22815,7926438620288,0.52900,0.28351,
45.34290,7926439767947,0.48429,0.30346,
45.77039,7926444042793,0.38962,0.26700,
46.50952,7926451434120,0.45606,0.31315,
47.06799,7926457018662,0.45546,0.26655,
47.52844,7926461623283,0.59328,0.34306,
47.92236,7926465563203,0.53680,0.18434,
48.30054,7926469345172,0.47133,0.32728,
48.80945,7926474433931,0.49212,0.31918,
49.02307,7926476569457,0.45349,0.28029,
49.48425,7926481182351,0.54877,0.21795,
49.61975,7926482536434,0.45689,0.32191,
49.89392,7926485278995,0.45157,0.29240,
50.46875,7926491026715,0.45194,0.28415,
50.61682,7926492507190,0.47773,0.29793,
51.04370,7926496776735,0.43078,0.09450,
51.40515,7926500390724,0.44662,0.07594,
51.47107,7926501050220,0.47602,0.04892,
52.11218,7926507460820,0.45862,0.16994,
52.47351,7926511073749,0.44058,0.22554,
52.88428,7926515181815,0.43713,0.20067,
53.16504,7926517990013,0.42299,0.11599,
53.47644,7926521103206,0.46022,0.09859,
53.77087,7926524047401,0.88451,0.27844,
54.14978,7926527836922,0.90042,0.51751,
54.82275,7926534566657,0.43079,0.28452,
55.05408,7926536880058,0.41002,0.14819,
55.36450,7926539984487,0.41736,0.25469,
55.67676,7926543106302,0.41137,0.29449,
56.00525,7926546391744,0.35626,0.25538,
56.51733,7926551512722,0.36629,0.29979,
56.81030,7926554441902,0.34658,0.34486,
56.92542,7926555593110,0.24992,0.39592,
57.28662,7926559205922,0.33017,0.30160,
57.91089,7926565448516,0.40705,0.21183,
58.33899,7926569729389,0.40752,0.25139,
58.63403,7926572679935,0.41193,0.32942,
59.02856,7926576625076,0.46539,0.24212,
59.27478,7926579086940,0.45295,0.28614,
59.61975,7926582536420,0.48119,0.14070,
59.88745,7926585213934,0.41796,0.11784,
60.75342,7926593872805,0.50544,0.13573,
61.03247,7926596663658,0.51618,0.27072,
61.29663,7926599305865,0.51703,0.21071,
