TIME(2020/02/27 17:06:06.534),TIMETICK(f=10000000),FPOGX,FPOGY,
0.60669,191337589416,0.57317,0.39846,
1.16525,191343175063,0.79990,0.59873,
1.60934,191347615926,0.56068,0.50717,
1.97015,191351224288,0.78569,0.71884,
2.18463,191353368920,0.55996,0.83720,
2.48001,191356322579,0.42009,0.89530,
2.75925,191359114974,0.37447,0.89703,
3.05557,191362078375,0.48750,0.54104,
3.28439,191364366447,0.59639,0.69924,
3.76294,191369152020,0.82980,0.81569,
4.05698,191372092340,0.57432,0.73143,
4.43451,191375867615,1.11917,1.40537,
4.87814,191380304018,1.24232,1.62143,
5.27243,191384246828,0.54265,0.68112,
5.75223,191389044840,0.50329,0.56996,
6.68512,191398373813,0.53180,0.49086,
7.17804,191403303070,0.53588,0.52691,
7.72061,191408728734,0.50565,0.46653,
8.60760,191417598589,0.50322,0.46178,
8.82095,191419732263,0.34879,0.36053,
9.18536,191423376105,0.09009,0.32556,
9.59952,191427517829,0.01089,0.35691,
10.03705,191431893133,0.49143,0.36757,
10.35013,191435023968,0.05565,0.36191,
10.64713,191437993960,0.06210,0.37599,
11.20346,191443557220,0.50574,0.35996,
11.48651,191446387867,0.27925,0.36237,
12.27393,191454261917,0.49323,0.35804,
12.63342,191457856873,0.32440,0.32786,
12.94623,191460984799,0.18449,0.30277,
13.47171,191466239701,0.04551,0.39581,
13.93265,191470849192,0.10679,0.38537,
14.17825,191473305216,0.25904,0.34232,
14.44382,191475960732,0.39260,0.36095,
15.26230,191484145719,0.54326,0.39283,
15.81973,191489719820,0.57037,0.38245,
16.30527,191494575241,0.57103,0.39288,
16.80536,191499576284,0.64434,0.42722,
17.21606,191503683329,0.60851,0.41460,
17.72589,191508781615,0.60942,0.42682,
18.37158,191515238476,0.58329,0.43828,
19.20563,191523578765,0.53969,0.46301,
20.07465,191532269024,0.50490,0.49307,
20.42020,191535724608,0.52280,0.53110,
20.70084,191538530946,0.62426,0.46298,
21.22470,191543769523,0.66861,0.38605,
21.48752,191546397844,0.57002,0.39325,
21.87112,191550233851,0.44260,0.42678,
22.21124,191553634940,0.53141,0.42519,
22.57309,191557253587,0.39727,0.47249,
23.42734,191565795986,0.61639,0.42642,
23.77167,191569239286,0.48921,0.40446,
24.72385,191578761169,0.61674,0.42797,
