TIME(2020/02/27 15:46:57.281),TIMETICK(f=10000000),FPOGX,FPOGY,
0.32861,143842657587,0.45577,0.43964,
0.47656,143844138519,0.50803,0.49004,
1.13330,143850705514,0.78404,0.47683,
2.25049,143861875160,0.86184,0.45572,
3.26904,143872062472,0.88964,0.37372,
3.74561,143876828002,0.89561,0.33298,
4.05762,143879948214,0.53456,0.36996,
4.32031,143882574437,0.48866,0.36054,
4.59961,143885370413,0.77886,0.61382,
5.56885,143895059884,0.51497,0.32041,
6.28076,143902181059,0.56569,0.27322,
6.71875,143906560981,0.52501,0.42438,
7.01465,143909517417,0.48719,0.21669,
7.60791,143915452787,0.28549,0.34025,
8.00000,143919374116,0.50183,0.31992,
8.32910,143922661401,0.23952,0.32924,
8.65820,143925956503,0.55221,0.33329,
9.10107,143930382464,0.50821,0.34465,
9.49561,143934328285,0.49222,0.31040,
10.05420,143939913883,0.29331,0.29200,
10.26758,143942047736,0.41534,0.24758,
10.61426,143945515569,0.49446,0.27104,
10.83057,143947675555,0.28904,0.32341,
11.26953,143952067983,0.10917,0.33040,
11.63135,143955686596,0.58857,0.38815,
11.99268,143959298644,0.38874,0.40529,
12.35400,143962913813,0.51072,0.41904,
12.68359,143966205787,0.19470,0.33471,
12.98193,143969193156,0.50270,0.39964,
13.36475,143973021586,0.51973,0.44243,
13.71729,143976545609,0.48501,0.37116,
14.38232,143983195240,0.56971,0.41126,
14.86816,143988053278,0.57004,0.41387,
15.39404,143993312798,0.57748,0.43322,
15.70850,143996454918,0.56138,0.46556,
16.03369,143999710526,0.39303,0.64342,
16.41650,144003537181,0.40769,0.64820,
16.84277,144007801087,0.56162,0.68305,
17.46338,144014003795,0.58864,0.63855,
18.36670,144023040408,0.58298,0.60503,
19.20508,144031423146,0.57259,0.56656,
19.50049,144034376643,0.56434,0.61755,
20.46973,144044070205,0.55194,0.62254,
21.66895,144056061901,0.50887,0.61267,
22.34375,144062809414,0.50024,0.60544,
23.21533,144071526345,0.44685,0.66928,
23.74023,144076774655,0.51498,0.73609,
24.25098,144081884230,0.57087,0.69455,
24.85596,144087931305,0.59061,0.75007,
25.33252,144092698948,0.62007,0.66653,
25.59619,144095331860,0.58549,0.64060,
25.94482,144098817853,0.48265,0.65617,
26.20361,144101405933,0.46915,0.58498,
