TIME(2020/03/06 16:44:20.494),TIMETICK(f=10000000),FPOGX,FPOGY,
0.29541,3694286203940,0.34384,-0.01424,
0.59180,3694289167763,0.40687,0.87305,
0.98535,3694293102679,0.36396,0.94036,
1.36328,3694296882823,0.63043,0.60605,
1.79053,3694301154757,0.74878,0.75050,
2.25073,3694305756855,0.72368,0.74869,
2.85864,3694311834308,0.43252,0.94889,
3.21973,3694315445307,0.41127,0.94841,
3.49951,3694318243665,0.49086,0.41261,
3.76221,3694320870290,0.52115,0.39170,
3.92871,3694322535857,0.68221,0.63938,
4.18921,3694325140206,0.31868,0.59996,
4.32031,3694326452607,0.16144,0.80681,
4.76563,3694330904564,0.46917,0.42544,
4.97754,3694333024752,0.54645,0.29218,
5.25684,3694335817307,0.53985,0.16271,
5.48682,3694338117501,0.53095,0.25353,
5.94946,3694342742997,0.52454,0.26061,
6.56543,3694348904012,0.47046,0.35061,
7.03101,3694353560019,0.15282,0.36530,
7.50757,3694358324844,0.30151,0.52328,
7.75732,3694360821618,0.30703,0.43773,
8.06616,3694363911482,0.40248,0.30348,
8.53052,3694368554144,0.49894,0.26377,
8.93726,3694372620380,0.48486,0.28242,
9.28442,3694376092140,0.34036,0.24181,
9.52100,3694378457847,0.46042,0.26124,
9.77466,3694380995896,0.48423,0.29084,
10.05615,3694383809565,0.43432,0.25136,
10.53076,3694388555610,0.50957,0.27670,
10.90918,3694392341136,0.36907,0.36735,
11.13843,3694394632183,0.43582,0.35458,
11.55103,3694398759873,0.49060,0.34678,
11.92993,3694402549025,0.53462,0.37399,
12.61743,3694409424439,0.54700,0.39612,
13.55371,3694418787113,0.52792,0.38312,
14.06250,3694423874585,0.31051,0.52870,
14.35913,3694426840601,0.54623,0.50877,
14.72144,3694430463424,0.36928,0.54860,
15.57422,3694438990154,0.58043,0.58491,
16.21704,3694445418509,0.57242,0.62354,
17.20117,3694455261734,0.57301,0.59165,
17.46362,3694457884232,0.50446,0.60874,
17.72681,3694460518003,0.47155,0.63530,
18.08838,3694464132675,0.54579,0.64028,
18.76147,3694470863996,0.59000,0.63486,
19.10620,3694474310743,0.59793,0.65737,
19.36987,3694476946684,0.64243,0.51107,
