TIME(2020/02/27 18:26:12.529),TIMETICK(f=10000000),FPOGX,FPOGY,
0.19702,239393875603,0.36657,0.06014,
0.47644,239396669545,0.48491,0.71373,
0.78894,239399794818,0.32315,1.01538,
1.21570,239404062386,0.26767,0.97247,
1.84009,239410306074,0.33455,0.87178,
1.90588,239410963952,0.41809,0.84437,
2.21790,239414083551,0.70785,0.71812,
2.62903,239418195718,0.72932,0.76230,
3.13806,239423286011,0.73391,0.78738,
3.48315,239426736101,0.71759,0.71009,
3.76245,239429529462,0.48110,0.56644,
4.32092,239435113999,0.35914,0.95507,
4.61646,239438069270,0.37220,0.55516,
4.84644,239440369981,0.32134,0.63080,
5.20813,239443986306,0.32229,0.78304,
5.50378,239446943231,0.30587,0.80253,
5.79932,239449898552,0.12378,0.30061,
6.06226,239452527221,0.07501,0.31584,
6.29260,239454830866,0.15553,0.43417,
6.68652,239458770598,0.37943,0.66582,
6.96582,239461562674,0.35290,0.73105,
7.45911,239466496135,0.45020,0.55675,
7.77100,239469614508,0.55527,0.47912,
8.06677,239472573164,0.47342,0.35551,
8.39514,239475856058,0.54724,0.31322,
8.74023,239479307730,0.58085,0.24627,
9.34937,239485398089,0.60730,0.28488,
9.79224,239489826919,0.67225,0.31682,
10.03796,239492284833,0.59797,0.32546,
10.33374,239495242069,0.50124,0.32545,
10.69519,239498856813,0.45337,0.26915,
10.99097,239501815285,0.32377,0.24993,
11.36902,239505595129,0.36970,0.27272,
11.63159,239508221107,0.30173,0.28764,
12.07532,239512658485,0.28448,0.22728,
12.37085,239515613622,0.30041,0.29476,
13.20911,239523995728,0.35399,0.40356,
13.48804,239526785202,0.37632,0.36736,
13.88232,239530728067,0.40519,0.33558,
14.19482,239533853610,0.51237,0.47096,
14.44104,239536314887,0.39031,0.46148,
14.78577,239539763026,0.34277,0.32894,
15.19678,239543872767,0.31649,0.23919,
15.59119,239547817028,0.35367,0.24890,
15.85388,239550444277,0.36617,0.27050,
16.85583,239560463919,0.35960,0.20406,
17.49695,239566873966,0.36875,0.20410,
17.79272,239569832384,0.39083,0.21058,
18.33447,239575249803,0.82460,0.39422,
18.58105,239577715345,0.86636,0.48337,
19.18884,239583793577,0.40416,0.21781,
19.41882,239586093431,0.57671,0.12133,
20.02783,239592183443,0.90362,0.42466,
20.33899,239595295341,0.89438,0.46181,
20.56885,239597593900,0.75961,0.37680,
20.86462,239600551601,0.63019,0.37844,
21.12744,239603179279,0.50397,0.38248,
21.48877,239606793108,0.43244,0.40593,
