TIME(2020/02/27 15:30:13.512),TIMETICK(f=10000000),FPOGX,FPOGY,
0.06592,133802404388,0.36998,0.00730,
0.31372,133804882490,0.39729,0.07068,
0.87207,133810465359,0.38311,0.94762,
1.43115,133816056749,0.29111,0.93373,
1.89136,133820658831,0.46068,0.33037,
2.08691,133822613064,0.65087,0.66945,
3.38599,133835603775,0.48874,0.83400,
3.64844,133838230069,0.37781,0.92107,
4.04346,133842179026,0.50095,0.38378,
4.23877,133844133469,0.60531,0.33257,
4.73145,133849060553,0.34736,0.20962,
5.12720,133853016224,0.47760,0.47971,
5.57007,133857444978,0.42489,0.32882,
5.84888,133860233882,0.30159,0.40463,
6.40723,133865817062,0.30904,0.41050,
6.98242,133871569039,0.61944,0.21101,
7.44214,133876167307,0.63453,0.16823,
7.91919,133880938133,0.62365,0.21385,
8.42822,133886026230,0.62392,0.22226,
8.85498,133890294326,0.35623,0.27522,
9.72583,133899002663,0.33489,0.42528,
10.03882,133902132092,0.44204,0.38728,
10.35010,133905246760,0.39483,0.49056,
10.92529,133910997111,0.35839,0.60904,
11.43457,133916090144,0.36459,0.50862,
11.79590,133919703899,0.40404,0.51481,
12.68311,133928574948,0.44549,0.52518,
13.27417,133934487666,0.40355,0.48525,
13.84961,133940241216,0.31803,0.48291,
14.19434,133943688852,0.31439,0.38998,
15.03223,133952068267,0.29604,0.39978,
15.36084,133955354242,0.32602,0.38642,
15.64014,133958146398,0.41647,0.32063,
15.90332,133960778783,0.35752,0.25260,
16.34692,133965213493,0.73811,0.25082,
16.62598,133968003940,0.70450,0.29102,
17.41455,133975890419,0.69754,0.34674,
17.75952,133979340440,0.76878,0.46633,
18.10449,133982789445,0.76475,0.44239,
18.97510,133991496457,0.74872,0.55174,
19.28784,133994622689,0.44294,0.38275,
19.79663,133999710402,0.34968,0.31834,
20.27295,134004475759,0.38197,0.34616,
20.96289,134011373872,0.43887,0.20851,
21.34106,134015155205,0.63616,0.23176,
22.17896,134023534016,0.65767,0.25470,
23.08228,134032568911,0.61138,0.38556,
24.44604,134046205560,0.49061,0.48126,
24.72534,134048998248,0.42855,0.53965,
25.00439,134051789542,0.49631,0.57840,
25.31665,134054910908,0.54247,0.53617,
25.64526,134058197933,0.61975,0.36800,
26.07275,134062471566,0.69774,0.26618,
26.43359,134066081972,0.68293,0.28866,
26.97803,134071524753,0.68452,0.29324,
27.74829,134079228397,0.65498,0.33290,
28.42212,134085966799,0.67705,0.29499,
28.94751,134091221015,0.68470,0.46282,
29.52271,134096971908,0.72616,0.53006,
29.96631,134101407170,0.70808,0.47391,
30.26147,134104360953,0.52344,0.37089,
30.62305,134107975752,0.48766,0.32495,
30.98462,134111591401,0.34750,0.43052,
31.28027,134114547707,0.26851,0.47102,
31.82251,134119969693,0.17500,0.64504,
32.05273,134122271407,0.13628,0.54963,
32.56177,134127362830,0.14830,0.40199,
32.79175,134129661782,0.26306,0.30964,
33.08765,134132621522,0.36198,0.25908,
33.48169,134136562153,0.31831,0.25777,
33.92529,134140998144,0.38255,0.22241,
34.18848,134143629168,0.40309,0.26309,
34.46753,134146419456,0.44709,0.36707,
34.69800,134148725545,0.46593,0.47766,
35.09180,134152663829,0.47603,0.57472,
35.45313,134156275781,0.51058,0.41771,
35.83252,134160070922,0.43183,0.54404,
36.76733,134169419481,0.41031,0.54573,
37.08008,134172546209,0.45624,0.48293,
37.37549,134175499971,0.51146,0.49890,
37.63867,134178132947,0.51275,0.51968,
38.04883,134182233648,0.63627,0.42937,
38.41040,134185849380,0.70884,0.44468,
38.82104,134189955811,0.75675,0.52158,
39.10034,134192747758,0.65776,0.47091,
