TIME(2020/03/06 14:09:12.157),TIMETICK(f=10000000),FPOGX,FPOGY,
0.31183,3601203788224,0.37917,0.14749,
0.60748,3601206744727,0.57232,0.47751,
1.00171,3601210687317,0.35050,0.85519,
1.60962,3601216766298,0.32680,0.99017,
2.06952,3601221365353,0.53099,0.44685,
2.48035,3601225473246,0.53549,0.42280,
2.95667,3601230236719,0.75920,0.72306,
3.31812,3601233851385,0.75101,0.75773,
3.64667,3601237136943,0.72294,0.74809,
4.17236,3601242393486,0.38707,0.96323,
4.50098,3601245679930,0.34045,0.93676,
4.68176,3601247487810,0.42996,0.49536,
5.15820,3601252251923,0.51722,0.46424,
5.61816,3601256851769,0.73208,0.37451,
6.01294,3601260799586,0.88385,0.42695,
6.12756,3601261945588,0.75386,0.39583,
6.63666,3601267036396,0.24458,0.21392,
6.86664,3601269336229,0.27333,0.30942,
7.50732,3601275743348,0.38419,0.59398,
7.73773,3601278047165,0.45146,0.52327,
8.32928,3601283962783,0.46975,0.47153,
8.88757,3601289545599,0.49616,0.46521,
9.23291,3601292999312,0.54221,0.60920,
9.57758,3601296445548,0.50694,0.52666,
10.03760,3601301045841,0.45954,0.48260,
10.36609,3601304330712,0.54278,0.60820,
10.74396,3601308109309,0.51227,0.66598,
11.10541,3601311723804,0.52525,0.46676,
11.59937,3601316663951,0.51856,0.42137,
12.23920,3601323062091,0.47894,0.38841,
12.66602,3601327330065,0.30825,0.41786,
13.09375,3601331607514,0.16454,0.52888,
13.60248,3601336694618,0.12532,0.59248,
14.24316,3601343101940,0.11547,0.45385,
14.85144,3601349184442,0.13952,0.45036,
15.26288,3601353298548,0.32775,0.56731,
15.72217,3601357891428,0.23219,0.49711,
16.06696,3601361339642,0.30796,0.47901,
16.54346,3601366104628,0.36703,0.50356,
16.87195,3601369389680,0.41848,0.49298,
17.23322,3601373002379,0.47842,0.51700,
17.59485,3601376618284,0.52104,0.53503,
18.38336,3601384503613,0.54239,0.51259,
18.61401,3601386810297,0.47026,0.34644,
18.99133,3601390583221,0.43805,0.38913,
19.30359,3601393706015,0.38128,0.34132,
19.68250,3601397495049,0.35110,0.40730,
20.19086,3601402578482,0.34441,0.36393,
20.71637,3601407833980,0.37536,0.36982,
20.99603,3601410630551,0.55079,0.25534,
21.73511,3601418021259,0.74272,0.40014,
21.98157,3601420485988,0.65515,0.34214,
22.39197,3601424590001,0.53300,0.40365,
22.78619,3601428531705,0.45128,0.47586,
23.27966,3601433466638,0.39279,0.44737,
