TIME(2020/03/11 14:47:27.360),TIMETICK(f=10000000),FPOGX,FPOGY,
0.13159,7908139614039,0.39701,0.15213,
0.64087,7908144705453,0.38123,0.11672,
0.88818,7908147180412,0.37174,0.18333,
1.19922,7908150289895,0.38312,0.89492,
1.54492,7908153745575,0.51649,0.55904,
1.82373,7908156535157,0.68746,0.75376,
2.21777,7908160475651,0.71103,0.80047,
2.71118,7908165408882,0.70200,0.77607,
3.03931,7908168689833,0.34008,0.93706,
3.87744,7908177070727,0.30862,0.92378,
4.10718,7908179369361,0.30381,0.83946,
4.45239,7908182820751,0.44148,0.50421,
5.01123,7908188409765,0.15587,0.26074,
5.33936,7908191691831,0.16124,0.31148,
5.79980,7908196294308,0.45593,0.50852,
6.17773,7908200075111,0.58661,0.49756,
6.47290,7908203026246,0.56720,0.38694,
6.81787,7908206476410,0.57074,0.34035,
7.52441,7908213542081,0.46529,0.51799,
8.00098,7908218308287,0.46664,0.52460,
8.33105,7908221608765,0.48030,0.45365,
8.75708,7908225868215,0.50541,0.42350,
9.28223,7908231120463,0.51266,0.49789,
9.54541,7908233751770,0.49350,0.48076,
9.79150,7908236212629,0.56736,0.51610,
10.15479,7908239845182,0.51777,0.48080,
10.41626,7908242458860,0.50905,0.48357,
10.82666,7908246564669,0.55429,0.55729,
11.12231,7908249519839,0.65902,0.41187,
11.46729,7908252969768,0.65942,0.42905,
12.71582,7908265454754,0.59234,0.44990,
13.06128,7908268910262,0.52383,0.46940,
13.50439,7908273340948,0.44140,0.50817,
13.75122,7908275810234,0.36694,0.47320,
14.03223,7908278619712,0.40268,0.46410,
14.57251,7908284022704,0.48374,0.49255,
14.81909,7908286488351,0.52949,0.39219,
15.06543,7908288952212,0.55768,0.39926,
15.31201,7908291417876,0.52212,0.37499,
15.73877,7908295685043,0.54570,0.36540,
16.13354,7908299631703,0.54412,0.37255,
16.44556,7908302752397,0.45871,0.30403,
16.70801,7908305377939,0.44011,0.28040,
17.38184,7908312116583,0.46948,0.28649,
18.10449,7908319342966,0.66870,0.38703,
18.82764,7908326574330,0.65333,0.39834,
19.10791,7908329376723,0.39192,0.48078,
19.50146,7908333311059,0.29668,0.49762,
19.87866,7908337084872,0.31277,0.48236,
20.35522,7908341849596,0.34779,0.53672,
20.91406,7908347438206,0.39741,0.56208,
22.00000,7908358297954,0.43389,0.50332,
22.58936,7908364191350,0.47013,0.44938,
23.47705,7908373067019,0.46630,0.43928,
23.73950,7908375692540,0.53168,0.35301,
24.10107,7908379307167,0.48989,0.36652,
24.39648,7908382263158,0.36553,0.31611,
25.34961,7908391794228,0.32123,0.34104,
25.61450,7908394441546,0.34479,0.43442,
25.95752,7908397871423,0.43946,0.49364,
26.46655,7908402963999,0.24899,0.52308,
27.17310,7908410029447,0.21059,0.49602,
27.86328,7908416929134,0.27047,0.46373,
28.30811,7908421378797,0.29969,0.42613,
28.68481,7908425145270,0.31467,0.43630,
29.01440,7908428442103,0.34976,0.43451,
29.32520,7908431549691,0.44140,0.52077,
29.60571,7908434353832,0.46607,0.50858,
30.03174,7908438614283,0.61579,0.54801,
30.37744,7908442072218,0.49032,0.52944,
30.63989,7908444697218,0.43451,0.60673,
31.31470,7908451444921,0.43763,0.59330,
31.60889,7908454385807,0.56346,0.64409,
31.85547,7908456850889,0.60938,0.65444,
32.23315,7908460629905,0.57753,0.57312,
32.52881,7908463585645,0.64619,0.62061,
32.79321,7908466228325,0.64253,0.61289,
33.30103,7908471307538,0.59607,0.59560,
34.41821,7908482480679,0.55441,0.57027,
34.94434,7908487741367,0.57606,0.56012,
35.20679,7908490365600,0.58057,0.53061,
35.55225,7908493819810,0.55300,0.52526,
36.07837,7908499081327,0.49710,0.53393,
36.42236,7908502522233,0.46741,0.60487,
36.76758,7908505972741,0.39573,0.63665,
37.01416,7908508440006,0.45336,0.55459,
37.42456,7908512543510,0.68024,0.38343,
37.76978,7908515995229,0.73687,0.38065,
38.26440,7908520942494,0.72842,0.35558,
38.68970,7908525193917,0.72135,0.31455,
39.33057,7908531603147,0.75086,0.44628,
39.72461,7908535543090,0.76879,0.49197,
40.25049,7908540803033,0.78306,0.58950,
40.80908,7908546388062,0.79409,0.61574,
41.12256,7908549522402,0.39770,0.62297,
41.40088,7908552307189,0.32876,0.61727,
41.54858,7908553783636,0.32577,0.62930,
42.12329,7908559530510,0.41452,0.58217,
43.50317,7908573330182,0.46248,0.54858,
43.94727,7908577771225,0.40679,0.49641,
44.35767,7908581873695,0.33148,0.48363,
44.88354,7908587133878,0.29787,0.44557,
45.24561,7908590754202,0.31082,0.38218,
46.06616,7908598959498,0.33631,0.35661,
46.82178,7908606516185,0.34484,0.25680,
47.06860,7908608982597,0.33948,0.27806,
47.33154,7908611611703,0.33874,0.31404,
47.85693,7908616867129,0.34614,0.33018,
48.26807,7908620976951,0.36015,0.42294,
48.84497,7908626747640,0.36388,0.42008,
49.15503,7908629846976,0.39213,0.39225,
49.43408,7908632638016,0.70332,0.42064,
49.94360,7908637734292,0.82030,0.42691,
50.23926,7908640688829,0.77041,0.36767,
50.53491,7908643645667,0.64450,0.32713,
50.79785,7908646275822,0.61038,0.31759,
51.47119,7908653010163,0.56077,0.28389,
51.75073,7908655805570,0.53550,0.32661,
52.06396,7908658937655,0.52369,0.27327,
52.47339,7908663031167,0.46991,0.34578,
52.73608,7908665658933,0.47640,0.32870,
53.03223,7908668620542,0.77991,0.25175,
53.26245,7908670921165,0.83934,0.19266,
53.75513,7908675848637,0.85674,0.15577,
54.03418,7908678639071,0.75611,0.19577,
54.34741,7908681772481,0.84680,0.15560,
54.92139,7908687510553,0.52944,0.30885,
55.31567,7908691453680,0.58701,0.24534,
55.61182,7908694414682,0.62177,0.24797,
56.00586,7908698356141,0.60025,0.31194,
56.28638,7908701160765,0.55879,0.27634,
56.64697,7908704768256,0.49694,0.29071,
57.43481,7908712645776,0.43320,0.29187,
57.66675,7908714963929,0.48326,0.34436,
57.94482,7908717745620,0.50048,0.39308,
58.32227,7908721519919,0.44480,0.33277,
58.99561,7908728253668,0.34448,0.25984,
59.20923,7908730389991,0.43678,0.28400,
59.78418,7908736138871,0.44240,0.27240,
60.12915,7908739588516,0.35852,0.18111,
60.81934,7908746491051,0.37292,0.26137,
61.13135,7908749610793,0.38100,0.32521,
62.34692,7908761767015,0.35679,0.38217,
62.97168,7908768013004,0.38061,0.41618,
63.49731,7908773271238,0.39181,0.40719,
64.41699,7908782467937,0.38213,0.41797,
65.19067,7908790204197,0.39141,0.45497,
65.83130,7908796609472,0.48439,0.45724,
66.09302,7908799226620,0.53428,0.38667,
66.37256,7908802023400,0.62130,0.39239,
67.09595,7908809255959,0.71027,0.33513,
67.39087,7908812205184,0.74692,0.26464,
67.75244,7908815821945,0.71819,0.39069,
68.13013,7908819599139,0.69864,0.41496,
68.88721,7908827170463,0.65971,0.43925,
69.34570,7908831755020,0.59710,0.40875,
69.64136,7908834711722,0.53936,0.36609,
69.90430,7908837339806,0.43705,0.46920,
70.25000,7908840796518,0.35072,0.59073,
70.62793,7908844576730,0.41033,0.58975,
70.97388,7908848036153,0.54549,0.44267,
71.35010,7908851798216,0.43610,0.55920,
71.76172,7908855913415,0.37649,0.60157,
72.36865,7908861983392,0.37390,0.56569,
72.99316,7908868229659,0.45808,0.61877,
73.35425,7908871839772,0.51835,0.56448,
73.70068,7908875304713,0.52774,0.55752,
74.22510,7908880549284,0.45554,0.32210,
74.60303,7908884326639,0.44343,0.21042,
74.93164,7908887612683,0.45671,0.25832,
75.63818,7908894679318,0.51530,0.28849,
76.18018,7908900100286,0.53782,0.31968,
76.64014,7908904697602,0.50862,0.32184,
76.93579,7908907655982,0.59913,0.29929,
77.29736,7908911270054,0.83468,0.49503,
77.67505,7908915047695,0.81854,0.49507,
78.02026,7908918499200,0.71933,0.44340,
78.30029,7908921299197,0.60764,0.44011,
78.89087,7908927206060,0.51782,0.43512,
79.41650,7908932463270,0.50068,0.44249,
80.00806,7908938378942,0.52203,0.45682,
80.51758,7908943472779,0.65180,0.42585,
80.96094,7908947907529,0.73117,0.32063,
81.24023,7908950700415,0.72621,0.31882,
81.58545,7908954150926,0.70934,0.30675,
82.04565,7908958753841,0.67685,0.43473,
82.58740,7908964170769,0.69600,0.53368,
82.99829,7908968280273,0.71326,0.47009,
83.35962,7908971892838,0.64270,0.40373,
83.73755,7908975671744,0.30789,0.42441,
84.06641,7908978960961,0.20708,0.42856,
84.39453,7908982243831,0.26587,0.43106,
84.64258,7908984722794,0.35727,0.44826,
85.21606,7908990457544,0.41641,0.46996,
85.72534,7908995550792,0.44125,0.50852,
86.23486,7909000645864,0.46348,0.53185,
86.85889,7909006886686,0.52759,0.53821,
87.54907,7909013788154,0.60558,0.51108,
87.86133,7909016911638,0.60495,0.51924,
88.15698,7909019868087,0.52956,0.45701,
88.50171,7909023314289,0.34946,0.42309,
89.17529,7909030049612,0.29588,0.44796,
89.47119,7909033009911,0.27420,0.42555,
90.16187,7909039915074,0.29472,0.33348,
90.48999,7909043196168,0.32808,0.30818,
90.91724,7909047470117,0.32557,0.29796,
91.62305,7909054528050,0.36840,0.42791,
91.90259,7909057323633,0.58104,0.50331,
92.23096,7909060607800,0.62799,0.53554,
92.83911,7909066688725,0.45759,0.44368,
93.36450,7909071942843,0.53490,0.44891,
93.66089,7909074905541,0.57247,0.41342,
94.03833,7909078680389,0.64913,0.45646,
94.28467,7909081144279,0.54271,0.48203,
94.53125,7909083608748,0.56542,0.46789,
95.00781,7909088375605,0.63459,0.44068,
95.31958,7909091493786,0.40376,0.25477,
95.63184,7909094616257,0.42923,0.26409,
95.94458,7909097742675,0.66446,0.41219,
96.35474,7909101844817,0.65365,0.35381,
96.60107,7909104308569,0.60396,0.36691,
97.20898,7909110386541,0.56653,0.37405,
97.47192,7909113016603,0.52373,0.34851,
97.76782,7909115976505,0.52151,0.32583,
98.27759,7909121073304,0.48724,0.43853,
98.81885,7909126485999,0.46806,0.43500,
99.62402,7909134538749,0.45635,0.48497,
100.00220,7909138319494,0.43473,0.47572,
100.95483,7909147845841,0.38450,0.48049,
101.75977,7909155894850,0.42619,0.44643,
102.51538,7909163451359,0.39991,0.47690,
102.99194,7909168216625,0.40391,0.56575,
103.32031,7909171501097,0.43953,0.54198,
103.76392,7909175937733,0.50737,0.53049,
104.04395,7909178735999,0.60842,0.40350,
104.50342,7909183332262,0.65140,0.42277,
105.32471,7909191544908,0.73817,0.35618,
105.55493,7909193846108,0.70261,0.40733,
105.94922,7909197789406,0.72114,0.46622,
106.16309,7909199927380,0.59026,0.41204,
106.45825,7909202880515,0.55795,0.35324,
106.70654,7909205364017,0.57742,0.38124,
107.31299,7909211426081,0.65121,0.43716,
107.65771,7909214873531,0.68801,0.41917,
108.10229,7909219320134,0.72002,0.44494,
108.38062,7909222103207,0.77034,0.42572,
108.64355,7909224732962,0.71248,0.41482,
109.00488,7909228346899,0.45376,0.46617,
109.38281,7909232126428,0.41914,0.48256,
110.53271,7909243624649,0.43855,0.49584,
110.95996,7909247897253,0.43849,0.45889,
111.45264,7909252823939,0.46664,0.43471,
