TIME(2020/03/11 15:03:09.121),TIMETICK(f=10000000),FPOGX,FPOGY,
0.16479,7917557563405,0.39827,0.01113,
0.50967,7917561012181,0.61259,0.30903,
1.06833,7917566598511,0.67269,0.38517,
1.39719,7917569887231,0.76066,0.49499,
1.85681,7917574483474,0.65985,0.39361,
2.23520,7917578267478,0.88153,0.90133,
2.56299,7917581545215,0.90640,0.93128,
2.86050,7917584520316,0.66588,0.49841,
3.20380,7917587953187,0.53074,0.42011,
3.56577,7917591573017,0.71095,0.43905,
3.97632,7917595678397,0.83646,0.79001,
4.23987,7917598314069,0.67715,0.37699,
6.06268,7917616542037,0.67704,0.39413,
6.21030,7917618018399,0.61630,0.67777,
6.90015,7917624916713,0.53448,0.40787,
7.50891,7917631004354,0.48069,0.33372,
8.16531,7917637568377,0.53850,0.27678,
8.54337,7917641348917,0.58383,0.29952,
9.01953,7917646110513,0.59518,0.29858,
9.44690,7917650384237,0.60696,0.15686,
9.77524,7917653667621,0.65513,0.09905,
10.08746,7917656789961,0.70762,0.14584,
10.33417,7917659256913,0.69732,0.19106,
10.59653,7917661880545,0.69664,0.27060,
11.05685,7917666483881,0.63134,0.33815,
11.47043,7917670619552,0.59848,0.29929,
11.92728,7917675187990,0.57334,0.25695,
12.15741,7917677489292,0.44331,0.25845,
12.40399,7917679955341,0.29979,0.26102,
12.91309,7917685046164,0.29228,0.27960,
13.29208,7917688836213,0.25146,0.38144,
13.83313,7917694246660,0.27265,0.26964,
14.27753,7917698690627,0.63622,0.13052,
14.86835,7917704598723,0.23674,0.30445,
15.52563,7917711171543,0.59800,0.08669,
15.73935,7917713308976,0.37609,0.20317,
16.00253,7917715940553,0.37192,0.33600,
16.34698,7917719385102,0.78954,0.33250,
16.60974,7917722012681,0.64480,0.09944,
17.10254,7917726940843,0.29397,0.32412,
17.43164,7917730231660,0.33649,0.37303,
17.77643,7917733679608,0.61153,0.18051,
18.23636,7917738278818,0.31228,0.28421,
18.81339,7917744049101,0.62498,0.28148,
19.23825,7917748297787,0.34320,0.34797,
19.63260,7917752241391,0.70307,2.05201,
19.81305,7917754045938,0.71034,2.09902,
20.30597,7917758974990,0.40118,0.27252,
20.68427,7917762758038,0.50667,0.26459,
20.94687,7917765384179,0.51869,0.39337,
