TIME(2020/02/27 17:45:25.524),TIMETICK(f=10000000),FPOGX,FPOGY,
0.42676,214925930669,0.58105,0.48339,
1.06982,214932360308,0.51465,0.38369,
1.83960,214940059311,0.49619,0.41280,
2.41553,214945818198,0.54525,0.36046,
2.71143,214948778207,0.59458,0.64014,
3.02246,214951888145,0.70791,0.71850,
3.23901,214954054280,0.61066,0.53350,
3.58130,214957476880,0.54497,0.47057,
4.04102,214962073686,0.37049,0.89345,
4.56738,214967336476,0.48938,0.52327,
5.29028,214974564950,0.64677,0.35287,
5.76660,214979330198,0.50568,0.40280,
6.07813,214982445248,0.34917,0.38770,
6.75586,214989221889,0.53522,0.39501,
7.70459,214998710068,0.61500,0.36198,
8.01831,215001845234,0.57663,0.34146,
8.24707,215004133071,0.43270,0.41130,
9.26538,215014317584,0.48460,0.43089,
9.61035,215017767147,0.47079,0.45943,
10.28516,215024515647,0.43418,0.50610,
10.51416,215026804306,0.38573,0.53491,
11.41772,215035840051,0.32734,0.55104,
11.82813,215039945205,0.34785,0.49967,
12.12427,215042905836,0.49365,0.28043,
12.83057,215049967540,0.61369,0.25116,
13.68481,215058512344,0.63141,0.30186,
13.98071,215061471048,0.67259,0.30241,
14.34180,215065082169,0.67184,0.24768,
14.98315,215071495089,0.68582,0.25430,
15.63989,215078060950,0.66997,0.35791,
16.34619,215085124948,0.65217,0.36267,
16.59277,215087591336,0.55823,0.32808,
16.82373,215089899263,0.38267,0.32326,
17.18433,215093506798,0.41892,0.32422,
17.61133,215097776043,0.44491,0.34342,
18.10449,215102707007,0.45750,0.30130,
18.77783,215109441837,0.46895,0.29468,
19.35278,215115190289,0.52698,0.32782,
19.96167,215121280618,0.57295,0.32620,
20.30542,215124717670,0.51093,0.36988,
21.11060,215132768029,0.55113,0.39102,
21.68555,215138518331,0.55903,0.39688,
22.31006,215144763319,0.52520,0.43683,
22.75464,215149209594,0.39249,0.36172,
23.21362,215153798104,0.34202,0.35595,
23.62427,215157905861,0.31646,0.26308,
24.00415,215161705220,0.33408,0.26876,
24.41260,215165790062,0.48852,0.31378,
24.83984,215170062468,0.61306,0.46648,
25.13843,215173046292,0.68129,0.45526,
25.39868,215175649839,0.52541,0.43722,
26.02271,215181890513,0.42859,0.37531,
26.51587,215186820922,0.41217,0.30653,
26.81323,215189795775,0.41132,0.30486,
27.36987,215195361843,0.39417,0.23510,
27.68213,215198484595,0.48553,0.29986,
28.58569,215207518757,0.50440,0.35952,
29.29297,215214592004,0.43073,0.39150,
29.72021,215218864987,0.47415,0.36573,
30.19580,215223620885,0.57645,0.31342,
31.18140,215233477535,0.59128,0.42791,
31.59326,215237594871,0.60112,0.45749,
31.87134,215240376728,0.54631,0.47713,
