TIME(2020/02/27 16:10:06.616),TIMETICK(f=10000000),FPOGX,FPOGY,
0.16406,157734444240,0.57819,0.48116,
0.52539,157738059041,0.65485,0.49423,
1.00195,157742824051,0.39746,1.22227,
1.16650,157744470507,0.37979,1.27268,
1.74121,157750218734,0.36434,1.31808,
2.69434,157759746235,0.48893,0.56248,
3.25244,157765331465,0.52756,0.41502,
3.46729,157767479129,0.47303,0.64479,
3.76172,157770423446,0.40757,1.13356,
3.97559,157772561830,0.41700,1.09451,
4.30469,157775849863,0.51621,0.54000,
4.59961,157778802758,0.56187,0.42979,
4.89551,157781761549,0.43593,0.50317,
5.20801,157784883544,0.57898,0.39004,
5.71729,157789976114,0.52013,0.38690,
6.04590,157793263356,0.36176,0.59376,
6.34131,157796218248,0.17025,0.47493,
6.70264,157799831504,0.18661,0.37784,
6.96582,157802465221,0.26238,0.24760,
7.60645,157808869511,0.32541,0.15312,
8.18164,157814619289,0.32054,0.18096,
8.55957,157818398809,0.54040,0.28753,
8.87109,157821516109,0.51699,0.22282,
9.33154,157826118488,0.45410,0.15355,
9.79102,157830716312,0.57977,0.06748,
10.08691,157833674172,0.60964,0.16845,
10.34961,157836302580,0.96259,0.09627,
11.13818,157844187629,0.49881,0.29989,
11.48340,157847639184,1.09003,-0.06415,
11.76270,157850432508,0.73816,0.21167,
11.99268,157852731313,0.86759,0.18841,
12.53467,157858153470,0.28346,0.44336,
12.86377,157861443528,0.75203,0.19325,
13.17578,157864562155,0.75883,0.22120,
13.47168,157867521757,0.69511,0.21952,
13.81641,157870968187,0.61727,0.26341,
14.06299,157873432518,0.53091,0.33395,
14.35889,157876391722,0.28992,0.56899,
14.70361,157879840401,0.22183,0.64946,
15.08154,157883618696,0.25501,0.63381,
15.45898,157887395500,0.60526,0.35000,
15.82031,157891009898,0.63047,0.13687,
16.14941,157894296455,0.59766,0.19550,
16.56006,157898404714,0.60710,0.17686,
16.88867,157901692100,0.67998,0.15205,
17.29980,157905801964,0.72813,0.09322,
17.59473,157908752297,0.69036,0.07760,
17.97266,157912532054,0.67159,0.08282,
18.25244,157915328802,0.59348,0.07400,
18.58105,157918617443,0.59600,0.06171,
18.86035,157921405931,0.66417,0.29460,
19.35352,157926341514,0.56179,0.11174,
19.71484,157929954804,0.54940,0.06184,
20.02637,157933068176,0.53671,0.01124,
20.40430,157936845873,0.53385,0.08555,
20.65088,157939311418,0.51167,0.11373,
