TIME(2020/03/06 16:09:56.469),TIMETICK(f=10000000),FPOGX,FPOGY,
0.31183,3673646123155,0.58785,0.44131,
0.54266,3673648431526,0.54722,0.61202,
0.77081,3673650712896,0.58703,1.43330,
1.23120,3673655316856,0.42693,0.37036,
1.78986,3673660903266,0.59933,0.52505,
2.33167,3673666321233,0.70830,0.76917,
3.18573,3673674862401,0.52268,0.46248,
3.49805,3673677985309,0.51865,0.43841,
3.77740,3673680778580,0.53491,0.50398,
4.10590,3673684063557,0.59164,0.67943,
4.45190,3673687523587,0.46913,0.55403,
4.76300,3673690634511,0.66192,0.67617,
5.17395,3673694744481,0.61330,0.31174,
5.42004,3673697205052,0.52851,0.37735,
5.78186,3673700823461,0.51259,0.38371,
6.01184,3673703123099,0.65335,0.33211,
6.25861,3673705590860,0.61608,0.32728,
6.52100,3673708214683,0.53861,0.21746,
6.80035,3673711008476,0.52290,0.30409,
7.34314,3673716436214,0.33649,0.30170,
7.60516,3673719056585,0.34224,0.51664,
7.96655,3673722670237,0.39885,0.45977,
8.21295,3673725134154,0.44491,0.46181,
8.72229,3673730227554,0.39291,0.37966,
9.01837,3673733188330,0.38386,0.38962,
9.77386,3673740743690,0.42396,0.29219,
10.13556,3673744360495,0.50876,0.32247,
10.38171,3673746822095,0.50181,0.19412,
10.61407,3673749145757,0.44506,0.09634,
10.82599,3673751264885,0.29369,0.19207,
11.12109,3673754215473,0.19291,0.24350,
11.64673,3673759472197,0.23001,0.25659,
12.74872,3673770492060,0.29769,0.29246,
13.02661,3673773270822,0.36595,0.20676,
13.32245,3673776229056,0.37128,0.24011,
13.58533,3673778857788,0.57876,0.62080,
13.86584,3673781663498,0.78967,0.86059,
14.16040,3673784608961,0.40873,0.35398,
14.52167,3673788221384,0.41104,0.31885,
14.85181,3673791522919,0.50789,0.28566,
15.40973,3673797101799,0.54015,0.25293,
15.68811,3673799886126,0.48324,0.26979,
15.95105,3673802515328,0.45196,0.33438,
16.16437,3673804648502,0.54167,0.30821,
16.67432,3673809748214,0.76562,0.32045,
17.02081,3673813213179,0.38327,0.30683,
17.39838,3673816988457,0.73845,0.34888,
17.65948,3673819599694,0.42447,0.34940,
17.95532,3673822557816,0.78005,0.40598,
18.25128,3673825517760,0.77608,0.42177,
18.69476,3673829952437,0.55202,0.46746,
19.00696,3673833074182,0.61220,0.43205,
19.28607,3673835865386,0.59496,0.46387,
19.63116,3673839316625,0.55327,0.39632,
20.17328,3673844737841,0.46712,0.38482,
21.01099,3673853114494,0.48145,0.42878,
21.30676,3673856072642,0.49198,0.37182,
21.94781,3673862482981,0.52967,0.38088,
22.21039,3673865108523,0.52606,0.40759,
22.45685,3673867573304,0.54305,0.49008,
22.75250,3673870529532,0.56651,0.48645,
23.11401,3673874144649,0.59557,0.43350,
23.44366,3673877441646,0.54647,0.50853,
23.82037,3673881208550,0.51198,0.53710,
24.23102,3673885315016,0.48431,0.58655,
24.61023,3673889106873,0.46308,0.57764,
24.95392,3673892544179,0.43255,0.54735,
25.20032,3673895007978,0.38304,0.48990,
25.54547,3673898459229,0.43428,0.37212,
26.08740,3673903879125,0.40952,0.38351,
26.43243,3673907328884,0.38408,0.39935,
26.89313,3673911935885,0.38360,0.39639,
27.30322,3673916037304,0.44237,0.29941,
27.64819,3673919486949,0.48935,0.27303,
28.17426,3673924747262,0.44033,0.35342,
28.51892,3673928193759,0.44079,0.36558,
28.76538,3673930658478,0.48325,0.27512,
29.14313,3673934436050,0.57793,0.26111,
29.43890,3673937394043,0.59783,0.26100,
29.98108,3673942815372,0.66525,0.27859,
30.27686,3673945773643,0.65671,0.31826,
30.62183,3673949222817,0.66784,0.25582,
31.45996,3673957604652,0.66456,0.23937,
31.87158,3673961720432,0.62344,0.32120,
