TIME(2020/02/27 18:34:14.081),TIMETICK(f=10000000),FPOGX,FPOGY,
0.31470,244210472218,0.39253,0.06388,
0.65698,244213897170,0.35360,0.99892,
0.93701,244216695101,0.29066,0.98592,
1.23218,244219648760,0.28625,0.98385,
1.51123,244222439055,0.58880,0.55742,
2.18506,244229176555,0.72630,0.71869,
2.39868,244231312483,0.56921,0.82813,
2.67798,244234106345,0.35392,1.01046,
3.07251,244238052398,0.35702,1.01310,
3.36792,244241004857,0.38506,0.54902,
3.79541,244245280025,0.30696,0.61354,
4.04297,244247756658,0.41681,0.48184,
4.79736,244255300716,0.55257,0.41114,
5.01123,244257438598,0.46523,0.46969,
5.52026,244262528072,0.51546,0.41437,
6.26099,244269937026,0.51595,0.40401,
6.52222,244272547358,0.51829,0.30751,
6.85059,244275832704,0.51432,0.24810,
7.13013,244278626789,0.51473,0.31589,
7.77100,244285035617,0.51372,0.38193,
8.09985,244288325171,0.52289,0.37005,
8.42798,244291605101,0.51909,0.40696,
9.16724,244298999470,0.51196,0.39271,
9.39722,244301297434,0.43853,0.23898,
9.72583,244304583779,0.37691,0.25981,
10.02197,244307545098,0.45572,0.16884,
10.54712,244312797850,0.46267,0.13652,
10.84326,244315758518,0.48356,0.16587,
11.27002,244320026254,0.55299,0.15287,
11.53369,244322663432,0.58497,0.09714,
11.86157,244325942699,0.58607,0.12078,
12.12573,244328582830,0.66246,0.10486,
12.51880,244332513949,0.71810,0.10586,
12.91284,244336455228,0.74260,0.11800,
13.12646,244338590929,0.66705,0.17265,
13.34082,244340733320,0.52895,0.36378,
13.57007,244343027192,0.47447,0.35013,
14.22729,244349599513,0.47289,0.13797,
14.54028,244352728869,0.44327,0.08652,
14.96729,244356998438,0.33150,0.21213,
15.31152,244360441502,0.42826,0.15319,
15.72241,244364549819,0.46408,0.21210,
16.07153,244368040841,0.49574,0.25594,
16.34692,244370795217,0.51404,0.25152,
16.87231,244376048118,0.55120,0.21460,
17.34863,244380813282,0.61430,0.29025,
17.80859,244385413265,0.53988,0.49061,
18.33472,244390674548,0.48500,0.73540,
18.66284,244393955687,0.52830,0.78301,
19.02490,244397574532,0.56555,0.85598,
19.40234,244401350558,0.61013,0.86959,
19.66528,244403978425,0.47155,0.70214,
20.28955,244410220703,0.43224,0.68397,
20.75000,244414824951,0.43564,0.74886,
21.11084,244418435781,0.48019,0.59449,
21.35742,244420900025,0.47187,0.67058,
21.68604,244424186445,0.50107,0.77925,
22.01465,244427473109,0.51230,0.89716,
22.31030,244430428758,0.56880,0.86517,
22.93506,244436677603,0.53895,0.71750,
23.21362,244439463207,0.52465,0.67769,
23.72388,244444564596,0.51487,0.56815,
23.96948,244447022167,0.59899,0.45591,
24.38013,244451128365,0.58450,0.41319,
24.64331,244453759354,0.53881,0.53646,
25.08691,244458194322,0.55051,0.60562,
25.57983,244463123813,0.51751,0.52917,
25.87524,244466077809,0.59925,0.46581,
26.17114,244469036630,0.65889,0.50658,
26.41846,244471510717,0.64321,0.43068,
26.81177,244475443523,0.74252,0.26390,
27.09106,244478236485,0.45166,0.60471,
27.35376,244480863753,0.33664,0.79187,
27.78076,244485134383,0.42751,0.81987,
28.14258,244488751260,0.52828,0.45323,
28.45459,244491871635,0.51166,0.45917,
28.93115,244496637557,0.42524,0.67087,
29.35815,244500907507,0.41752,0.65172,
29.86768,244506002045,0.28666,0.61644,
30.13013,244508628053,0.49538,0.44054,
30.57422,244513068120,0.52005,0.37194,
30.85327,244515858853,0.52077,0.46127,
31.08350,244518161735,0.47852,0.49113,
31.44458,244521772567,0.45686,0.54169,
32.01978,244527524547,0.55997,0.45298,
32.39771,244531302189,0.42890,0.49076,
32.66016,244533927627,0.53449,0.53504,
33.03833,244537710173,0.81753,0.75077,
33.48193,244542144841,0.48266,0.44264,
33.77759,244545102284,0.50168,0.49474,
34.28687,244550194702,0.51128,0.48574,
34.73022,244554628227,0.49858,0.52586,
35.30566,244560382229,0.46692,0.44094,
36.02856,244567612648,0.43627,0.49560,
36.81714,244575498188,0.44008,0.50154,
37.04688,244577793934,0.46606,0.35180,
37.63843,244583709719,0.49098,0.29524,
37.86914,244586017693,0.44691,0.46455,
38.14746,244588801029,0.43734,0.48367,
38.83765,244595703006,0.44075,0.50804,
39.15039,244598829216,0.43834,0.28368,
39.49463,244602272739,0.45001,0.15821,
39.80688,244605395705,0.45012,0.09301,
40.10327,244608359891,0.51261,0.10813,
40.52954,244612622303,0.52573,0.06817,
40.79272,244615253157,0.55639,0.10938,
41.03906,244617717005,0.57051,0.15467,
41.17114,244619036578,0.52314,0.37585,
41.48315,244622158494,0.61206,-0.16821,
41.95972,244626922506,0.56222,0.27457,
42.18896,244629216380,0.58496,0.07771,
42.71460,244634472700,0.46328,0.59628,
42.99487,244637273867,0.53521,0.38185,
43.51978,244642524548,0.53349,0.17276,
43.85107,244645837713,0.60655,0.11261,
44.24268,244649753837,0.66051,0.15877,
44.60425,244653368273,0.79663,0.16563,
45.04785,244657804192,0.71940,0.14143,
45.44189,244661744538,0.44737,0.30332,
45.86914,244666017921,0.45050,0.20258,
47.00342,244677359404,0.46484,0.17179,
47.61035,244683430101,0.44587,0.17785,
47.85742,244685899242,0.45041,0.15640,
48.17065,244689031986,0.49433,0.19429,
48.46484,244691974259,0.53768,0.18227,
48.69482,244694275256,0.38372,0.22515,
48.95776,244696902740,0.43207,0.24562,
49.23682,244699695005,0.52060,0.28480,
49.53442,244702670220,0.78938,0.28272,
49.77930,244705119208,0.85164,0.37885,
50.07495,244708074483,0.85118,0.49008,
50.40356,244711361106,0.76989,0.57859,
50.73340,244714661169,0.81014,0.66736,
51.06055,244717930612,0.76428,0.75275,
51.37305,244721055777,0.53631,0.80875,
51.71948,244724521160,0.43896,0.67640,
52.01343,244727460316,0.40794,0.58721,
52.32544,244730581032,0.44383,0.61502,
53.17969,244739123884,0.44581,0.75576,
53.50854,244742411254,0.50636,0.72941,
53.96851,244747010462,0.50882,0.66821,
54.46118,244751937904,0.46398,0.73230,
54.87231,244756049027,0.41328,0.78520,
55.31592,244760484171,0.48311,0.96390,
55.64429,244763768152,0.49777,0.91431,
56.08789,244768206031,0.32509,0.58863,
56.51489,244772475911,0.38596,0.61750,
57.05713,244777896341,0.37154,0.63741,
57.36938,244781019572,0.42984,0.65998,
57.64844,244783811536,0.69923,0.49653,
57.89478,244786275088,0.62854,0.49257,
58.23975,244789723960,0.57126,0.40764,
58.55298,244792854789,0.55006,0.25857,
58.97925,244797117456,0.56537,0.19020,
59.50513,244802376409,0.33978,0.16514,
59.86646,244805989781,0.40286,0.12917,
60.16187,244808945349,0.31992,0.15067,
60.40845,244811411833,0.32686,0.16116,
60.81958,244815522218,0.22993,0.18505,
61.09863,244818312103,0.19907,0.32793,
61.32861,244820613115,0.21419,0.47505,
61.67334,244824060152,0.16705,0.58390,
61.98560,244827181222,0.14240,0.46524,
62.24878,244829813100,0.15754,0.49389,
62.59351,244833260615,0.20790,0.43126,
63.05396,244837865222,0.22095,0.40928,
63.43164,244841641654,0.24018,0.37535,
63.67798,244844105591,0.24695,0.20443,
64.07227,244848048662,0.25637,0.17800,
64.33496,244850676058,0.32853,0.23812,
64.72925,244854617933,0.40372,0.14775,
65.33716,244860696693,0.36076,0.12758,
65.66602,244863985658,0.48033,0.14764,
