TIME(2020/02/27 15:24:32.516),TIMETICK(f=10000000),FPOGX,FPOGY,
0.60864,130398054277,0.37547,0.17260,
1.18457,130403813820,0.36452,-0.00233,
1.34790,130405445367,0.36787,0.06868,
1.93848,130411351063,0.40386,0.07239,
2.15381,130413505394,0.39024,0.35081,
2.51343,130417100975,0.43284,0.75545,
2.89136,130420881328,0.75542,0.74387,
3.15381,130423506504,0.69986,0.74336,
3.51563,130427122569,0.37818,0.90383,
3.99170,130431885080,0.37164,0.92035,
4.36987,130435664902,0.47825,0.44595,
5.04321,130442399035,0.35404,0.60707,
5.58521,130447820204,0.35355,0.61925,
6.04541,130452420987,0.37295,0.31326,
6.37524,130455719170,0.49698,0.39963,
7.42725,130466238862,0.51531,0.37883,
7.67212,130468688457,0.50649,0.38799,
8.54272,130477394979,0.52093,0.27251,
8.85474,130480514180,0.51894,0.28918,
9.36426,130485609012,0.50695,0.41951,
9.70923,130489059783,0.51047,0.42689,
10.82617,130500228028,0.48929,0.42048,
11.50146,130506982886,0.48725,0.42162,
11.82837,130510250652,0.48148,0.34273,
12.19019,130513868177,0.53882,0.21894,
12.83423,130520310288,0.53896,0.18768,
13.19165,130523884850,0.59400,0.08576,
13.43848,130526351985,0.59382,0.07578,
13.86572,130530623745,0.47910,0.43122,
14.16113,130533578907,0.49660,0.27804,
14.48999,130536867928,0.53293,0.25402,
14.73633,130539330429,0.58391,0.19491,
14.98267,130541793881,0.50111,0.17124,
15.47559,130546723596,0.47417,0.12575,
15.88647,130550831057,0.59566,0.73599,
16.33057,130555272432,0.62816,0.74120,
16.67529,130558719076,0.37016,0.18319,
17.18433,130563809850,0.26024,0.20561,
17.71045,130569070649,0.22687,0.23026,
17.95654,130571532544,0.22137,0.35617,
18.20264,130573993876,0.25794,0.50928,
18.64648,130578430965,0.32374,0.56019,
19.38574,130585823888,0.42775,0.58227,
19.87891,130590757284,0.51307,0.60169,
20.38770,130595843835,0.53978,0.62837,
21.04468,130602415191,0.51485,0.54516,
21.32422,130605208859,0.49544,0.42909,
21.78418,130609809655,0.51164,0.18852,
