TIME(2020/03/06 13:57:15.296),TIMETICK(f=10000000),FPOGX,FPOGY,
0.22993,3594034286511,0.37520,0.18335,
0.44337,3594036420949,0.47075,0.32785,
1.31412,3594045128277,0.63201,0.52213,
1.65988,3594048585974,0.55496,0.44582,
1.98851,3594051872307,0.55996,0.45070,
2.57913,3594057778488,0.70751,0.70857,
2.90791,3594061066308,0.41061,0.80771,
3.49933,3594066980463,0.35002,0.91971,
3.89348,3594070921881,0.49871,0.49030,
4.45209,3594076508098,0.30636,0.47569,
4.86296,3594080616801,0.32085,0.48225,
5.14241,3594083411268,0.30896,0.51931,
5.93082,3594091295308,0.34195,0.46311,
6.29224,3594094909602,0.34636,0.46298,
6.65370,3594098524110,0.54294,1.48840,
6.90009,3594100988018,0.55598,1.48146,
7.24490,3594104436231,0.45636,0.55157,
8.01720,3594112159142,0.33367,0.48165,
8.36211,3594115608299,0.45001,0.47260,
8.62669,3594118254157,0.30699,0.46464,
8.88780,3594120865175,0.44544,0.38522,
9.31721,3594125159267,0.14105,0.56172,
9.61066,3594128093665,0.21809,0.56053,
9.90631,3594131050262,0.30196,0.60100,
10.35118,3594135499010,0.38164,0.60644,
10.62994,3594138286565,0.42494,0.54306,
11.07300,3594142717110,0.43037,0.38455,
11.41792,3594146166366,0.45575,0.24902,
11.79596,3594149946756,0.46541,0.24268,
12.32166,3594155203726,0.50154,0.21946,
13.76714,3594169658488,0.42979,0.10552,
14.26035,3594174590552,0.37301,0.10767,
15.18031,3594183790323,0.29044,0.13730,
15.47585,3594186745603,0.29864,0.17096,
15.90288,3594191015879,0.59360,0.22274,
16.33049,3594195292002,0.60865,0.34179,
16.62582,3594198245357,0.52823,0.41839,
16.98726,3594201859800,0.50545,0.47444,
17.23367,3594204323851,0.54778,0.60697,
17.89093,3594210896421,0.54790,0.71839,
18.26855,3594214672734,0.27655,0.75133,
18.54919,3594217479050,0.27980,0.79642,
19.07373,3594222724498,0.23958,0.79278,
19.76407,3594229627809,0.22825,0.78487,
20.48654,3594236852589,0.32909,0.71075,
21.06154,3594242602614,0.29101,0.67018,
21.27515,3594244738678,0.21980,0.52427,
21.58713,3594247858397,0.29903,0.33595,
21.85011,3594250488220,0.25390,0.33788,
22.08032,3594252790317,0.33814,0.46142,
22.42538,3594256240954,0.42832,0.45360,
22.82063,3594260193555,0.44519,0.13754,
23.13176,3594263304771,0.56132,0.14713,
23.42738,3594266260944,0.46989,0.39455,
23.73946,3594269381689,0.50499,0.26807,
23.95296,3594271516675,0.46735,0.49612,
24.26563,3594274643464,0.52328,0.60966,
24.77432,3594279730465,0.48838,0.24823,
25.18512,3594283838366,0.46920,0.20622,
25.76012,3594289588302,0.51732,0.15407,
26.10509,3594293038089,0.51372,0.18015,
26.64949,3594298482017,0.55721,0.12203,
27.14014,3594303388563,0.60825,0.10689,
27.64948,3594308481922,0.62126,0.16785,
27.94499,3594311437046,0.56120,0.23841,
28.37228,3594315710046,0.52792,0.25757,
28.86629,3594320649981,0.52506,0.24751,
29.09500,3594322937241,0.47151,0.33324,
29.53915,3594327378730,0.28015,0.66207,
29.85088,3594330495926,0.20918,0.64521,
30.17955,3594333782711,0.13115,0.64784,
30.59041,3594337891256,0.21534,0.63736,
31.00105,3594341997623,0.28095,0.63835,
31.52672,3594347254294,0.35171,0.65744,
31.95421,3594351529199,0.42602,0.60936,
32.66028,3594358589864,0.53488,0.61044,
33.12057,3594363192778,0.55510,0.56505,
33.35043,3594365491482,0.51828,0.44571,
34.20444,3594374031532,0.50870,0.23364,
35.35458,3594385532889,0.51469,0.16560,
36.15964,3594393583622,0.51461,0.15561,
36.42252,3594396212239,0.55245,0.19079,
36.65228,3594398509995,0.48668,0.27879,
37.24390,3594404425993,0.48882,0.29083,
37.62189,3594408206030,0.51696,0.22483,
37.86929,3594410679978,0.44109,0.24849,
38.32825,3594415269763,0.35562,0.11482,
38.68951,3594418882295,0.54919,0.38418,
39.10040,3594422991140,0.25363,0.19035,
39.41238,3594426110909,0.54976,0.52480,
39.80707,3594430057788,0.46493,0.76621,
40.08582,3594432845236,0.48638,0.79416,
