TIME(2020/03/11 14:38:17.924),TIMETICK(f=10000000),FPOGX,FPOGY,
0.16431,7902645675871,0.38648,0.12828,
0.57507,7902649782463,0.39380,0.08846,
0.82153,7902652247766,0.38477,0.08288,
1.03503,7902654382715,0.37875,0.27051,
1.71008,7902661133463,0.40285,0.18623,
2.30151,7902667047922,0.50510,0.42172,
2.81091,7902672141729,0.51119,0.43876,
3.13965,7902675428565,0.50830,0.45121,
3.64856,7902680518199,0.51305,0.42514,
3.96143,7902683646654,0.47439,0.53532,
4.25684,7902686600913,0.44213,0.71844,
4.51782,7902689210926,0.47238,0.64980,
4.78064,7902691839259,0.66319,0.35663,
5.06006,7902694632367,0.73850,0.25465,
5.43835,7902698415397,0.74644,0.22672,
5.71875,7902701219262,0.50547,0.58363,
6.02966,7902704328702,0.41769,0.87214,
6.32520,7902707283803,0.32807,0.97933,
6.53882,7902709420092,0.32866,0.74074,
6.81787,7902712211332,0.45524,0.41584,
7.04797,7902714511396,0.50764,0.54106,
7.69104,7902720942174,0.29238,0.70805,
7.95288,7902723561434,0.45870,0.51047,
8.37891,7902727821504,0.66247,0.46947,
9.05212,7902734553609,0.32052,0.43072,
9.69312,7902740963597,0.48745,0.42634,
10.02173,7902744249273,0.50689,0.43355,
10.41614,7902748193882,0.51399,0.45183,
10.85999,7902752631624,0.51097,0.42640,
11.13879,7902755419701,0.51184,0.47486,
11.48364,7902758868333,0.52759,0.44572,
11.91113,7902763143402,0.58864,0.38485,
12.22461,7902766278620,0.61424,0.36418,
12.84900,7902772522848,0.49934,0.43172,
13.37329,7902777765378,0.51422,0.44989,
13.89880,7902783020711,0.60453,0.35840,
14.22717,7902786304344,0.56650,0.21206,
14.45776,7902788609684,0.53269,0.35901,
14.91724,7902793204324,0.33175,0.39925,
15.21338,7902796165841,0.34890,0.30711,
15.65833,7902800615814,0.40955,0.27230,
16.06775,7902804710326,0.46692,0.29654,
16.39612,7902807993108,0.51478,0.22483,
16.79053,7902811937857,0.52634,0.32527,
17.18481,7902815880275,0.53620,0.35321,
17.54578,7902819490315,0.53457,0.46725,
17.80872,7902822119277,0.62156,0.49864,
18.17139,7902825746665,0.49891,0.52602,
18.51514,7902829183229,0.53583,0.58678,
18.85999,7902832632673,0.27370,0.61698,
19.27393,7902836771533,0.20808,0.64008,
19.55042,7902839535896,0.32293,0.60706,
20.14160,7902845448704,0.41202,0.59215,
20.89734,7902853005768,0.45131,0.47404,
21.30823,7902857114885,0.47350,0.43295,
21.60596,7902860092031,0.46114,0.26201,
22.09680,7902864999690,0.38968,0.29025,
22.34326,7902867464474,0.46416,0.32239,
22.78711,7902871903861,0.48086,0.36943,
23.32874,7902877319812,0.44706,0.35960,
23.60950,7902880127311,0.41801,0.31827,
23.92346,7902883266709,0.39941,0.44636,
24.98840,7902893916621,0.53188,0.43871,
25.53027,7902899335116,0.50440,0.38918,
26.26978,7902906730408,0.48813,0.32819,
26.76257,7902911658433,0.47465,0.29713,
27.05835,7902914616013,0.47849,0.25855,
27.33826,7902917415400,0.46647,0.22837,
27.69885,7902921020537,0.47464,0.20239,
28.14233,7902925455730,0.47821,0.23702,
29.34351,7902937466743,0.50973,0.24511,
29.67175,7902940749734,0.39687,0.38101,
29.98438,7902943876178,0.52974,0.36349,
30.57520,7902949783628,0.49914,0.34297,
30.92126,7902953244364,0.47773,0.36666,
31.38025,7902957834369,0.44684,0.45119,
31.77441,7902961776381,0.52072,0.42895,
32.25073,7902966539947,0.45463,0.45194,
32.49609,7902968993529,0.46529,0.50427,
33.87720,7902982804676,0.42627,0.48887,
34.45117,7902988543503,0.45999,0.52688,
34.81250,7902992157267,0.46118,0.48272,
35.06030,7902994634846,0.45665,0.46754,
35.63403,7903000372475,0.44143,0.51737,
36.09387,7903004971365,0.43094,0.54646,
36.57092,7903009741133,0.42895,0.56714,
37.09778,7903015009834,0.44709,0.52716,
37.67175,7903020749393,0.44885,0.58402,
38.31189,7903027151384,0.44299,0.54798,
38.59106,7903029943061,0.44163,0.55341,
39.98779,7903043910392,0.42798,0.59449,
40.34924,7903047524249,0.37375,0.37056,
40.62817,7903050314316,0.47332,0.33562,
40.89111,7903052943405,0.50675,0.27525,
41.18738,7903055906244,0.42981,0.17315,
41.48267,7903058858781,0.39484,0.21040,
41.99243,7903063956107,0.37831,0.23866,
42.27100,7903066742479,0.29491,0.21788,
42.79675,7903072000204,0.24429,0.17038,
43.30615,7903077094184,0.34597,0.23657,
43.63477,7903080379586,0.53629,0.30313,
43.89795,7903083011454,0.59450,0.30916,
44.19324,7903085965063,0.62320,0.32946,
44.63745,7903090406371,0.57939,0.23746,
45.22852,7903096317626,0.55617,0.22290,
45.68835,7903100916365,0.55311,0.23585,
46.29626,7903106994527,0.52917,0.20841,
46.85498,7903112582496,0.52212,0.21614,
47.11768,7903115208904,0.56347,0.23217,
47.56152,7903119647009,0.64832,0.25623,
47.95569,7903123589383,0.74210,0.22940,
48.34973,7903127529284,0.76761,0.26246,
48.77722,7903131803962,0.83940,0.51169,
49.10596,7903135091776,0.70502,0.73567,
49.43408,7903138373042,0.42269,0.55417,
49.74634,7903141495162,0.40624,0.54492,
50.04187,7903144451297,0.17245,0.70418,
50.38745,7903147906198,0.17828,0.82117,
50.79761,7903152007930,0.17797,0.81938,
51.10974,7903155129634,0.35638,0.77148,
51.48816,7903158914079,0.47779,0.70882,
52.16125,7903165644368,0.49341,0.69061,
52.81836,7903172215709,0.59400,0.67017,
53.04871,7903174518743,0.58327,0.50585,
53.42627,7903178295489,0.60797,0.50365,
53.70679,7903181099799,0.66026,0.51108,
53.96851,7903183717442,0.72213,0.44598,
54.69116,7903190944082,0.74573,0.54635,
55.11877,7903195219940,0.78669,0.61249,
55.34875,7903197519365,0.67656,0.59483,
55.69348,7903200967493,0.48903,0.63285,
56.08972,7903204929231,0.75184,0.52229,
56.71216,7903211153269,0.58677,0.59222,
57.14124,7903215445024,0.57310,0.52920,
57.43506,7903218382933,0.49914,0.67761,
57.68127,7903220844690,0.39021,0.57520,
57.89478,7903222980259,0.47513,0.41256,
58.32288,7903227260736,0.52312,0.39926,
58.65063,7903230538014,0.52459,0.36905,
59.06128,7903234645597,0.53106,0.35632,
59.37354,7903237767641,0.58476,0.28598,
59.76770,7903241709509,0.59712,0.33024,
60.12939,7903245326621,0.64977,0.37959,
60.37622,7903247794267,0.56327,0.44342,
61.62427,7903260274759,0.52216,0.37231,
62.82336,7903272266150,0.46483,0.39567,
63.41492,7903278181937,0.46343,0.37766,
63.74365,7903281468685,0.42055,0.52489,
64.25464,7903286578451,0.38259,0.51748,
64.51672,7903289199433,0.44247,0.62655,
64.92651,7903293297105,0.53616,0.64109,
65.30615,7903297094225,0.49628,0.56573,
65.68323,7903300864042,0.57090,0.47421,
66.29126,7903306944523,0.58890,0.52513,
67.37573,7903317788998,0.56256,0.58451,
67.68652,7903320897242,0.60400,0.35908,
67.99841,7903324016771,0.52834,0.29111,
68.32825,7903327314653,0.50935,0.30324,
68.85547,7903332586919,0.46109,0.35054,
69.54395,7903339471692,0.64274,0.25252,
70.23315,7903346363562,0.64170,0.21035,
70.48096,7903348841817,0.53614,0.20676,
70.72583,7903351290361,0.53954,0.17605,
71.00537,7903354085749,0.55477,0.15388,
71.33386,7903357370879,0.37558,0.20278,
71.84290,7903362461555,0.58721,0.20223,
72.22119,7903366244273,0.61629,0.24417,
72.94543,7903373486861,0.62839,0.33026,
73.20654,7903376097210,0.57261,0.28619,
73.55139,7903379546470,0.61401,0.18201,
73.83093,7903382341684,0.63727,0.19716,
74.04443,7903384476097,0.65857,0.46520,
74.30725,7903387104796,0.64088,0.52008,
74.76733,7903391705143,0.59021,0.26824,
75.19446,7903395976891,0.67042,0.40161,
75.53931,7903399425697,0.66505,0.34608,
75.86926,7903402725365,0.63319,0.40697,
76.09814,7903405013191,0.69718,0.51142,
76.49329,7903408965728,0.77127,0.56686,
76.77271,7903411759263,0.49192,0.41778,
77.31360,7903417168212,0.42275,0.29179,
77.67603,7903420792726,0.47782,0.29342,
77.93823,7903423414092,0.45123,0.42345,
78.16785,7903425710968,0.42609,0.52563,
78.54724,7903429505258,0.35701,0.77515,
78.85828,7903432615321,0.13455,0.73916,
79.12109,7903435242665,0.09057,0.60690,
79.64648,7903440497296,0.13004,0.50377,
80.27112,7903446743290,0.14661,0.53290,
80.55066,7903449538416,0.12171,0.55516,
81.01038,7903454136543,0.13806,0.53245,
81.42163,7903458248363,0.18165,0.58972,
81.76587,7903461690480,0.13175,0.60794,
82.06152,7903464647139,0.12361,0.59542,
82.66943,7903470727117,0.29909,0.53384,
82.98169,7903473848909,0.39769,0.55093,
83.24438,7903476475641,0.50683,0.59018,
83.62231,7903480255309,0.57734,0.52386,
84.03430,7903484374763,0.57250,0.49413,
84.44373,7903488469693,0.52265,0.49614,
84.78992,7903491931745,0.58056,0.61306,
85.11731,7903495205159,0.48618,0.67331,
85.57727,7903499804757,0.48977,0.61641,
86.69434,7903510975856,0.49220,0.59233,
87.26941,7903516726876,0.52420,0.58958,
87.56531,7903519684769,0.46808,0.59779,
87.91003,7903523133133,0.49515,0.71162,
88.25574,7903526589482,0.50096,0.69171,
88.63318,7903530363724,0.48415,0.59102,
88.86316,7903532664200,0.49451,0.41922,
89.40723,7903538104240,0.49194,0.38313,
89.86572,7903542689706,0.50669,0.42081,
91.13184,7903555350800,0.49296,0.42001,
91.47656,7903558797936,0.34661,0.06896,
