TIME(2020/03/11 15:09:23.223),TIMETICK(f=10000000),FPOGX,FPOGY,
0.21338,7921298880267,0.51790,0.30788,
0.49353,7921301681612,0.55955,0.22397,
0.97046,7921306450922,0.61757,0.34499,
1.84021,7921315148376,0.42417,0.48161,
2.23456,7921319092111,0.30795,0.41198,
2.57916,7921322537751,0.60745,0.32301,
2.87567,7921325503235,0.29717,0.57304,
3.04022,7921327148369,0.26129,0.47496,
4.79730,7921344719193,0.26134,0.43796,
5.24072,7921349153265,0.15655,0.18417,
5.55273,7921352273728,0.47717,0.40456,
6.14447,7921358190996,0.49895,0.40381,
6.48932,7921361639402,0.63598,2.16613,
6.83551,7921365101652,0.52952,2.18500,
7.26154,7921369361476,0.51362,0.43275,
7.95160,7921376262177,0.50719,0.40036,
8.44427,7921381188817,0.50449,0.36121,
8.80768,7921384822982,0.42607,0.20082,
9.05225,7921387268550,0.52236,0.26807,
9.46307,7921391377121,0.53328,0.26390,
10.31812,7921399927422,0.51710,0.12792,
11.15515,7921408297710,0.70825,0.18465,
11.53369,7921412083416,0.73607,0.16176,
12.10815,7921417828120,0.72582,0.13736,
12.37073,7921420453527,0.79761,0.15576,
12.63403,7921423086782,0.65498,0.35829,
12.92963,7921426042398,0.51720,0.17331,
13.19244,7921428670605,0.58311,0.09786,
13.55383,7921432284376,0.69521,0.15655,
13.88269,7921435573431,0.60325,0.13187,
14.16174,7921438363599,0.67218,0.15624,
14.63788,7921443125328,0.69462,0.07781,
15.18024,7921448548781,0.76619,0.11651,
15.52606,7921452007056,0.56911,0.52320,
15.82092,7921454955788,0.63520,0.20384,
16.10095,7921457756010,0.69836,0.06609,
16.34680,7921460214338,0.62942,0.13728,
16.74115,7921464157698,0.64107,0.05232,
17.28290,7921469575542,0.61846,0.05236,
17.54602,7921472206830,0.58960,0.03817,
17.87555,7921475501915,0.72053,0.09911,
18.25250,7921479271107,0.67986,0.18009,
18.53156,7921482061988,0.59869,0.23906,
18.79456,7921484692065,0.52763,0.22864,
19.17224,7921488468963,0.65607,0.29903,
19.43512,7921491097658,0.65330,0.23988,
19.69824,7921493728859,0.59383,0.20053,
20.12543,7921498000799,0.68507,0.26724,
20.68396,7921503585981,0.62008,0.28737,
20.89795,7921505726111,0.57318,0.33060,
21.34113,7921510157381,0.48305,0.32175,
22.22809,7921519027439,0.43030,0.31430,
22.60608,7921522807230,0.47875,0.31870,
22.90179,7921525764310,0.52168,0.36818,
23.78876,7921534633871,0.87048,0.87632,
24.26532,7921539399406,0.52716,0.37524,
24.38019,7921540548291,0.56280,0.41931,
25.30127,7921549759234,0.47841,0.40514,
25.72748,7921554021223,0.63095,0.41262,
26.15448,7921558291060,0.65271,0.35171,
26.40100,7921560756367,0.61333,0.40721,
26.76593,7921564405530,0.52380,0.33180,
27.28961,7921569642571,0.51419,0.31515,
27.91260,7921575872443,0.51336,0.39220,
28.80005,7921584746868,0.51331,0.35427,
29.34375,7921590183634,0.57370,0.29060,
29.63782,7921593124368,0.51348,0.32952,
30.08112,7921597557656,0.51191,0.20974,
30.39331,7921600679244,0.48190,0.15337,
30.67255,7921603471950,0.48890,0.08459,
30.96857,7921606431960,0.47435,0.06307,
31.37903,7921610536848,0.52150,0.06368,
31.88831,7921615629250,0.41014,0.00391,
32.43109,7921621057055,0.39782,-0.00686,
32.72607,7921624006994,0.19939,0.09952,
32.98914,7921626637549,0.42584,0.22016,
33.38312,7921630577814,0.36744,0.10009,
33.75238,7921634270424,0.34135,0.12519,
33.95862,7921636332282,0.55628,0.14895,
34.22119,7921638958091,0.54738,0.14354,
34.58282,7921642574737,0.45165,0.14175,
35.10889,7921647835462,0.35118,0.18921,
35.92975,7921656043798,0.31569,0.09022,
36.22571,7921659003665,0.32228,0.16792,
36.93280,7921666074222,0.28682,0.06463,
37.22784,7921669024578,0.27334,0.18046,
37.60553,7921672801834,0.59160,0.20728,
38.09839,7921677730118,0.57169,0.61007,
38.37762,7921680522587,0.55732,0.62333,
39.24829,7921689229018,0.51730,0.66608,
39.62598,7921693006052,0.60827,0.68193,
39.97119,7921696458429,0.66513,0.75308,
40.49701,7921701716416,0.61554,0.79987,
40.77606,7921704506873,0.54403,0.83791,
41.51703,7921711916367,0.53118,0.85483,
41.95905,7921716336535,0.51425,0.81495,
42.17413,7921718487820,0.51715,0.79133,
42.55042,7921722250450,0.48908,0.96556,
42.86249,7921725370915,0.39049,1.87614,
43.55280,7921732274018,0.44139,0.84016,
43.79932,7921734739564,0.46654,0.77065,
44.07861,7921737532457,0.50680,0.74659,
44.63684,7921743114541,0.47065,0.78404,
45.26172,7921749363716,0.48216,0.72263,
45.83636,7921755109706,0.56391,0.69058,
46.06610,7921757407275,0.69189,0.72756,
46.31256,7921759872188,0.74590,0.71741,
46.77264,7921764472586,0.58228,0.56098,
47.20215,7921768767687,0.54373,0.42895,
47.64337,7921773180114,0.55344,0.39249,
48.05408,7921777287082,0.83277,0.66533,
48.48151,7921781561112,0.47148,0.19137,
48.74396,7921784185721,0.47102,0.19752,
49.05798,7921787326296,0.70453,0.63362,
49.13837,7921788129971,0.61229,0.57483,
49.54907,7921792237189,0.56815,0.26511,
49.66406,7921793387133,0.64093,0.15792,
50.18982,7921798644511,0.52429,0.48905,
50.70081,7921803754446,0.47139,0.57625,
51.02814,7921807027892,0.72431,0.09500,
51.86548,7921815401172,0.41950,0.60002,
52.31213,7921819867935,0.41070,0.50315,
52.68695,7921823615962,0.58939,0.24511,
53.03253,7921827071655,0.34849,0.43619,
53.29504,7921829696768,0.32361,0.53660,
53.62329,7921832978988,0.25361,0.57995,
54.26520,7921839398520,0.18978,0.47146,
54.60901,7921842836667,0.12203,0.35268,
54.92126,7921845958793,0.16246,0.28290,
55.28271,7921849573226,0.24919,0.19521,
55.54541,7921852200566,0.31709,0.24116,
55.84119,7921855158237,0.36402,0.26859,
56.20282,7921858774339,0.37978,0.29065,
56.64655,7921863211990,0.55552,0.33077,
57.02435,7921866990117,0.46128,0.11478,
57.32013,7921869947398,0.39164,0.49895,
57.64856,7921873231653,0.30045,0.50044,
57.99341,7921876680640,0.82844,0.54098,
58.32336,7921879979734,0.56007,0.23952,
58.60168,7921882763206,0.32588,0.09720,
58.81494,7921884895456,0.33646,0.36377,
59.12781,7921888024365,0.36623,0.66318,
59.55426,7921892289049,0.35509,0.66053,
59.83337,7921895080234,0.39663,0.36544,
60.09625,7921897708654,0.76133,0.28018,
