TIME(2020/02/27 17:31:50.723),TIMETICK(f=10000000),FPOGX,FPOGY,
0.41284,206777638005,0.55512,0.62969,
1.21582,206785668688,0.33652,0.94695,
1.93848,206792894091,0.32133,0.95822,
2.25049,206796014775,0.48050,0.66122,
2.54626,206798972338,0.57601,0.54817,
2.80933,206801603506,0.69830,0.64162,
3.33557,206806865615,0.69975,0.74410,
3.71265,206810636150,0.54181,0.56122,
4.02502,206813760659,0.37678,0.88112,
4.28784,206816387930,0.37377,0.91984,
4.66577,206820167704,0.53578,0.54199,
4.94482,206822958618,0.64588,0.49536,
5.29102,206826420214,0.29857,0.69972,
5.65125,206830022862,0.27400,0.72300,
5.93103,206832819820,0.31416,0.64765,
6.24280,206835937312,0.46248,0.52977,
6.98254,206843335032,0.52448,0.51338,
7.27771,206846287471,0.48164,0.47850,
8.01721,206853682465,0.49573,0.43036,
8.83960,206861906483,0.48027,0.39235,
9.26648,206866174237,0.49715,0.44618,
9.74219,206870932238,0.49770,0.40575,
10.15308,206875040710,0.51848,0.44279,
10.43237,206877833062,0.56424,0.47565,
12.07520,206894261312,0.49894,0.45403,
12.38757,206897385960,0.79634,0.79485,
13.07690,206904279454,0.49772,0.48220,
13.58667,206909376939,0.50148,0.43659,
13.89905,206912499955,0.60363,0.43024,
14.32605,206916770099,0.60973,0.44481,
14.78613,206921371444,0.49028,0.52218,
15.01587,206923668834,0.57113,0.29646,
15.26233,206926132993,0.50333,0.39881,
16.18225,206935332924,0.48011,0.23477,
16.56030,206939112885,0.76641,0.45125,
17.16821,206945191576,0.79860,0.33562,
17.54590,206948968823,0.78369,0.32325,
17.79260,206951436077,0.68983,0.33850,
17.90735,206952583764,0.58622,0.41921,
18.41675,206957677993,0.48922,0.28478,
20.40466,206977556687,0.57574,0.20781,
20.68408,206980350700,0.83959,0.10571,
20.99609,206983470681,0.88935,0.03425,
21.39026,206987412267,0.77484,0.09198,
21.63684,206989877772,0.82531,0.21977,
21.91760,206992685776,0.80153,0.54292,
22.72070,207000717478,0.58847,0.60776,
23.36145,207007124297,0.48915,0.62385,
23.80530,207011562556,0.46252,0.28946,
24.10083,207014518483,0.46643,0.38634,
24.29858,207016495221,0.39512,0.33076,
24.79089,207021418941,0.53273,0.47026,
25.13599,207024869742,0.55947,0.50879,
25.30139,207026523476,0.55469,0.35311,
25.46484,207028158631,0.51564,0.22149,
25.72778,207030787974,0.46830,0.28326,
25.89160,207032425732,0.51179,0.85915,
26.61609,207039670375,0.58702,0.31662,
27.02502,207043759846,0.66288,0.67126,
27.22278,207045737578,0.59222,0.41831,
27.55127,207049023109,0.60242,0.46564,
28.09473,207054456772,0.60122,0.45710,
28.91479,207062657874,0.49216,1.01606,
29.09509,207064460306,0.49572,0.88598,
29.39124,207067421960,0.53679,0.35818,
29.57202,207069230142,0.52497,0.33884,
29.72021,207070711711,0.53155,0.32897,
30.13159,207074825964,0.57929,0.32347,
30.21265,207075636401,0.58406,0.34489,
30.96838,207083194029,0.55128,0.27650,
31.14905,207085000538,0.68438,0.43698,
31.49426,207088452229,0.55996,0.21215,
31.57629,207089272259,0.55265,0.22162,
31.69141,207090424132,0.55260,0.23391,
31.83899,207091900332,0.54307,0.24767,
32.08582,207094368105,0.54477,0.25239,
32.47949,207098305145,0.48325,0.87064,
32.74219,207100932254,0.46997,0.83544,
32.98987,207103408801,0.45320,0.98951,
33.43323,207107842352,0.58143,0.23124,
33.71216,207110631525,0.56823,0.25482,
34.18799,207115389739,0.72856,0.33906,
34.68188,207120328179,0.64363,0.34548,
34.96021,207123112430,0.75535,0.16426,
35.32190,207126728705,0.71138,0.13801,
35.65283,207130038604,0.45327,0.29074,
35.88086,207132318087,0.37168,0.30398,
36.29089,207136418997,0.46364,0.23159,
36.63611,207139871391,0.60846,0.17195,
36.93176,207142827469,0.56875,0.29826,
37.24377,207145948189,0.64235,0.33620,
37.78772,207151387538,0.73141,0.37071,
37.88538,207152363500,0.72630,0.37020,
37.96777,207153187366,0.71541,0.38865,
38.08289,207154339171,0.70530,0.40862,
38.23035,207155813097,0.42268,0.42524,
39.23242,207165833898,0.45068,0.32195,
39.42981,207167807568,0.46545,0.33894,
39.90515,207172561732,0.41188,0.46586,
40.28381,207176348626,0.46037,0.40665,
40.74438,207180953937,0.53509,0.34250,
41.00635,207183572806,0.70681,0.22904,
41.33594,207186869533,0.53703,0.29700,
42.25452,207196055686,0.49282,0.26734,
42.66577,207200167276,0.42591,0.28791,
42.99390,207203448444,0.46335,0.39054,
43.43750,207207884344,0.40055,0.39799,
43.78271,207211337085,0.36097,0.39296,
44.09460,207214455819,0.34877,0.31321,
44.40698,207217579575,0.28010,0.40123,
44.66943,207220204277,0.22985,0.45596,
44.90076,207222516902,0.27947,0.64060,
45.21167,207225626542,0.34566,0.69520,
45.93469,207232856301,0.40326,0.68502,
46.24658,207235975822,0.39119,0.65487,
46.88757,207242385665,0.27023,0.66823,
46.95520,207243061649,0.18391,0.74041,
47.29846,207246495038,0.51213,0.22855,
47.57727,207249282612,0.54498,0.23029,
48.21814,207255690904,0.36211,0.58224,
48.31860,207256696499,0.34140,0.53033,
48.53040,207258813413,0.38419,0.50525,
48.80945,207261604420,0.44427,0.43541,
49.05798,207264089771,0.48003,0.41958,
49.86121,207272122230,0.46099,0.33463,
50.15759,207275085683,0.43947,0.49846,
50.41956,207277705688,0.45608,0.33279,
50.84729,207281982654,0.49428,0.24620,
51.33960,207286905305,0.52532,0.23303,
51.56946,207289205068,0.55343,0.33197,
51.78430,207291353226,0.59747,0.28037,
52.14587,207294969124,0.63340,0.20584,
53.04858,207303995463,0.48248,0.17589,
53.45898,207308099153,0.48690,0.17816,
53.85339,207312043300,0.41963,0.22444,
54.36243,207317134003,0.48433,0.20066,
54.95410,207323050731,0.45178,0.30389,
55.40039,207327513811,0.41176,0.28299,
56.07129,207334222796,0.37826,0.33015,
56.31750,207336685329,0.40875,0.38936,
56.81152,207341624746,0.45410,0.41753,
57.40210,207347530451,0.53276,0.40068,
57.91113,207352621203,0.45838,0.51747,
58.20813,207355591613,0.51488,0.67605,
58.58459,207359355611,0.55602,0.26942,
58.97900,207363300527,0.55984,0.29043,
59.30774,207366587399,0.60721,0.35423,
59.70178,207370528021,0.65768,0.47195,
60.03064,207373815714,0.76004,0.51907,
60.39172,207377426854,0.80743,0.57402,
60.75330,207381043467,0.73480,0.46723,
61.03259,207383835944,0.81484,0.54307,
61.32983,207386808336,0.84100,0.62131,
61.73901,207390900300,0.76966,0.67557,
62.13538,207394863474,0.68293,0.66599,
62.54419,207398951280,0.55801,0.67814,
63.69385,207410448342,0.49508,0.68718,
63.94031,207412913266,0.49518,0.63449,
64.54980,207419007687,0.44221,0.43725,
64.95911,207423101414,0.35632,0.38556,
65.41895,207427698911,0.28552,0.40770,
65.69873,207430497813,0.31781,0.49340,
66.09277,207434437984,0.32155,0.55719,
66.58545,207439363949,0.31402,0.60017,
67.06189,207444128937,0.45674,0.60653,
67.70313,207450541245,0.48664,0.61574,
68.08093,207454319238,0.47210,0.63496,
68.65527,207460063092,0.51758,0.59765,
69.27991,207466308646,0.47094,0.47800,
69.59363,207469445677,0.47784,0.40942,
70.28284,207476338587,0.50064,0.30808,
70.92261,207482736129,0.45482,0.29329,
71.20215,207485531240,0.46654,0.26372,
71.62903,207489800178,0.50136,0.23709,
72.12195,207494729632,0.45871,0.22798,
72.48376,207498347242,0.67484,0.23657,
72.79565,207501466595,0.62168,0.22622,
73.04187,207503928149,0.63453,0.30240,
73.45276,207508037285,0.55692,0.32298,
74.30713,207516581501,0.58211,0.26014,
74.73401,207520849690,0.44879,0.23834,
74.99731,207523482621,0.41994,0.27116,
