TIME(2020/02/27 16:18:41.893),TIMETICK(f=10000000),FPOGX,FPOGY,
0.47607,162890271327,0.52642,0.23104,
0.82129,162893722056,0.40444,0.91847,
1.16846,162897194244,0.31177,0.99282,
1.39600,162899472010,0.34125,0.90829,
1.72607,162902768809,0.45270,0.59556,
2.13525,162906862930,0.69778,0.71684,
2.38184,162909327077,0.73241,0.74557,
3.23633,162917870952,0.73226,0.74579,
3.51514,162920663496,0.69346,0.77150,
3.90967,162924608704,0.37195,1.01969,
4.23828,162927894241,0.41862,0.67259,
4.61621,162931670102,0.38189,0.54061,
4.87939,162934304192,0.54199,0.43693,
5.40479,162939555508,0.38372,0.51831,
5.74951,162943006765,0.48212,0.44028,
6.07813,162946293081,0.46744,0.45253,
6.55469,162951057525,0.47357,0.44860,
6.89941,162954505735,0.44558,0.44815,
7.32715,162958781233,0.44718,0.51458,
7.86914,162964200185,0.48676,0.38391,
8.11572,162966666525,0.45282,0.47220,
9.18311,162977342936,0.44426,0.48398,
9.41504,162979658216,0.44250,0.37518,
9.72559,162982763710,0.43040,0.29120,
9.97168,162985226454,0.44982,0.23619,
10.69727,162992482063,0.45946,0.18993,
11.59814,163001491261,0.51237,0.14964,
12.07471,163006257718,0.53767,0.09524,
12.48584,163010366337,0.54830,0.03822,
13.15967,163017107691,0.52317,0.01239,
13.63623,163021873419,0.56066,0.13859,
14.02979,163025806366,0.55933,0.12749,
14.47314,163030242355,0.56337,0.12382,
14.71973,163032707867,0.61333,0.09551,
15.41016,163039609730,0.68513,0.00521,
15.77148,163043224177,0.64763,0.05892,
16.11621,163046673104,0.60605,0.05668,
16.34619,163048972511,0.52931,0.21262,
16.60938,163051602487,0.43629,0.32835,
16.93750,163054887173,0.23852,0.47792,
17.23340,163057845446,0.23455,0.53336,
17.51318,163060642335,0.27297,0.53219,
17.95605,163065072617,0.33111,0.44543,
18.38330,163069342979,0.21617,0.49512,
18.71240,163072631699,0.25457,0.35792,
19.18848,163077396023,0.21708,0.28404,
19.56641,163081173867,0.25125,0.24580,
19.99463,163085455354,0.34491,0.20615,
20.38965,163089405442,0.42516,0.15660,
20.60107,163091521255,0.29396,0.29666,
20.66699,163092178685,0.20904,0.36500,
21.09424,163096450304,0.14334,0.63558,
21.80029,163103513080,0.10949,0.62966,
22.26074,163108117290,0.18749,0.46552,
22.68750,163112385467,0.09536,0.51433,
23.08203,163116328634,0.11324,0.44789,
23.32861,163118794804,0.13693,0.43657,
23.75586,163123066088,0.14316,0.35953,
24.05176,163126027736,0.27567,0.13981,
24.31445,163128654780,0.29211,0.16855,
24.64258,163131937675,0.31475,0.14862,
25.44971,163140007603,0.34044,0.14086,
26.03906,163145900427,0.35254,0.15601,
26.63037,163151815728,0.77621,0.34950,
26.91064,163154617418,0.34365,0.21430,
27.17285,163157238807,0.22528,0.33289,
27.43555,163159865972,0.13049,0.41639,
27.68213,163162329331,0.16793,0.33663,
27.92871,163164794422,0.13599,0.36166,
28.27344,163168244450,0.16696,0.31811,
28.50391,163170546617,0.17890,0.35456,
28.86475,163174158451,0.14501,0.54340,
29.17822,163177291964,0.15869,0.42914,
29.57178,163181225434,0.14516,0.50918,
30.21191,163187629158,0.51972,0.80332,
30.55713,163191079182,0.22640,0.50582,
30.86914,163194201125,0.36931,0.70389,
31.26367,163198144504,0.69296,0.60689,
31.49414,163200449092,0.63375,0.70532,
31.95361,163205047237,0.59742,0.83523,
32.61084,163211618215,0.50506,0.73001,
33.10547,163216564928,0.79389,0.74494,
33.43213,163219830347,0.77699,0.80727,
33.82715,163223781962,0.61910,0.74966,
34.25342,163228045059,0.63259,0.84139,
34.76318,163233140341,0.73515,0.86294,
35.07520,163236261589,0.80754,0.84911,
35.78125,163243323779,0.88298,0.70407,
36.11084,163246616718,0.87223,0.47448,
36.33984,163248907214,0.89378,0.42678,
36.61914,163251700349,0.91965,0.45391,
37.01367,163255646906,0.92843,0.52451,
37.24365,163257946575,0.83101,0.39238,
37.67090,163262217065,0.80430,0.22160,
37.93359,163264844052,0.71437,0.18650,
38.32813,163268791986,0.62787,0.13721,
38.57471,163271257631,0.57396,0.25744,
38.82031,163273715107,0.45183,0.25454,
39.18213,163277329922,0.41180,0.26567,
39.52734,163280783032,0.45083,0.15903,
40.15137,163287022796,0.52568,0.16762,
40.56201,163291131186,0.56028,0.15174,
40.62842,163291792452,0.56077,0.21225,
40.92334,163294743330,0.45834,0.63771,
41.56445,163301154375,0.49073,0.74235,
42.07373,163306244911,0.48775,0.69841,
42.53369,163310846010,0.55666,0.61452,
42.82959,163313803472,0.52794,0.56599,
43.17432,163317252683,0.56453,0.38680,
43.68359,163322345373,0.55452,0.25508,
44.01270,163325634509,0.62418,0.21942,
44.37354,163329247133,0.57736,0.11264,
44.83350,163333846036,0.79313,0.10731,
44.89941,163334502184,0.77273,0.11532,
45.37598,163339268180,0.47828,0.60492,
46.11523,163346663005,0.48878,0.57153,
46.52637,163350771518,0.46253,0.28940,
46.85400,163354052197,0.45864,0.30826,
46.98584,163355366500,0.57589,0.47627,
47.70850,163362596300,0.87013,0.87338,
48.00439,163365551429,0.55155,0.54959,
48.43164,163369823872,0.49675,0.51579,
49.38477,163379357589,0.47443,0.44432,
49.87744,163384285291,0.49266,0.47812,
50.48535,163390361984,0.51677,0.52955,
50.79736,163393481246,0.58704,0.45481,
51.10986,163396606126,0.60935,0.47691,
51.35596,163399069295,0.59294,0.47252,
51.70068,163402517401,0.58571,0.40665,
52.03027,163405810896,0.63025,0.31514,
52.52246,163410733210,0.64101,0.34795,
53.03223,163415830434,0.69272,0.34903,
53.31104,163418618669,0.60100,0.37412,
53.73828,163422890633,0.60518,0.33708,
54.05029,163426012241,0.68726,0.46045,
54.34619,163428969723,0.69297,0.36107,
54.64160,163431927703,0.61199,0.38538,
54.92090,163434719847,0.56477,0.37485,
55.18408,163437348789,0.58688,0.28880,
55.57861,163441293500,0.58679,0.16863,
55.85742,163444081651,0.53415,0.19684,
56.12012,163446710494,0.52634,0.26483,
56.25195,163448027242,0.49899,0.34684,
59.11035,163476612124,0.21667,0.34844,
59.43896,163479898173,0.12939,0.46236,
59.80029,163483512458,0.07359,0.44710,
59.99756,163485484030,0.09881,0.52028,
61.91992,163504707001,0.59629,0.95842,
62.18262,163507336364,0.60666,1.02666,
62.44580,163509967593,0.58713,1.03079,
62.83984,163513908492,0.74116,0.75278,
63.26660,163518177064,0.74776,0.80465,
63.51318,163520642805,0.70919,0.91525,
65.22168,163537725919,0.77243,0.90830,
65.46826,163540192134,0.61486,0.93712,
65.76416,163543151015,0.55166,0.94312,
66.07617,163546271966,0.62674,0.89304,
66.38867,163549396490,0.29419,0.80939,
70.49561,163590464732,0.74763,0.65907,
