TIME(2020/03/06 16:15:49.448),TIMETICK(f=10000000),FPOGX,FPOGY,
0.31244,3677175995781,0.39063,0.06997,
0.41119,3677176983348,0.37308,0.16286,
0.70642,3677179935529,0.33915,0.90434,
1.10193,3677183890460,0.33671,0.99064,
1.36365,3677186507313,0.39501,0.94270,
1.64288,3677189300140,0.41741,0.30672,
1.95502,3677192421138,0.56228,0.51929,
2.34949,3677196366147,0.71428,0.79515,
2.71088,3677199979718,0.72219,0.77292,
2.92426,3677202113890,0.60075,0.53766,
3.18835,3677204754803,0.50964,0.39050,
3.46661,3677207537140,0.58469,0.56888,
3.84442,3677211315431,0.69733,0.78497,
4.13995,3677214270795,0.33896,0.51608,
4.63440,3677219214938,0.26569,0.41709,
4.94495,3677222320701,0.27068,0.43126,
5.22437,3677225114717,0.37807,0.44693,
5.48737,3677227744969,0.52405,0.38433,
5.75012,3677230372504,0.54309,0.52155,
6.02930,3677233163925,0.32344,0.71429,
6.44000,3677237270916,0.28428,0.63114,
6.67029,3677239573824,0.30607,0.71540,
6.73590,3677240229876,0.30622,0.81944,
6.96613,3677242532095,0.31834,0.84687,
7.37653,3677246636270,0.24724,0.41816,
7.62360,3677249107127,0.28925,0.36767,
8.14984,3677254369263,0.50249,0.28117,
8.41162,3677256987341,0.63054,0.32563,
8.83905,3677261261592,0.49364,0.39911,
8.97021,3677262573061,0.43955,0.53609,
9.24957,3677265367067,0.56718,0.23599,
9.56189,3677268489796,0.62341,0.50237,
10.05463,3677273417344,0.62406,0.45242,
10.33368,3677276207879,0.63000,0.31289,
10.56396,3677278510808,0.51219,0.36444,
10.92511,3677282122338,0.58035,0.35882,
11.20471,3677284918339,0.51467,0.42396,
11.46716,3677287542481,0.47619,0.56316,
11.77936,3677290664951,0.49344,0.49678,
12.15723,3677294443200,0.49982,0.38776,
12.97882,3677302659461,0.50321,0.46729,
13.48871,3677307758048,0.48230,0.48859,
13.76746,3677310545615,0.48779,0.51615,
14.40808,3677316952221,0.49318,0.51764,
15.13074,3677324178674,0.48320,0.49920,
15.36084,3677326479822,0.49309,0.46693,
15.72229,3677330093983,0.51674,0.38982,
16.00165,3677332887524,0.54441,0.32104,
16.26434,3677335514478,0.52590,0.31723,
16.69220,3677339792888,0.55706,0.26634,
17.16803,3677344551474,0.40367,0.45721,
17.41437,3677347015046,0.50754,0.42477,
17.85809,3677351452052,0.50413,0.48808,
18.20325,3677354903383,0.47774,0.22680,
18.56470,3677358517958,0.46003,0.27547,
19.05737,3677363445173,0.45722,0.17171,
